Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Business & Consumer Services,65,195.2412,491.7450000000001,0.39703748894243956,221.547,0.45053228807613693,160.727,247.57300000000012,153.08299999999997,0.6492105358823456,1.0499336960995018,0.3268502984270302,0.03715045138918009
Chemical (Basic),138,477.36499999999995,1826.7639999999997,0.26131728017412215,401.727,0.2199118222167724,319.673,943.3519999999992,757.5649999999991,0.33886926619119934,0.42197435203579936,0.17499414264787355,0.018605048846444275
Chemical (Diversified),9,134.33100000000002,607.61,0.22108095653461926,134.33100000000002,0.22108095653461926,134.329,298.4630000000001,299.57900000000006,0.4500691878055235,0.44839257758387596,0.22107766494955647,0.01128154234371944
Chemical (Specialty),178,959.1053999999998,3186.2080000000005,0.3010178243228313,977.0219999999998,0.3066409977000873,692.4609999999998,3522.2919999999995,2066.5999999999985,0.19659386558524958,0.3350725829865481,0.21733075806726984,0.03167041348349257
Coal & Related Energy,4,1842.7,3499.744,0.5265242257719421,1842.7,0.5265242257719421,1842.7,1581.858,1798.7079999999999,1.1648959641130874,1.024457555089542,0.5265242257719421,0.14746981124632647
Computer Services,156,9485.675,13550.562000000005,0.7000207814258919,12781.954999999998,0.9432785887404517,12659.603999999998,13075.865000000005,12017.990000000005,0.9681657007012532,1.0533877961289693,0.9342493691405561,0.016841856649642998
Construction Supplies,97,510.3092,3283.5670000000005,0.15541306146638698,558.12,0.1699736901972763,207.37699999999995,364.5580000000025,5580.997000000003,0.5688450123162804,0.0371576978091907,0.06315601295785953,0.018579893187843113
Diversified,15,279.87999999999994,1192.689,0.23466301776909146,280.4579999999999,0.23514763697829014,280.45699999999994,801.8430000000001,1462.2600000000002,0.34976547778056294,0.19179694445584225,0.23514679853675177,0.03605719499638115
Drugs (Pharmaceutical),167,1311.7649800000008,4798.914,0.27334621541457105,1428.3620000000008,0.29764275834074144,1117.4610000000007,3530.5119999999993,3268.7869999999966,0.31651528163620485,0.3418580042076776,0.23285705890957845,0.02689855414798352
Electrical Equipment,111,261.931,1277.952,0.2049615322015224,294.32899999999995,0.23031303210136214,-334.37900000000025,52.32300000000021,335.82200000000057,-6.390669495250634,-0.9957030807987556,-0.26165223732972775,0.01816696976736902
Entertainment,65,9.372,289.91,0.03232727398158049,15.67,0.054051257286744155,-10.310000000000004,389.307,244.16000000000003,-0.026482955610867526,-0.04222640891218874,-0.03556276085681764,0.03151829011463575
Financial Svcs. (Non-bank & Insurance),274,2988.1244500000016,14578.337000000003,0.20497018624277932,3301.991000000002,0.22649984013951668,1915.7290000000023,14825.477000000003,83049.35600000004,0.1292187091180946,0.023067355272447885,0.13140929586138678,0.029161235872873885
Food Processing,192,898.3333000000002,1607.6760000000006,0.5587775770739875,777.0899999999999,0.48336231927328616,594.9079999999999,1152.3679999999995,910.2009999999991,0.51624828179887,0.6536006881996399,0.3700422224378542,0.01838924364620227
Furn/Home Furnishings,43,62.802299999999995,235.679,0.2664738903338863,92.357,0.39187623844296693,-71.61500000000001,147.77499999999998,55.32999999999993,-0.484621891388936,-1.2943249593349015,-0.3038667000454008,0.02985390323681905
Healthcare Support Services,37,31.14528,83.18099999999997,0.3744278140440727,31.11,0.3740036787247089,21.442999999999998,70.40999999999998,39.607999999999976,0.3045448089759978,0.5413805291860233,0.25778723506570017,0.026928404181396345
Heathcare Information and Technology,14,100.08300000000001,208.77999999999997,0.4793706293706295,103.921,0.497753616246767,54.28300000000001,127.24899999999992,124.68599999999994,0.42658881405747817,0.4353576183372635,0.2600009579461635,0.035254494332427534
Homebuilding,1,0,0.025,0,0,0,0,2.9259999999999997,2.5239999999999996,0,0,0,0.0012977382276603633
