Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Computers/Peripherals,8,0.0026721028696879406,18.71,18.71,0,0.018684756893436967,0.018684756893436967,0.19043838488707032,0.19043838488707032,11.533000000000001,11.533000000000001,0.30068296401295336,0.30068296401295336,0.07234122628195076,0.07234122628195076,0,0
Construction Supplies,97,0.002720807879766417,27113.84400000001,27113.86726015541,8.578693396437667e-07,0.16635435727510098,0.16635447624500802,0.3721880348586561,0.37218823531203254,6139.308000000001,6139.32834796892,0.10754775555656168,0.10754805842775395,0.10960837280973908,0.10960873609298911,0.023260155401658267,0
Diversified,15,0.0019826956438518894,5261.693,5261.693,0,0.11423517357714363,0.11423517357714363,0.302194807792716,0.302194807792716,1115.9059999999997,1115.9059999999997,0.0745457848458494,0.0745457848458494,0.12432580159295267,0.12432580159295267,0,0
Drugs (Biotechnology),8,0.0003128283695224956,2243.315,2243.315,0,0.3569284596554843,0.3569284596554843,0.4211542172963256,0.4211542172963256,222.185,222.185,0.10026263932587763,0.10026263932587763,0.12729994740358183,0.12729994740358183,0,0
Drugs (Pharmaceutical),167,0.002053108941451507,7291.293000000001,7294.38630796919,0.000424066924699342,0.038807911034828994,0.03882373596904261,0.15558897149622591,0.15564470580900447,6763.380000000001,6764.0253384061625,0.16162817849184224,0.16162870115103883,0.16495356377845705,0.1649693030789162,3.093307969189482,0
Education,29,0.0343100197442146,162.76899999999998,162.77735291353815,5.1314961133518555e-05,0.08130900458923891,0.0813128378872386,0.23461251293641483,0.23462172789931485,40.79599999999999,40.80332941729236,0.08252369147183021,0.08253692254071616,0.09070776783649656,0.09072406441170328,0.008352913538175244,0
Electrical Equipment,111,0.0019527104655521024,3675.9740000000006,3676.9545998348417,0.00026668804528756824,0.03960630579514495,0.039616452579544145,0.22891463926945077,0.22896172278585436,1495.711,1495.9818800330318,0.10123545794134385,0.10124565105732057,0.07262689352583371,0.0726400465850258,0.9805998348410867,0
Electronics (Consumer & Office),7,0.0006432481243241437,116.661,116.661,0,0.023555691691631866,0.023555691691631866,0.307974371767762,0.307974371767762,59.76299999999999,59.76299999999999,0.1757029648510526,0.1757029648510526,0.033312337655098605,0.033312337655098605,0,0
Electronics (General),35,0.0013017243663740422,309.76300000000003,309.78291379407347,6.42830614172263e-05,0.025050207485456114,0.02505177754943268,0.17453383532360234,0.17454309718987196,202.17,202.1740172411853,0.16012438109273955,0.16012447700893812,0.09398914826780003,0.09399101588949166,0.019913794073431745,0
Engineering/Construction,155,0.015134725051477567,30177.84699999999,30178.79908903338,3.154827435575031e-05,0.2299487912159086,0.22995437767853424,0.573667748843192,0.5736754648050567,5351.863000000003,5351.981582193326,0.09668385713579083,0.09668401471910142,0.09636437021301072,0.09636650537573407,0.9520890333878924,0
