Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Office Equipment & Services,17,0.4628386983723181,0.8696742312813948,0.40251888921422707
Oil/Gas (Integrated),1,0.14372783026292443,0.2975757205800083,0.04276991265789086
Oil/Gas (Production and Exploration),8,0.2092195185073121,0.9150152679687229,0.19143905379125536
Oil/Gas Distribution,11,0.3004497768732484,-0.13901345127501172,-0.04176656041795746
Oilfield Svcs/Equip.,23,0.11601295631055174,0.4382094301117727,0.050837971470428865
Packaging & Container,86,0.08404180580296279,0.4601091531170821,0.03866840409443149
Paper/Forest Products,49,0.17929348911722925,0.6091480992859621,0.10921628811010854
Power,32,0.08740630377798193,0.19309028314774662,0.016877307945388487
Publishing & Newspapers,22,0.0573359896467441,-0.2718012188205336,-0.015583991868266542
R.E.I.T.,4,0.043739452527548954,-0.06880389700166377,-0.00300944478661464
Real Estate (Development),150,0.05416521615067431,2.6671875981668793,0.14446879276910687
Real Estate (General/Diversified),17,0.044066942689046436,0.3216062385372418,0.014172203682060432
Real Estate (Operations & Services),32,0.14364026177556388,-0.07522449512878211,-0.010805266172232892
Recreation,12,0.1001805993535995,0.12198418418697768,0.0122204486835113
Reinsurance,1,0.14469692830407774,0.019570710533553713,0.0028318216989334805
Retail (Automotive),4,0.09864509921849722,5.0086485511609125,0.4940786332798506
Retail (Building Supply),4,0.08830907441400519,1.2733543689091442,0.11244874571939624
Retail (Distributors),253,0.08163271630041682,2.3684321737618346,0.19334155171747935
Retail (General),11,0.02766604432840289,0.7411985278236215,0.020506031326915274
Retail (Grocery and Food),8,0.1746259294951408,1.0406691594010367,0.18172781925733286
Retail (Special Lines),43,0.08184287703592659,1.338539525079626,0.1095499257588194
Rubber& Tires,16,0.11291008598815012,0.33441772127665476,0.03775913366530831
Semiconductor,8,0.044668750197046234,8.509091341603199,0.38009047554192227
Semiconductor Equip,1,0.027018167436421704,12.702662283737025,0.34320265647032583
Shipbuilding & Marine,23,0.10505471089292259,1.8224508150808003,0.1914570434948846
Shoe,12,0.11430601197328528,-0.14459496247513423,-0.01652807351195943
Software (Entertainment),5,0.036300069765475756,-0.10916736818574307,-0.003962783081255852
Software (Internet),6,0.24757464461570444,0.16255000267343023,0.040243259144156295
Software (System & Application),73,0.2357976428869992,0.35939423677624727,0.08474431389901119
Steel,168,0.10334262644402573,0.3744785050886703,0.03869959226269564
Telecom (Wireless),3,0.06367019732487651,-1.44924860661931,-0.0922739447562538
Telecom. Equipment,21,0.03356121711699101,2.333793327299609,0.07832494456368705
Telecom. Services,14,0.11568381232949868,0.4828618410741286,0.055859298603895706
Tobacco,6,0.3172722893250045,0.1956206216666951,0.062065002475372937
Transportation,48,0.028665058139792237,-0.04464503963404605,-0.0012797526567632587
Transportation (Railroads),1,0.10808287591798861,0.39801540049218076,0.04301864914484491
Trucking,12,0.12668938083357822,1.216117077280357,0.15406911954178923
Utility (Water),1,0.0801573172339537,0.007592332620475199,0.0006085810144051255
Total Market,4446,0.0801573172339537,0.3724785333993991,0.029856879964533452
Total Market (without financials),3850,0.1289365251388455,0.35796731419845756,0.04615506160603443
