Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Metals & Mining,42,0.8832218957850467,1.0620993717733045,0.1773770001403456,4.979348478586384,5.987807725539061
Office Equipment & Services,17,0.6459934888319905,0.6591768913630133,0.12850522259227737,5.026982373172529,5.129572775843175
Oil/Gas (Integrated),1,0.8068453142311592,0.9937605448783849,0.16431676725154984,4.910304211352777,6.047834079872405
Oil/Gas (Production and Exploration),8,0.6223807465673975,0.9146439570769712,0.12373011458884768,5.030147661590345,7.3922501414979855
Oil/Gas Distribution,11,0.8010151980863349,0.7386304830790849,0.1169131213637611,6.851371246808752,6.317772329257424
Oilfield Svcs/Equip.,23,0.7658947411361351,0.8843319331093127,0.13208694243904437,5.798413734117443,6.695074598440456
Packaging & Container,86,0.6323967028268628,0.7511524165484432,0.12370897163761203,5.111971221290075,6.071931619873441
Paper/Forest Products,49,0.4599002790131101,0.5061672056773157,0.12403960439225506,3.7076890180877258,4.080690261447821
Power,32,0.8024230407398799,1.0186133519679434,0.14293732351588592,5.613810452038438,7.126293727297445
Precious Metals,1,2.175796227541571,2.229592522794764,0.18973665961010275,11.467453005722243,11.750984376853902
Publishing & Newspapers,22,0.6800508215510164,0.7189565967820121,0.1212707253181881,5.607708041381879,5.928525576932321
R.E.I.T.,4,0.21484712638543232,0.28565060504709083,0.15760298946561166,1.3632173292773175,1.8124694589592074
Real Estate (Development),150,0.6806400712062259,0.75166954904066,0.13701985298860891,4.96745585665466,5.4858440776691655
Real Estate (General/Diversified),17,0.9843799409667998,1.002780850647752,0.2188391177494808,4.498190045226204,4.582274233968077
Real Estate (Operations & Services),32,0.5223223192360443,0.5596963991161537,0.113704233379604,4.593692809064199,4.922388397339573
Recreation,12,0.5371124953703499,0.5456475725275914,0.0995223928500186,5.396900938463012,5.482661307690709
Reinsurance,1,3.385366122116792,1.9171435804325219,0.2863564212655271,11.822211309791705,6.694955789571171
Restaurant/Dining,16,0.8401208152540199,0.8642706632684619,0.17103235581981527,4.912057787118934,5.053258251198866
Retail (Automotive),4,0.7407317734077349,0.8029362267649927,0.14885178618173306,4.976304231266502,5.394199474265551
Retail (Building Supply),4,0.5598340315888247,0.6035838771272046,0.09561745031778218,5.854935785552014,6.3124866341991845
Retail (Distributors),253,0.468256249280139,0.5106533809592126,0.11370367241987775,4.118215703279942,4.491089602396517
Retail (General),11,0.759668628067603,0.8955040221986375,0.12315853395506655,6.168217529649731,7.2711487660721525
