Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Coal & Related Energy,4,4717.636,1224.667,1401.3999999999999,1.1443110657835966,0.21233009946862205,0.25959336413407047,0.25959473979520564,0.2970555591826075,0.29705713336686723
Computer Services,156,18539.221999999998,4756.304000000001,4212.509,0.8856685779546469,0.16565779658249472,0.25655359216260537,0.25888058972622724,0.22722145513981118,0.22959244961021957
Computers/Peripherals,8,11.25,2.8440000000000003,2.7510000000000003,0.9672995780590717,0.17462747986455607,0.2528,0.26440261091665884,0.24453333333333335,0.26024028001135185
Construction Supplies,97,5558.371000000001,1383.9290000000008,939.1419999999999,0.6786056221092263,0.18214755171455183,0.24898104138784555,0.24327109549111217,0.16895993448440194,0.17922536729919775
Diversified,15,1663.489,219.30300000000003,253.04599999999996,1.153864744212345,0.1305797045482185,0.1318331530896808,0.14108738272039328,0.15211762746853147,0.16013562857312816
Drugs (Biotechnology),8,116.84899999999999,24.558,30.514,1.242527893150908,0.15033950763807988,0.21016867923559468,0.20934742557936586,0.26114044621691246,0.2689808978958596
Drugs (Pharmaceutical),167,6581.347,1542.1340000000002,1559.829,1.011474359556303,0.19808604306906963,0.23431890158655977,0.24402349621206085,0.23700756091420191,0.24416453234078964
Electrical Equipment,111,1874.8300000000002,428.6869999999999,319.45799999999997,0.7452010441184361,0.17458770167280493,0.22865379794434687,0.24636723344311476,0.17039304896977323,0.19548830771151304
Electronics (Consumer & Office),7,55.904,14.587000000000002,11.123000000000001,0.7625282786042367,0.20226449844017605,0.26092945048654836,0.27576254880878276,0.19896608471665714,0.20981646011355706
Electronics (General),35,267.322,56.097,46.326,0.8258195625434515,0.1815780483342038,0.20984804842100538,0.21263593164580102,0.1732966235476317,0.17639130037466877
Engineering/Construction,155,4806.563,1227.8119999999997,1098.5290000000002,0.8947045638908893,0.16209368223330398,0.2554448989849919,0.30749922950410713,0.22854771694451945,0.28050110448383947
Entertainment,65,412.73299999999995,53.009,27.691,0.5223829915674697,0.10921846270478834,0.1284341208481028,0.19247342639950693,0.06709180026796986,0.07485753522421307
Environmental & Waste Services,14,72.351,18.281000000000002,20.38,1.1148186641868605,0.21383532770911598,0.25267100662050285,0.30150202289888783,0.2816823540794184,0.333819265859691
Farming/Agriculture,59,427.83400000000006,97.50300000000001,11804.732,121.07044911438621,0.15331785817012916,0.22789913845089452,0.24526165287250776,27.59185104503148,28.08330260475274
Financial Svcs. (Non-bank & Insurance),274,20972.546000000006,5004.092000000001,4360.170999999999,0.8713211108029186,0.1492770357169575,0.23860202762220664,0.22183598328019774,0.20789898374760976,0.2099253532794398
Food Processing,192,2802.0140000000015,794.619,643.4330000000002,0.8097377485310573,0.15841575778309738,0.28358851882967023,0.3072071476027345,0.22963232874639453,0.25491106500532634
Food Wholesalers,34,15.691999999999998,3.5260000000000002,3.0529999999999995,0.8658536585365851,0.15930457318863353,0.22470048432322207,0.24479945615227738,0.19455773642620441,0.20754588715159752
Furn/Home Furnishings,43,344.685,89.137,68.945,0.7734722954553103,0.24298686124391317,0.2586042328502836,0.2604239044216662,0.2000232095971684,0.2119675830561209
Green & Renewable Energy,16,859.8929999999999,144.03400000000002,124.425,0.8638585334018355,0.11930726027413026,0.16750223574328438,0.16983392537691894,0.14469823571072216,0.14472499633607602
