Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Drugs (Pharmaceutical),167,0.3203901749936524,0.3104690825991519,0.9611762640309574,0.03882373596904261
Education,29,0.47783334941258965,0.4469528634005797,0.9186871621127614,0.0813128378872386
Electrical Equipment,111,0.3892496410800857,0.3769509417324698,0.9603835474204558,0.039616452579544145
Electronics (Consumer & Office),7,0.4402954391266252,0.4320132079312325,0.9764443083083681,0.023555691691631866
Electronics (General),35,0.40893537964902793,0.4007554463966588,0.9749482224505673,0.02505177754943268
Engineering/Construction,155,0.3988456872430766,0.32701966879782823,0.7700456223214658,0.22995437767853424
Entertainment,65,0.4278493631094938,0.3473897924703813,0.7595767370372927,0.24042326296270733
Environmental & Waste Services,14,0.44237146128615795,0.4256818198139921,0.9526657804735227,0.047334219526477324
Farming/Agriculture,59,0.3822610803777417,0.3557393036815211,0.9126583957101255,0.08734160428987446
Financial Svcs. (Non-bank & Insurance),274,0.40644588561517303,0.22529243994696455,0.3906699549621434,0.6093300450378566
Food Processing,192,0.35768190930771093,0.34083661809455956,0.9408549768758115,0.05914502312418847
Food Wholesalers,34,0.46221720928121984,0.4145542015798734,0.869681176384141,0.13031882361585895
Furn/Home Furnishings,43,0.299403845306232,0.28916117382153705,0.9570942579119461,0.04290574208805391
Green & Renewable Energy,16,0.45501115754715177,0.37906824065079275,0.78728945432833,0.21271054567167
Healthcare Products,11,0.4420211152482545,0.4373231840813082,0.9867012233643874,0.013298776635612674
Healthcare Support Services,37,0.4064745149788983,0.3973675655634387,0.9719336602752465,0.028066339724753454
Heathcare Information and Technology,14,0.3288518074254409,0.32131266705200756,0.9712796238465263,0.02872037615347365
Hospitals/Healthcare Facilities,32,0.28475492604727076,0.27560217190993463,0.9596959078521039,0.04030409214789604
Hotel/Gaming,60,0.3498077584816093,0.32345850474213783,0.9051133063353042,0.0948866936646958
Household Products,37,0.3268336415011811,0.32499041441290616,0.9929466861264331,0.007053313873566868
Information Services,20,0.370973866763597,0.34779211792332637,0.9213944702929364,0.07860552970706361
Insurance (General),2,0.4025623576631118,0.29945434195120607,0.6687057010785824,0.33129429892141754
Insurance (Life),7,0.2052574833982197,0.20450544413789812,0.9954185671207751,0.0045814328792248196
Insurance (Prop/Cas.),2,0.24386124045564408,0.24304110701141665,0.9957947752313367,0.0042052247686632325
Investments & Asset Management,102,0.371141498427293,0.3380768095734409,0.8875978159420752,0.1124021840579248
Machinery,161,0.35668721722976887,0.3448585847541134,0.9584127316642346,0.04158726833576545
Metals & Mining,42,0.3925262004245379,0.31233372477279137,0.738142771361886,0.261857228638114
Office Equipment & Services,17,0.406159781733717,0.3931454304459413,0.9598218618678322,0.040178138132167765
Oil/Gas (Integrated),1,0.1935286369851587,0.1402384871792677,0.6424712262979217,0.3575287737020783
Oil/Gas (Production and Exploration),8,0.36378520762892247,0.240126807212559,0.5519658693784453,0.4480341306215548
Oil/Gas Distribution,11,0.3719054250623931,0.32892762780903007,0.8537329376878955,0.1462670623121045
Oilfield Svcs/Equip.,23,0.3682890096552993,0.3051583259134542,0.7813951634542372,0.21860483654576282
Packaging & Container,86,0.38195167598473173,0.30583265472421056,0.7447674040631929,0.25523259593680714
Paper/Forest Products,49,0.33622749665462703,0.29535088221062394,0.846005558696166,0.153994441303834
Power,32,0.3130009553928686,0.23950399941908193,0.6974694002286621,0.30253059977133795
Precious Metals,1,0.4616925383845834,0.44444467868685356,0.9531314807133969,0.046868519286603065
Publishing & Newspapers,22,0.3888542826313922,0.35067922985293887,0.8760041753789745,0.1239958246210256
R.E.I.T.,4,0.10577529881527599,0.07861944592992068,0.6678884283991727,0.33211157160082727
Real Estate (Development),150,0.4276323370609384,0.3738144038122255,0.840501460215598,0.15949853978440193
Real Estate (General/Diversified),17,0.2903085594737977,0.27774625841180556,0.945678357270786,0.054321642729214005
Real Estate (Operations & Services),32,0.36464228273898797,0.33073196257987325,0.8826148621031864,0.11738513789681362
