Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Software (Internet),6,2.546,2.6210000000000004,0.9713849675696297,0,0,-0.005455338958393994,-0.03174804739715466,1.1643940035572118
Software (System & Application),73,160.15,159.73799999999997,1.002579223478446,170.62,-60.37440000000015,0.02217005599132409,0.1933763544006273,1.9616576459921267
Steel,168,7089.119000000002,3870.01,1.8318089617339495,412.257,11.111599999998361,0.03547977261129587,0.5292040456644181,1.440422070285759
Telecom (Wireless),3,4086.6810000000005,7343.3,0.556518322824888,0,0,-0.14299660579342321,-1.2563281697723083,0.41193473176608053
Telecom. Equipment,21,74.30499999999999,77.41,0.9598889032424751,0.006,-3.7897999999999854,-0.0035486724159335794,-0.12591742016790147,0.8993126943991726
Telecom. Services,14,1053.48,1112.654,0.9468172495672509,63.259,-0.5775999999998476,0.0005068504434255236,0.004543287909252496,0.8745671928796782
Tobacco,6,367.888,239.322,1.5372092828908333,7.67,1.6478000000001884,0.015158174178539877,0.05933827847779176,1.1332535267674129
Transportation,48,255.432,365.3029999999999,0.6992332392561793,138.022,-0.09660000000002356,0.003965255954230179,0.2770014596402604,1.6183721892664986
Transportation (Railroads),1,100,71.3,1.402524544179523,0,0,0.02870574114822965,0.25658225503426746,0.9660836795825682
Trucking,12,63.489000000000004,30.19,2.1029811195760186,0,0,0.05215355218644281,0.8846057616400587,2.0794481554700806
Utility (Water),1,0.539,0.976,0.5522540983606558,0,-0.14000000000000057,-0.0017142008318478921,-0.01973322487393784,1.502879849979908
Total Market,4446,106578.62999999989,63972.238999999914,1.6660137532469363,11180.520000000006,395.92499999984284,0.029120762612150637,0.3917846607992792,0.9786003046893929
Total Market (without financials),3850,101583.94399999989,62848.83899999991,1.6163217271205286,9460.684000000005,390.33139999984996,0.03186874268575988,0.37362172260027554,1.370578630203071
