Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Paper/Forest Products,49,0.5061672056773157,0.07833165876339836,0.846005558696166,0.33622749665462703,0.074755,0.1641268991503686,0.0523285,0.153994441303834,0.07432731685749394,0.09518804145666837
Power,32,1.0186133519679434,0.11835370278869639,0.6974694002286621,0.3130009553928686,0.074755,0.18284369811181447,0.0523285,0.3025305997713379,0.09837905858900786,0.11970680729947403
Precious Metals,1,2.229592522794764,0.2129311760302711,0.9531314807133969,0.4616925383845834,0.074755,0,0.0523285,0.04686851928660307,0.2054039664112663,0.2288098686716793
Publishing & Newspapers,22,0.7189565967820121,0.09495051020867515,0.8760041753789745,0.3888542826313922,0.074755,0.1222335197586328,0.0523285,0.12399582462102554,0.0896655589058447,0.11082411344770571
R.E.I.T.,4,0.28565060504709083,0.061109312254177796,0.6678884283991727,0.10577529881527599,0.068943,0.25214429597074334,0.0482601,0.33211157160082727,0.0568419401786102,0.07736314290052504
Real Estate (Development),150,0.75166954904066,0.09750539178007556,0.840501460215598,0.4276323370609384,0.074755,0.13688258405699544,0.0523285,0.15949853978440198,0.09029974350915555,0.11147061231515853
Real Estate (General/Diversified),17,1.002780850647752,0.11711718443558944,0.945678357270786,0.2903085594737977,0.074755,0.13811164815296334,0.0523285,0.054321642729214026,0.11359775666678357,0.1352210140777892
Real Estate (Operations & Services),32,0.5596963991161537,0.08251228877097161,0.8826148621031864,0.36464228273898797,0.074755,0.13362150408450796,0.0523285,0.1173851378968136,0.07896916056384282,0.09992001805051931
Recreation,12,0.5456475725275914,0.0814150754144049,0.9441634048837743,0.42796554687516764,0.074755,0.08991645780833019,0.0523285,0.05583659511622574,0.07979098007967321,0.10075779522685124
Reinsurance,1,1.9171435804325219,0.18852891363177995,1,0.2522730228319716,0.074755,0.1277061010277717,0.0523285,0,0.18852891363177995,0.2116071449644359
Restaurant/Dining,16,0.8642706632684619,0.10629953880126689,0.9477883938095866,0.35149329309790395,0.074755,0.12909808643329304,0.0523285,0.05221160619041343,0.10348162417768762,0.12490845183162347
Retail (Automotive),4,0.8029362267649927,0.10150931931034593,0.8659347266575251,0.3316325757613725,0.074755,0.15679069855142624,0.0523285,0.13406527334247487,0.09491587932629754,0.11617638183748791
