Industry_Name,Number_of_firms,Price_Sales,Net_Margin,EV_Sales,Pre_tax_Operating_Margin
Hospitals/Healthcare Facilities,32,5.885648431117814,0.092387639810043,6.011434347555942,0.13891514066785088
Hotel/Gaming,60,5.7881705380886785,0.0935222206135124,6.165968800139009,0.16008737685979005
Household Products,37,9.351298102805346,0.15398910707927102,9.324589513950665,0.20080168786639155
Information Services,20,2.795168439236596,0.0863723400721965,2.9367075997322107,0.14673111915946446
Insurance (General),2,1.7609657131263947,-0.07324000811523636,2.5611280178535196,-0.0858997768310002
Insurance (Life),7,0.8702194017181685,0.04315415798885971,0.834940709811454,0.02948959751173374
Insurance (Prop/Cas.),2,1.7320111701550809,0.04412482377182518,1.553084778160279,0.07163686716373643
Investments & Asset Management,102,6.893701803225108,0.4585768939929066,7.575144126699437,0.26583063901078013
Machinery,161,4.047470296422107,0.09337139606283121,4.125894052990744,0.12224703666913365
Metals & Mining,42,1.0380469342285537,0.058170517198660905,1.3547024597993989,0.1239728756044935
Office Equipment & Services,17,3.6037692607088436,0.08392818687061268,3.7221798791800893,0.11664074693424459
Oil/Gas (Integrated),1,0.4359622310748018,0.07282261191052776,0.6014709765868623,0.12858824454845288
Oil/Gas (Production and Exploration),8,1.431582524802924,0.14932428873297932,2.430525590699751,0.39436737831966917
Oil/Gas Distribution,11,0.9855539047687628,0.12629099317881842,0.9505052165599602,0.12174669718937753
Oilfield Svcs/Equip.,23,0.7499028941145857,0.05883756733534438,0.9266373445299917,0.08891338858005435
Packaging & Container,86,1.0207466080789396,0.02537587476546617,1.3129625343778235,0.07361079541306731
Paper/Forest Products,49,1.4444445221278583,0.10910928722108043,1.6667601932115348,0.1622468949430936
Power,32,2.2861693686503557,0.11670916421843588,3.1917983849403324,0.18170140668885063
Precious Metals,1,5344.186046511629,-5.86046511627907,5554.418604651164,-17.976744186046513
Publishing & Newspapers,22,1.697334660595284,0.09225914369553198,1.863769226207034,0.07712448032943924
R.E.I.T.,4,7.982343958770758,0.09409238404275626,11.787364000763505,0.5163199083794617
Real Estate (Development),150,7.62874662529919,0.07803290312486474,8.848243433993295,0.15748171064206165
Real Estate (General/Diversified),17,18.32490898822001,0.17670448870741368,18.976708357027665,0.25035164474074145
Real Estate (Operations & Services),32,7.045446767469356,0.30387032543090053,7.825140928251473,0.488290680630584
Recreation,12,7.471312176334169,0.4641769909082824,7.719342875800508,0.23082101348927567
Reinsurance,1,1.1870554251669978,0.14403321899259794,0.6722332551001987,0.15017151110308719
Restaurant/Dining,16,7.0480387715479225,-0.012428958051420842,7.366016944166619,-0.011108725069129854
Retail (Automotive),4,1.2322637629997832,0.027122200508423032,1.3917200093710484,0.0338507296758112
Retail (Building Supply),4,0.4580646253321824,0.00393710116962034,0.5115455576431557,0.01677076456947477
Retail (Distributors),253,2.930070140799555,0.03277320863009191,3.3371095011313088,0.06314949690657246
Retail (General),11,1.7505379223939135,-0.007247766600693626,2.2029026231783555,0.02047117038729837
Retail (Grocery and Food),8,5.531425727214546,0.04906296456869201,5.527533266241939,0.06614882083135759
Retail (Special Lines),43,3.8190399576163614,0.016298950009016832,4.192030157363071,0.05023555222565424
Rubber& Tires,16,1.7753155322081526,0.06299676838646803,1.9649342650562853,0.0988328664756585
Semiconductor,8,6.380530138666162,0.016083388359588717,6.618309593434581,0.04773134609942458
Semiconductor Equip,1,4.350600126342388,0.024384080859128236,4.593177511054959,0.030069488313329118
Shipbuilding & Marine,23,7.275968568363848,0.1949677135396298,8.524376740719536,0.3311650914136684
Shoe,12,5.633755143152909,0.06483820343580945,5.813508446379412,0.10392878402510959
Software (Entertainment),5,17.543944376879494,0.07880072422679404,17.499716487891103,0.20023775912029126
Software (Internet),6,11.275821937736398,0.18133546697701483,11.272548734361362,0.23581611870817576
Software (System & Application),73,6.190172557940211,0.11640453436162741,6.008923090184727,0.15767591626377625
