Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Drugs (Pharmaceutical),167,1311.7649800000008,0.005412554922757584,0.27334621541457105,0.007263761233007821,180590.3220000002,0.1416047740814535,0.10167862385321101,0.3203901749936524
Education,29,4.347,0,0.00046426493087843595,0.0023636715589466094,1839.0879999999993,-0.07307462111017832,0.07775235294117645,0.47783334941258965
Electrical Equipment,111,261.931,0,0.2049615322015224,0.0029385257883120944,89136.87299999998,0.11965951376150141,0.09955268656716414,0.3892496410800857
Electronics (Consumer & Office),7,0.001,0,2.638731297991925e-05,2.0678674083417773e-07,4835.9,0.19421411366781124,0.10928,0.4402954391266252
Electronics (General),35,18.714,0,0.09091218234902619,0.0015522660521305577,12055.923000000006,0.21452697597492132,0.10043099999999999,0.40893537964902793
Engineering/Construction,155,739.6212,0.018252586594326933,0.3017919710784182,0.0073186777087927216,101059.40299999996,0.12018930036106845,0.1028337113402062,0.3988456872430766
Entertainment,65,9.372,0,0.03232727398158049,0.001649986056455861,5680.048,0.305811268529741,0.07205942857142858,0.4278493631094938
Environmental & Waste Services,14,3.4299999999999997,0,0.08291032148900171,0.0019930388904061034,1720.9899999999998,0.14339688041594453,0.0672125,0.44237146128615795
Farming/Agriculture,59,63.125,0,0.14241848586306166,0.006316930063053217,9992.987000000003,0.16606563930640256,0.0736,0.3822610803777417
Financial Svcs. (Non-bank & Insurance),274,2988.1244500000016,0,0.20497018624277932,0.010736404656031,278317.04799999984,0.19189096580368276,0.12684078431372553,0.40644588561517303
Food Processing,192,898.3333000000002,0.000889424893856211,0.5587775770739875,0.008390476919800579,107065.82100000003,0.12630226357586943,0.07635060000000002,0.35768190930771093
Food Wholesalers,34,0.16999999999999998,0,0.015222063037249281,0.0005012324421223951,339.16399999999993,0.08195313818584755,0.04174153846153846,0.46221720928121984
Furn/Home Furnishings,43,62.802299999999995,0.1608221354950376,0.2664738903338863,0.004148239163386287,15139.508,0.08708145816244338,0.12931642857142855,0.299403845306232
Green & Renewable Energy,16,237.079,0,0.35544610863731085,0.005803184372556807,40853.25999999999,0.12000453397240758,0.15802499999999997,0.45501115754715177
Healthcare Products,11,3.0460000000000003,0,0.09546793706512882,0.0016375111550743493,1860.14,0.16582556767685164,0.06394,0.4420211152482545
Healthcare Support Services,37,31.14528,0,0.3744278140440727,0.005269656088872556,5910.306,0.12238493262141603,0.125876,0.4064745149788983
Heathcare Information and Technology,14,100.08300000000001,0.03626989598633134,0.4793706293706295,0.00584231135644036,17130.72,0.07507182487316033,0.1417111111111111,0.3288518074254409
Hospitals/Healthcare Facilities,32,53.12,0.007454819277108435,0.096945982545343,0.001521771240884126,34906.692,0.15472897987998593,0.16876049999999998,0.28475492604727076
Hotel/Gaming,60,43.38070000000001,0,0.11480111253132638,0.0018548961026944226,23387.131999999998,0.11218356830774188,0.1339818181818182,0.3498077584816093
Household Products,37,1412.745,0,0.6630426620359506,0.010918414359151805,129391.041,0.21477100785934686,0.14404,0.3268336415011811
Information Services,20,58.482,0,0.25268097093922554,0.007807989831802853,7490.0199999999995,0.1786965618943939,0.124745,0.370973866763597
Insurance (Life),7,204.1661,0,0.03516528014605832,0.001743845347678174,117078.09999999999,0.6245589500860584,0.26776714285714287,0.2052574833982197
Insurance (Prop/Cas.),2,108.5416,0,0.33346113671274963,0.008495276558109683,12776.7,0.053283787323205864,0.1547,0.24386124045564408
Investments & Asset Management,102,450.74460000000005,0,0.18689190987783783,0.012432262663883387,36256.039000000004,0.12753101657130717,0.13783169811320753,0.371141498427293
Machinery,161,179.72700000000003,0.06911037295453659,0.1465544094263465,0.0033808746711243643,53159.91199999997,0.2140228743655098,0.10321128205128204,0.35668721722976887
Metals & Mining,42,6427.5,0,2.1782922459912983,0.00014808366618995392,52655.04700000001,0.12293445578272391,0.08849238095238095,0.3925262004245379
Office Equipment & Services,17,2.404,0,0.05659133709981167,0.0013179557212929347,1824.0369999999994,0.4856744334941578,0.03825714285714286,0.406159781733717
Oil/Gas (Integrated),1,1703.5,0,0.3285882375634126,0.05488698790134197,31036.5,0.15125601750547046,0.2284,0.1935286369851587
Oil/Gas (Production and Exploration),8,348.274,0,0.5906543133872985,0.06160946624140048,5652.93,0.2624009890084949,0.055793333333333334,0.36378520762892247
Oil/Gas Distribution,11,189.99,0.6652981735880836,0.17817871140000507,0.022832202599114403,8321.142,0.38632749591042237,0.21228875,0.3719054250623931
Oilfield Svcs/Equip.,23,1380.5210000000002,0,0.07234343792377651,0.005676084108378049,243217.15,0.15393606292550888,0.11291363636363635,0.3682890096552993
Packaging & Container,86,43.144999999999996,0,0.27769017384196526,0.006903408759080872,6249.811000000002,0.056477351044989674,0.06239024390243901,0.38195167598473173
