Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Oil/Gas (Production and Exploration),8,0.04474333333333333,0.34287500000000004,0.055793333333333334,0.272515
Oil/Gas Distribution,11,0.12402666666666667,0.4391777777777779,0.21228875,0.21519888888888886
Oilfield Svcs/Equip.,23,0.20031599999999994,0.44379411764705895,0.11291363636363635,0.331650909090909
Packaging & Container,86,0.1901892307692308,0.32311271428571436,0.06239024390243901,0.4161952380952382
Paper/Forest Products,49,0.07664897435897436,0.3337911904761905,0.11154159999999999,0.3563183333333334
Power,32,0.014220714285714284,0.473218275862069,0.18632035714285713,0.04395666666666667
Precious Metals,1,0.0016300000000000002,0.4844,0.0161,0.10099999999999999
Publishing & Newspapers,22,0.22751666666666664,0.41512941176470597,0.061853846153846155,0.3683172727272728
R.E.I.T.,4,0,0.34152499999999997,0.19662500000000002,0.06362
Real Estate (Development),150,0.21444155339805826,0.2733892913385827,0.07795263157894737,0.480030536912752
Real Estate (General/Diversified),17,0.10983000000000001,0.340086,0.12156874999999999,0.30960937499999996
Real Estate (Operations & Services),32,0.21303529411764707,0.349088,0.05990588235294117,0.43254903225806435
Recreation,12,0.20716666666666664,0.3222888888888889,0.06803333333333333,0.4817941666666667
Reinsurance,1,0,0,0.0929,0
Restaurant/Dining,16,0.04821,0.33020666666666665,0.2645090909090909,0.2484975
Retail (Automotive),4,0.09163333333333334,0.030066666666666665,0.15307500000000002,0.510025
Retail (Building Supply),4,0.40009999999999996,0.2824666666666667,0.08156666666666666,0.5094
Retail (Distributors),253,0.21455354609929078,0.24449011111111116,0.05988072072072073,0.4713986693548387
Retail (General),11,0.13414333333333334,0.36263,0.12267500000000002,0.21768700000000002
Retail (Grocery and Food),8,0.13656666666666667,0.24505999999999997,0.0677,0.4402285714285714
Retail (REITs),1,0,0,0.08310000000000001,0
Retail (Special Lines),43,0.26388205882352933,0.2508053333333333,0.10886074074074074,0.49106738095238084
Rubber& Tires,16,0.10423099999999998,0.4222384615384616,0.11106615384615384,0.29829333333333335
Semiconductor,8,0.16040500000000002,0.3387916666666666,0.020503333333333335,0.33235
Semiconductor Equip,1,0.00043999999999999996,0.5343,0.0583,0.08220000000000001
Shipbuilding & Marine,23,0.220085,0.38214444444444445,0.081815,0.40249190476190466
