Industry_Name,Number_of_firms,Book_Debt_to_Capital,Market_Debt_to_Capital_Unadjusted_,Market_D_E_unadjusted_,Market_Debt_to_Capital_adjusted_for_leases_,Market_D_E_adjusted_for_leases_,Interest_Coverage_Ratio,Debt_to_EBITDA,Effective_tax_rate,Institutional_Holdings,Std_dev_in_Stock_Prices,EBITDA_EV,Net_PP_E_Total_Assets,Capital_Spending_Total_Assets
Chemical (Specialty),178,0.28430292536465956,0.0749399777253425,0.08101093542132581,0.07496528929728893,0.08104051494493744,5.478161953890418,1.4724134288486261,0.22000268262587394,0.09752018181818185,0.326397800285098,0.04626814872827668,0.2952889032474453,0.05001867824271647
Coal & Related Energy,4,0.07647034178307283,0.024792317798484134,0.025422603052629642,0.024792317798484134,0.025422603052629642,42.19981216760765,0.16377995115285715,0.21233009946862205,0.1108,0.3396011708693104,0.17003200725655745,0.30907255798967453,0.07340306255119276
Computer Services,156,0.13563726630915823,0.01925442372119001,0.019632434942246726,0.019255925541074997,0.019633996312135218,27.278486430290062,0.41263827238678474,0.16565779658249472,0.11841459459459458,0.4041511072893946,0.04834224405225452,0.10726203084246066,0.01584560501906546
Computers/Peripherals,8,0.19043838488707032,0.018684756893436967,0.019040524464173588,0.018684756893436967,0.019040524464173588,7.402439024390246,1.5524394291403918,0.17462747986455607,0.07921666666666667,0.4253075146252079,0.013043473771062306,0.0902982072860061,0.033693243211268945
Construction Supplies,97,0.3721880348586561,0.16635435727510098,0.19955044295720922,0.16635447624500802,0.1995506141455628,3.229034288951199,3.6887477351864244,0.18214755171455183,0.11786485714285717,0.3246916921336131,0.05271450804549239,0.3447010487655095,0.055289035292077786
Diversified,15,0.302194807792716,0.11423517357714363,0.12896783679984236,0.11423517357714363,0.12896783679984236,3.5074508176883437,4.064963639552194,0.1305797045482185,0.08896153846153844,0.30629082692160886,0.02952309110969157,0.09484968255671374,0.00890669835184999
Drugs (Biotechnology),8,0.4211542172963256,0.3569284596554843,0.5550369395359425,0.3569284596554843,0.5550369395359425,2.1156043495648533,6.920693144447255,0.15033950763807988,0.0606525,0.3428267327992044,0.06609390385812997,0.21324077057012814,0.030845147593729347
Drugs (Pharmaceutical),167,0.15558897149622591,0.038807911034828994,0.04037477157829085,0.03882373596904261,0.0403919004472963,11.750996424339517,0.9734764156624502,0.19808604306906963,0.10167862385321101,0.3203901749936524,0.04628771102265163,0.254503003033314,0.04590512698041993
Education,29,0.23461251293641483,0.08130900458923891,0.08850528087834843,0.0813128378872386,0.0885098227564631,2.835418404225743,3.8079246008734677,0.1257315195010897,0.07775235294117645,0.47783334941258965,0.02993999306234291,0.157060312497185,0.02799383052767805
Electrical Equipment,111,0.22891463926945077,0.03960630579514495,0.0412396562307049,0.039616452579544145,0.041250657287863826,4.653997423626712,2.441275932542964,0.17458770167280493,0.09955268656716414,0.3892496410800857,0.020077258280685982,0.16621467200326367,0.03035546531111159
Electronics (Consumer & Office),7,0.307974371767762,0.023555691691631866,0.024123947972456008,0.023555691691631866,0.024123947972456008,6.587632275132274,1.7888401619234542,0.20226449844017605,0.10928,0.4402954391266252,0.015007930599952321,0.2880644379078766,0.08145934149350034
Electronics (General),35,0.17453383532360234,0.025050207485456114,0.02569384359870247,0.02505177754943268,0.025695495383810375,6.503361533760091,1.4630828155935707,0.1815780483342038,0.10043099999999999,0.40893537964902793,0.019987176310625878,0.14860546346162057,0.037641734861279225
Engineering/Construction,155,0.573667748843192,0.2299487912159086,0.2986149344262404,0.22995437767853424,0.2986243555093373,2.4537696496869916,5.09867702634157,0.16209368223330398,0.1028337113402062,0.3988456872430766,0.050870783773757595,0.06547091335471161,0.02131544486230676
Entertainment,65,0.4663396865281603,0.24017269337508432,0.31608852601245635,0.24042326296270733,0.3165226780120616,1.1434760974307314,8.480730606512706,0.10921846270478834,0.07205942857142858,0.4278493631094938,0.045117374878595955,0.30976943917147826,0.0360964258238815
Environmental & Waste Services,14,0.18882928145275063,0.04727239310400569,0.049617952457597085,0.047334219526477324,0.049686070914554986,8.624416569428238,0.9333132994601554,0.21383532770911598,0.0672125,0.44237146128615795,0.0407893976399834,0.13541911604615722,0.07370055882139491
Farming/Agriculture,59,0.22399259300204521,0.08734160428987446,0.09570021456047122,0.08734160428987446,0.09570021456047122,4.558141088447493,2.042102723213618,0.15331785817012916,0.0736,0.3822610803777417,0.046629172802555845,0.2856822048690371,0.03156470431236797
Financial Svcs. (Non-bank & Insurance),274,0.7914619753947714,0.6093295008120923,1.5597018512498744,0.6093300450378566,1.5597054170620872,2.2726608938621116,117.10517535627278,0.1492770357169575,0.12684078431372553,0.40644588561517303,0.006448886456150024,0.00434428465498798,0.0012557615762335658
Food Processing,192,0.32054203714746776,0.05913982954607467,0.06285719324003501,0.05914502312418847,0.06286306027798728,4.932903047718589,1.9017821944518862,0.15841575778309738,0.07635060000000002,0.35768190930771093,0.03386629753236322,0.3220594617049011,0.03986030249023669
Food Wholesalers,34,0.23442973246138296,0.1302595137962868,0.14976825370617167,0.13031882361585895,0.14984666467967417,3.949702541914549,2.6285282740841476,0.15930457318863353,0.04174153846153846,0.46221720928121984,0.051766021211340094,0.12441372365519017,0.013939284482900159
Furn/Home Furnishings,43,0.18273838453056823,0.042904617161733064,0.04482794288955757,0.04290574208805391,0.044829170934176994,4.9533954516740355,1.5339916416905082,0.24298686124391317,0.12931642857142855,0.299403845306232,0.027694707455652386,0.20024421975170434,0.041653716604398004
Green & Renewable Energy,16,0.62818913562537,0.21270171366995558,0.2701666158343301,0.21271054567167,0.2701808648677282,2.206428767405172,7.272709321732971,0.11930726027413026,0.15802499999999997,0.45501115754715177,0.031879717517684994,0.697651497397007,0.0729666308116651
Healthcare Products,11,0.10078145727310002,0.013298776635612674,0.013478017783607688,0.013298776635612674,0.013478017783607688,15.89332176929749,0.6811105979515881,0.22721979601485032,0.06394,0.4420211152482545,0.024270253600900286,0.365310028529125,0.11713914268173775
Healthcare Support Services,37,0.17701747122976044,0.027851196890074415,0.02864910886170699,0.028066339724753454,0.028876805971310027,9.359235034835773,1.1108195542492352,0.16748538097381577,0.125876,0.4064745149788983,0.02838847237282901,0.27572467679383766,0.05559743736835109
Heathcare Information and Technology,14,0.14421369006422513,0.02872037615347365,0.029569626962556158,0.02872037615347365,0.029569626962556158,11.535986118231653,1.0851079326248505,0.1520300587480424,0.1417111111111111,0.3288518074254409,0.024779912122352615,0.3913901523320329,0.06080366420295254
Hospitals/Healthcare Facilities,32,0.2417411626032845,0.04030409214789604,0.04199673231711559,0.04030409214789604,0.04199673231711559,6.811796707703246,1.5078133437284973,0.22823490909526875,0.16876049999999998,0.28475492604727076,0.02926526893260974,0.4772580740347787,0.07337765975810367
Hotel/Gaming,60,0.35539966801781764,0.09488596622167707,0.1048331620995683,0.0948866936646958,0.10483405005819738,3.124110683391213,3.3152515567819942,0.14940781894384988,0.1339818181818182,0.3498077584816093,0.03247307086597488,0.4278512969725386,0.030633149440781052
Household Products,37,0.07824541137731279,0.006944349521586108,0.006992910737923502,0.007053313873566868,0.007103416499714024,41.306067107694126,0.3216258156151337,0.19019461011075678,0.14404,0.3268336415011811,0.023350615282519555,0.12647048678529968,0.01959418669519785
Information Services,20,0.243864932915684,0.0786005739232849,0.08530564671389394,0.07860552970706361,0.08531148410525274,8.73951317105702,1.74863095117406,0.23380509460690185,0.124745,0.370973866763597,0.056551715091979565,0.10716796956941275,0.014694505433034523
Insurance (General),2,1.3781808858406512,0.33129429892141754,0.4954261618931312,0.33129429892141754,0.4954261618931312,-69.86798679867987,-8.603841536614647,0,0.22625,0.4025623576631118,-0.03224068822383118,0.0059435999401364036,0.002126226669232249
Insurance (Life),7,0.03465586022673894,0.004204217996740732,0.004221968070886016,0.0045814328792248196,0.004602519011149758,49.9558749369642,0.10669957249995891,0.09753900408597824,0.26776714285714287,0.2052574833982197,0.036145611983021506,0.0009333080883614672,0.00024239608418329516
Insurance (Prop/Cas.),2,0.0006391076175252113,0.00032939751551337113,0.00032950605398890165,0.0042052247686632325,0.004222983362898546,343.95819725669503,0.06371727861684678,0.19940355445857913,0.1547,0.24386124045564408,0.04776204533595802,0.006965658636596616,0.001629933367503844
