Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Software (Internet),6,0.057,0,0.7060000000000001,0.7060000000000001,0.06418765342303846,0.8440000000000001,1.686,0.8419999999999999,0.16142638036809812,0.3580000000000003
Software (System & Application),73,343.746,53.34799999999999,54.905,1.5570000000000093,0.00043245891640294435,176.444,170.28799999999995,-6.156000000000034,-0.014196041896310864,22.86399999999999
Steel,168,1276.0875999999998,42.16900000000001,281.20900000000006,239.04000000000005,0.005381618288460776,7075.880000000001,6159.983000000002,-915.896999999999,-0.02760489124469078,274.9999999999991
Telecom (Wireless),3,512.5,3.51,0.144,-3.3659999999999997,0.00040500541451088916,4877.76,1543.3999999999999,-3334.3600000000006,-0.05483017471736897,-61.70000000000002
Telecom. Equipment,21,10.651,0,76.28999999999999,76.28999999999999,0.05293902124222464,198.93099999999998,170.865,-28.065999999999974,-0.032305071479546,4.6080000000000005
Telecom. Services,14,84.78999999999999,0.903,46.86,45.957,-0.020767742643938755,2868.8729999999996,2684.375,-184.4979999999996,-0.017817852445529133,83.77499999999998
Tobacco,6,2373.1000000000004,0,215.3,215.3,0.025072790281306694,12.375,0.035,-12.34,-0.16096841940491252,33.23200000000003
Transportation,48,45.23700000000001,3.42,133.467,130.04700000000003,0.04834013505813031,568.867,158.36999999999998,-410.49699999999996,-0.16515551285486568,179.02899999999863
Transportation (Railroads),1,88,0,0,0,0,16.1,0,-16.1,-0.16295546558704455,-101.39999999999998
Trucking,12,5.329999999999999,9.27,4.89,-4.38,-0.027576654284455077,33.143,38.912,5.768999999999998,0.028387674562793393,198.75
Utility (Water),1,0,0,0,0,0,25.7,14.6,-11.1,-0.3255131964809384,-1.1500000000000004
Total Market,4446,50642.98266000001,6094.642000000003,12446.836999999998,6352.194999999995,0.006213374804615427,247639.61100000035,313655.2259999994,66015.61499999903,0.05059366811232077,7280.873000000065
Total Market (without financials),3850,42040.13691000001,5703.4140000000025,7582.267999999999,1878.8539999999966,0.002760982378260167,135240.7870000003,120644.07299999935,-14596.714000000953,-0.026931672778640676,7314.235000000059
