Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Engineering/Construction,155,0.25979298271529716,0.07652679226741836,0.21857918046343167,0.16624701838089395
Entertainment,65,0.11156318778155043,0.11363415148133206,0.1219000513134059,0.08989059755075347
Environmental & Waste Services,14,0.2368116129658699,0.12840289353162979,0.15468904244817375,0.20203906591361476
Farming/Agriculture,59,0.15315470479783302,0.18631677989122897,0.10043933177466874,0.24856099789066
Financial Svcs. (Non-bank & Insurance),274,9.28095402127499,0.0012261909170540606,0.4851351317004663,8.791771482796594
Food Processing,192,0.04854921429863344,0.1418416653586252,0.07901264643757212,0.08781720172868648
Food Wholesalers,34,0.17899612587807542,0.06181386565004059,0.08665810653394047,0.10480647040135546
Furn/Home Furnishings,43,0.10793225293884989,0.16336138407045717,0.1503719833298601,0.07681117981577006
Green & Renewable Energy,16,0.38458082374864244,0.02029728231819141,0.036137261891728376,0.07458575989132143
Healthcare Products,11,0.19007668812762302,0.19839152695071297,0.08480080863125973,0.3075655364872881
Healthcare Support Services,37,0.10128632446470161,0.07098238816956762,0.09521192857945533,0.06694722430418165
Heathcare Information and Technology,14,0.20650920211981136,0.2852675650991607,0.09930547145494555,0.3490353652687075
Homebuilding,1,0,0,0.004790419161676647,3.2982035928143714
Hospitals/Healthcare Facilities,32,0.11882667053347643,0.023928245949334116,0.1104696403445395,-0.022594365192642164
Hotel/Gaming,60,0.1475278461479443,0.04963290479779136,0.17686997046161307,0.007177073162884319
Household Products,37,0.06851283034175869,0.08328651940170964,0.15174297789218855,-0.002808619082608859
Information Services,20,0.20749759948291388,0.003526978154828034,0.04846973333268646,0.2046162326081464
Insurance (General),2,0.030269831608845606,0.0016473929803205516,0.1241631162507608,-0.08866301481030635
Insurance (Life),7,0.001154315564455108,9.513998213152211e-07,0.00912972187907411,0.08578103979081096
Insurance (Prop/Cas.),2,0,0,0,-1.3610779741893506
Investments & Asset Management,102,0.15312477955712345,0.06558022276352798,0.10338431034250001,0.09395377596900267
Machinery,161,0.1739669721004273,0.1689978489593659,0.11470912223350069,0.16728353383419714
Metals & Mining,42,0.05393904305228544,0.15049526159745097,0.14612038707770622,0.03385254230685579
Office Equipment & Services,17,0.11440352308716636,0.20177142213625684,0.08122541475105058,0.23802176047669943
Oil/Gas (Integrated),1,0.03431342252088753,0.09180680649746878,0.06219904819162026,-0.024704034791012332
Oil/Gas (Production and Exploration),8,0.10907411196719549,0.17591437039978441,0.06451723187821497,-0.23103718463262096
Oil/Gas Distribution,11,0.0639514198082413,0.026097367889943893,0.03852394709438889,0.03305866367756342
Oilfield Svcs/Equip.,23,0.02589385960586514,0.1355452568616472,0.10413538090651106,-0.021847176213144286
Packaging & Container,86,0.17427676690864807,0.16950622461938883,0.11447390598786432,0.22282216717101241
Paper/Forest Products,49,0.06381900246223407,0.19571798147495287,0.08898703022970428,0.12711696284730528
Power,32,0.16593656938038137,0.049969864233011835,0.1078542995511532,-0.023961600678590537
Publishing & Newspapers,22,0.21356894333042994,0.12505926214106045,0.10446990113263536,0.13513264481619683
R.E.I.T.,4,0.06585226188203856,0.0029099064707005153,0.030463828974995232,-0.22081599541897312
Real Estate (Development),150,0.14825747261124436,3.0424889396365487,0.30394594486629356,1.3587718918631
Real Estate (General/Diversified),17,0.10444934149699117,2.8650741965760993,0.22058697268507668,1.316267176593517
Real Estate (Operations & Services),32,0.060687729450563124,0.14463163462136772,0.04457174413539917,-0.04302003608985123
Recreation,12,0.04188757465264714,0.09347571779418103,0.0717486335059551,-0.0018949629558685532
Reinsurance,1,0,0,0,-1.6346452428236142
Restaurant/Dining,16,0.031470259457551344,0.025579514031887986,0.09585897511325531,-0.036311702065070325
Retail (Automotive),4,0.03724264176257197,0.13832482323787185,0.026671109668913874,0.15947952847911087
