Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Euros_
Drugs (Pharmaceutical),131,0.9773064912579792,0.09636335233509498,0.8687126820224513,0.41840255220858935,0.060454999999999995,0.07877450170905369,0.0455165695,0.13128731797754867,0.08968781458888851,0.07381857457060348
Education,21,0.6216698058748149,0.07541635156602661,0.7751591134197422,0.27822540168105064,0.060454999999999995,0.06822014878385947,0.0455165695,0.2248408865802578,0.06869365805774469,0.05313015818311717
Electrical Equipment,157,1.2935071256797255,0.11498756970253583,0.8636578244581613,0.38250447730424403,0.060454999999999995,0.09733731705455374,0.0455165695,0.1363421755418387,0.10551574239785458,0.08941599857652638
Electronics (Consumer & Office),21,1.017704497157091,0.09874279488255266,0.8852451872557285,0.3996397073789636,0.060454999999999995,0.10197209286939604,0.0455165695,0.11475481274427146,0.09263482935569345,0.07672267164662983
Electronics (General),151,1.2131330452408937,0.11025353636468864,0.8820137700617192,0.3614719796822816,0.060454999999999995,0.12354535547162446,0.0455165695,0.11798622993828078,0.10261546570668463,0.08655795892454843
Engineering/Construction,162,0.967454906374663,0.09578309398546765,0.6113905376051022,0.28933029381582115,0.060454999999999995,0.15524469362514215,0.0455165695,0.3886094623948978,0.0762490469287101,0.0605755171190685
Entertainment,200,0.8916058261872385,0.09131558316242835,0.8418258061685819,0.39460048520599533,0.060454999999999995,0.06685697988005812,0.0455165695,0.15817419383141806,0.08407136109809965,0.06828391409181656
Environmental & Waste Services,52,1.1149113651414317,0.10446827940683033,0.6626176313817069,0.35073311275951996,0.060454999999999995,0.1444509802821072,0.0455165695,0.33738236861829307,0.08457901188436542,0.0687841719054667
Farming/Agriculture,50,0.7966833426376715,0.08572464888135886,0.5295293444714407,0.3033979404755029,0.060454999999999995,0.13566818150408974,0.0455165695,0.47047065552855927,0.06680792741726661,0.05127188963934515
Financial Svcs. (Non-bank & Insurance),143,1.0216367356825768,0.09897440373170377,0.19569730979075073,0.35551361693245503,0.060454999999999995,0.13338034943382607,0.0455165695,0.8043026902092493,0.05597812384638433,0.040599801654446654
Food Processing,169,0.5989668816915108,0.07407914933162998,0.7965234442973299,0.257961069691383,0.060454999999999995,0.14605911697751275,0.0455165695,0.2034765557026701,0.06826733396550737,0.052710042694164905
Food Wholesalers,14,0.7641625589897412,0.08380917472449576,0.375124072718815,0.28873718799518366,0.060454999999999995,0.18696210183783005,0.0455165695,0.624875927281185,0.05988104752682662,0.04444588664051352
Furn/Home Furnishings,52,0.9014067420188674,0.0918928571049113,0.5978356176811825,0.3017099495022962,0.060454999999999995,0.14498121846848683,0.0455165695,0.40216438231881746,0.07324196604604231,0.05761222867643978
