Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Electronics (Consumer & Office),21,1355.7419999999997,149.513,230.24899999999997,1.5399931778507552,0.10197209286939604,0.11028130721036895,0.06460261402812295,0.1698324607484315,0.17612142601988326
Electronics (General),151,6146.295000000001,1174.6140000000003,1328.1760000000002,1.1307340113433006,0.12354535547162446,0.19110927802847083,0.2079810162823088,0.21609376055005494,0.23081030966711588
Engineering/Construction,162,23377.428000000004,5824.943,5413.203000000002,0.9293143297711243,0.15524469362514215,0.24916954080662762,0.25531562379672085,0.23155682481408996,0.23607999100199586
Entertainment,200,3386.3069999999993,792.8820000000003,1241.1790000000005,1.565401913525594,0.06685697988005812,0.2341435670185841,2.807797241202625,0.3665287878505997,3.3828901141731174
Environmental & Waste Services,52,1658.9809999999998,365.58799999999997,321.69300000000004,0.8799331487904419,0.1444509802821072,0.22036900965110512,0.582093143675185,0.1939099965581282,0.9798452681916481
Farming/Agriculture,50,4937.822,1141.452,1229.1809999999998,1.0768573711378138,0.13566818150408974,0.23116507642438305,0.23390491216916187,0.24893181649723295,0.2516051539324557
Financial Svcs. (Non-bank & Insurance),143,67531.72600000002,5859.747000000001,4199.801999999999,0.716720704835891,0.13338034943382607,0.0867702833480074,0.08514910156901552,0.06219005863999385,0.06373536242705502
Food Processing,169,30800.042000000005,7966.162000000001,6470.338999999998,0.8122278959428639,0.14605911697751275,0.2586412706839815,0.2613005181270431,0.21007565509163906,0.21290176315870427
Furn/Home Furnishings,52,1725.0700000000004,316.623,599.434,1.8932105374530592,0.14498121846848683,0.18354211713147867,0.17935185185185185,0.34748387021975913,0.5550314814814813
Green & Renewable Energy,66,3738.7420000000006,751.314,777.594,1.0349787172873128,0.0909004452601063,0.20095368977051634,0.20441097643963538,0.2079827920728416,0.22469366613835115
Healthcare Products,182,18317.940999999995,3909.412,5771.948,1.476423564464426,0.07493113162361455,0.213419837961046,0.24764354111559747,0.31509807788986777,0.34973247224367376
Healthcare Support Services,45,4647.288,1340.6939999999997,1578.8039999999999,1.177602047894598,0.13951494494110495,0.2884895448700403,0.29928064665417564,0.33972587883514,0.3546901748284739
Heathcare Information and Technology,95,5537.41,1015.3550000000001,1022.5089999999996,1.0070458115634429,0.08056030517272335,0.18336279957597507,0.23542913488450473,0.18465473930953272,0.22435310080683016
Homebuilding,43,5715.579999999999,1338.0720000000001,1283.832,0.9594640647140065,0.1498686452512192,0.23410957418144795,0.2455016059840203,0.22461972363259727,0.2337657229841441
Hotel/Gaming,106,9180.369000000002,2013.5889999999997,1949.1349999999993,0.967990488625037,0.09997261419443768,0.21933639050892173,0.26991278439869987,0.21231553982198306,0.26396736186348857
