Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Homebuilding,43,0.15026497196875452,0.5583606628399432,0.08390204935009926
Hospitals/Healthcare Facilities,29,0.023734678854194988,0.07959745489257398,0.001889220029486515
Hotel/Gaming,106,0.16697863166326946,0.1759477048352457,0.029379506997682145
Household Products,28,0.157653793913865,0.15676286015995763,0.024714259649005997
Information Services,6,0.2279590256637294,0.08684277045255288,0.019796593338302863
Insurance (General),36,0.20472241437790747,-0.14417456832296846,-0.02951576571897068
Insurance (Life),16,0.09459336208084479,-0.8289466595621666,-0.0784128515136708
Insurance (Prop/Cas.),19,0.1437933888692453,0.04292472587128687,0.006172291799315708
Investments & Asset Management,350,0.10433595838617443,-0.3113962397404016,-0.032489825111165736
Machinery,219,0.19131299038799104,0.6689696754855983,0.12798258909603374
Metals & Mining,120,0.19461429498953833,0.6814260296132746,0.1326152463407077
Office Equipment & Services,22,0.13591437895689318,-0.5014728385955365,-0.06815736942146268
Oil/Gas (Integrated),12,0.20210530028592938,0.10864540268996041,0.021957811735340168
Oil/Gas (Production and Exploration),91,0.4162672254352348,0.21704953732650395,0.09035060868490523
Oil/Gas Distribution,29,0.13297882282251836,-0.02229530353975649,-0.002964803219187544
Oilfield Svcs/Equip.,67,0.22530782942562555,0.48941216181170577,0.11026839187229845
Packaging & Container,16,0.20165013726892175,0.9685989136223998,0.1953181038904854
Paper/Forest Products,38,0.07489867290867969,1.1920896950687458,0.08928593614876171
Power,73,0.20031799421410293,0.29235620476248864,0.05856420853406929
Precious Metals,46,0.08055272287893245,0.9930413869730208,0.07999218765214847
Publishing & Newspapers,58,0.07985485486907298,-0.7415842351024992,-0.05921910146730257
R.E.I.T.,141,0.041015490520242726,0.21943900589648438,0.009000398466118742
Real Estate (Development),66,0.047602765791986294,0.4345075014027903,0.020683758824138185
Real Estate (General/Diversified),48,0.021190057980240897,1.2490428639900963,0.026467290707756285
Real Estate (Operations & Services),237,0.03307275948121866,0.21651534980069417,0.007160760087950284
Recreation,60,0.13256346268040647,-0.04431170049136675,-0.005874112454392645
Reinsurance,4,0.2943058378256075,0.008631132695872264,0.002540192739442681
Restaurant/Dining,43,0.07841475773483784,0.21260395609737684,0.016671287710843904
Retail (Automotive),28,0.09017769769328493,1.0628030585162247,0.09584113291837472
Retail (Building Supply),29,0.08003588612392354,0.22104972015218058,0.01769191022982509
Retail (Distributors),116,0.12158807815191264,0.6387009778226314,0.07765842440720112
Retail (General),32,0.04331996404180619,-0.22562971623896125,-0.009774271194234735
Retail (Grocery and Food),32,0.11176383572575059,0.383940150757225,0.04291062393775041
Retail (REITs),33,0.042867361672044524,0.04526035143085766,0.0019401918541904132
Retail (Special Lines),111,0.15672601232127278,-0.677898714693154,-0.10624436231157423
Rubber& Tires,8,0.12041192436499852,0.4043226940786864,0.04868527365845522
Semiconductor,40,0.21497545219505287,0.7436315056874638,0.15986251920165057
Semiconductor Equip,22,0.42433597998466904,0.226094926763403,0.09594021231771059
Shipbuilding & Marine,62,0.18030286073950785,-0.17088713010357687,-0.03081143842123938
Shoe,10,0.14809247741057377,0.34098812660330957,0.05049777643627449
Software (Entertainment),56,0.09633218794263798,-0.028143921160289142,-0.0027111655026557597
Software (Internet),28,0.37317515577329063,0.3997595221385352,0.1491803219459041
Software (System & Application),339,0.1405846486510382,0.07461204104474468,0.010489307575412273
Steel,59,0.04736751810388123,2.026336619596752,0.09598253651330663
Telecom (Wireless),12,0.05958581809193186,-0.14081736825058222,-0.008390718088763773
Telecom. Equipment,54,0.08593310185675858,0.18835366634341472,0.016185814794982576
Telecom. Services,64,0.09004567325613903,-0.29614877431454567,-0.02666691576713364
Tobacco,6,0.1236923298204602,0.03189012528231398,0.003944563894435778
Transportation,101,0.14717143575512903,-0.09855163974955651,-0.014503986317964476
Transportation (Railroads),7,0.057107814703970146,-0.7762191027791113,-0.04432817669119145
Trucking,6,0.12126201377301721,1.0071634716383884,0.12213067076949408
Utility (General),16,0.12149143934220864,0.3309256638449035,0.040204635215793226
Utility (Water),12,0.09128323750237682,1.2953583081618056,0.11824450009461113
Total Market,6971,0.09128323750237682,0.20149416226393918,0.018393039469281613
Total Market (without financials),6134,0.1446756721246595,0.32071625192187864,0.04639983930809941
