Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_
Paper/Forest Products,38,6.936333420759183,18076.033,18082.96933342076,604.634,0.03344948529359291,0.055041473910603975,0
Power,73,274.15533847379265,358444.4069999999,358718.5623384737,15996.279000000006,0.04462694545544969,0.043656832228774034,0
Precious Metals,46,57.71332050238243,2562.6090000000004,2620.322320502383,207.13100000000006,0.08082817160167627,0.0580210665291695,0
Publishing & Newspapers,72,106.33729681624027,12142.41,12248.74729681624,625.1429999999999,0.051484260538064514,0.1552535354549047,76.9
R.E.I.T.,142,46.58957938950334,117288.09299999996,117334.68257938947,3154.2470000000008,0.02689315615354068,0.048233170854550686,0
Real Estate (Development),66,5.297398714174051,12868.519000000002,12873.816398714176,441.843,0.03433518651213865,0.09414670173993386,0
Real Estate (General/Diversified),48,13.05261123416858,20054.362999999998,20067.415611234166,521.5010000000001,0.026004366231926698,0.040256237623905046,0
Real Estate (Operations & Services),237,460.23797174572246,273895.47500000015,274355.7129717459,6931.307999999998,0.02530639836236796,0.00644176045278748,309.38
Recreation,60,246.36516961021152,6929.401,7175.766169610211,313.42100000000005,0.045230605069615695,0.21169878036118203,0
Reinsurance,4,411.1982425482893,24658.5,25069.69824254829,1244.7,0.05047752296368392,0,0
Restaurant/Dining,43,51.40186928641924,35487.678,35539.07986928642,1600.7990000000002,0.04510858670437666,0.028265647152065507,0
Retail (Automotive),28,1.2278084781228245,6212.164,6213.391808478123,486.19500000000005,0.07826499751133423,0.23419141165003712,0
Retail (Building Supply),29,58.74632733720864,12397.62,12456.36632733721,523.972,0.04226391839724076,0.14587541693829167,0
Retail (Distributors),116,1611.109489267954,104581.30599999997,106192.41548926792,4121.544999999999,0.039409959175686717,0.09999752276561585,1636.7
Retail (General),32,242.1844131899561,52231.959999999985,52474.14441318994,2049.717,0.0392425825107846,0.03722684495946752,0
Retail (Grocery and Food),32,20.409669544678763,88073.97499999999,88094.38466954467,5737.728999999999,0.06514670196275348,0.2286977259796397,0
Retail (REITs),33,0.010271368861140218,58656.384000000005,58656.39427136887,1655.998,0.028232186968770525,0.03387271715140722,0
Retail (Special Lines),111,111.74227355183393,48285.106,48396.848273551834,2154.457,0.044619494052679516,0.045165384311343676,0
Rubber& Tires,8,0,14977.180000000002,14977.180000000002,701.3300000000002,0.04682657215844371,0.1412706159697218,0
Semiconductor,40,511.5539362916861,24189.322999999997,24700.876936291683,867.128,0.03584755141762339,0.0015830186083032258,213.65300000000002
Semiconductor Equip,22,180.347228722836,8019.449999999999,8199.797228722835,105.04200000000002,0.013098404504049534,0.0011860597421376492,0
Shipbuilding & Marine,62,461.8282248642572,46101.025000000016,46562.85322486427,1882.2930000000001,0.04082974293955502,0.0073013094803432346,336.81399999999996
Shoe,10,197.27778458457306,7318.91,7516.187784584573,392.939,0.05368818580908906,0.12010667369044878,0
Software (Entertainment),56,72.82107882523815,4304.723,4377.544078825238,219.53399999999993,0.05099840338158807,0.03520366283773278,0.208
Software (Internet),28,5.914758540715184,1888.7529999999997,1894.6677585407149,143.846,0.07615924369147264,0.008003801136325614,0
Software (System & Application),339,95.9805654701886,25843.866000000035,25939.846565470223,1262.7039999999988,0.04885894393663847,0.029055043252702518,23.7
Steel,59,312.5384622973361,34224.323,34536.86146229733,1644.6380000000006,0.048054653995639324,0.26114139119620633,0
Telecom (Wireless),12,0,92855.581,92855.581,3536.267,0.03808351594935365,0.02785118838612065,0
Telecom. Equipment,54,25.103462647341075,11131.490999999996,11156.594462647337,770.0339999999999,0.06917617774653909,0.034709488511954656,0
Telecom. Services,64,149.15626987471478,425437.28099999996,425586.4372698747,16906.682,0.039739540362472375,0.010970715912223606,0
Tobacco,6,0,66968.49999999999,66968.49999999999,2801.1670000000004,0.04182812814980179,0.00584049568686741,0
Transportation,59,49.06568896090903,101527.257,101576.3226889609,2165.9019999999996,0.021333207101222086,0.005187842063693169,0.834
Transportation (Railroads),7,1709.617538313908,4422.000000000001,6131.617538313909,151.256,0.0342053369516056,0.08825808436008303,0
Trucking,6,0,1473.8400000000001,1473.8400000000001,35.781000000000006,0.02427739781794496,0.35422496261069164,0
Utility (General),16,0,205880.79999999996,205880.79999999996,7441.821,0.03614626036036387,0.04791246509935492,0
Utility (Water),12,0,24939.407000000007,24939.407000000007,994.491,0.03987628895907588,0,0
Total Market,6971,35060.347478872165,15273844.11099999,15308904.458478862,232173.93599999923,0.015200753282062836,0.26755292984342927,18352.97
Total Market (without financials),6149,32726.707440948114,5695086.048999989,5727812.7564409375,211433.0629999992,0.03712552561644352,0.0574091374143936,16131.17
