Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Education,21,108.92199999999998,325.5560000000001,0.3345722394918231,263.425,36.29419999999982,0.011432778150834934,0.13961047637129737,1.1568730119476967
Electrical Equipment,157,7559.572999999998,5745.513999999998,1.3157348498324084,2362.454000000001,527.3354000000054,0.021113571198724396,0.4258104183837805,2.582985161554047
Electronics (Consumer & Office),21,374.27700000000004,412.5119999999999,0.907311787293461,166.94000000000003,42.52659999999992,0.013448239057395879,0.11264984429264183,1.037587111957704
Electronics (General),151,3035.9809999999984,2403.946,1.2629156395359955,1461.6619999999996,285.9703999999974,0.04423824269915378,0.4273618720806251,1.0526930831996335
Engineering/Construction,162,12869.122999999994,14338.352,0.8975315294254175,10815.428,13.770999999997002,0.021950486008065748,0.5279406674503668,2.878500100650698
Entertainment,200,1328.7579999999994,3927.3270000000007,0.3383364817851936,-3723.587,751.5182000000002,-0.07473918140047343,-4.8942974496902805,1.660282349655472
Environmental & Waste Services,52,1215.422,1092.3649999999998,1.1126519066429263,1723.7299999999998,3.400800000000345,0.06114307706563643,1.6262152851996927,2.8113061125914016
Farming/Agriculture,50,2140.7610000000004,1182.1520000000003,1.8109016437818486,110.457,171.9363999999996,0.024014896250720747,0.30211283643545733,1.3261885460788445
Financial Svcs. (Non-bank & Insurance),143,5362.307999999999,5377.617,0.997153200014058,-104975.463,321.00940000000446,-0.7248754687505768,-13.24685581167195,0.13430142188503127
Food Processing,169,15496.000000000011,10436.226999999999,1.484827802231593,2263.222,193.7301999999836,0.02143335578885205,0.2632581054579969,1.6726467497407846
Food Wholesalers,14,2345.835,1461.3269999999998,1.6052772582727892,262.75,-0.6400000000001,0.014368981532652262,0.6040873310222926,5.1622658295061825
Furn/Home Furnishings,52,1728.34,1433.673,1.205532921384444,1286.085,31.67599999999902,0.033833478472322834,0.7850028191871998,2.175002107404571
Green & Renewable Energy,66,11378.101999999999,3294.8509999999987,3.453297888129085,1258.4669999999999,1.5515999999988708,0.31333998003173413,2.4772724703647206,0.4693919739160227
Healthcare Products,182,7611.896999999999,9615.546,0.7916240013827607,4673.462999999999,822.7115999999878,0.01981543339915971,0.21893006692327655,0.940075987511715
Healthcare Support Services,45,3450.468,4071.3520000000003,0.8474993073553944,741.3539999999999,114.90380000000005,0.0025360862262722795,0.05593433034447083,2.558351029065579
Heathcare Information and Technology,95,5213.072000000002,3174.917,1.6419553645024427,3254.7099999999996,130.85919999999896,0.12055444975008806,1.197360886022791,1.0678963244153075
Homebuilding,43,184.821,177.14400000000018,1.0433376236282337,208.48000000000002,-1.4840000000003783,0.004670596974103765,0.045865768996175414,1.3319275095981733
Hospitals/Healthcare Facilities,29,2096.127,2924.2,0.716820668900896,466.31199999999995,0.06199999999989814,-0.012750529922231073,-0.42362378736925305,0.7750505471569408
Hotel/Gaming,106,3460.9559999999997,7338.0340000000015,0.47164622022737956,4352.356000000001,359.23159999999734,0.008655458586954152,0.0881412396311039,1.4556299207171715
Household Products,70,5282.227000000002,3729.6570000000015,1.4162768855152095,1837.7830000000001,270.0881999999874,0.019743145133810907,0.15350548511730297,1.2611654879612564
Information Services,6,325.55,801.8699999999999,0.4059885018768629,330.8,-0.14779999999996107,-0.01033283040977983,-0.19384242337179988,3.254259659892022
Insurance (General),36,4060.892,2571.718000000001,1.5790580460221524,2815.411,0.0004000000044470653,0.007423584555994471,0.07833969613840742,1.9879784395331015
