Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Steel,59,1.0027157769569044,1.0390117122502491,0.25181142054772787,3.9820107236432967,4.126150076871977
Telecom (Wireless),12,0.3435667640822168,0.7434425442405793,0.23755341206439964,1.4462716451703814,3.1295805763422813
Telecom. Equipment,54,0.9194775409526851,0.9327599212168725,0.18463595591547635,4.979948441752096,5.051886652261146
Telecom. Services,64,0.4805323225844786,0.8493025485157498,0.2428417470839794,1.9787879487553726,3.4973498532031417
Tobacco,6,0.36992835207248065,0.5521081872089911,0.17903747160760589,2.0662063016799515,3.0837577310019184
Transportation,59,0.6869260560129694,0.9435413095451561,0.2581136699895976,2.6613315600086334,3.655526301970687
Transportation (Railroads),7,0.674021457115433,0.9103890615944515,0.2864431181418518,2.3530726152116714,3.1782542638835904
Trucking,6,0.7997064246066335,1.0898056173084412,0.30179881895173905,2.6497997155333977,3.611033406604262
Utility (General),16,0.5538541102343585,0.8869794703920545,0.35712001639678,1.5508906944577312,2.4837013599556164
Utility (Water),12,0.42343844788071633,0.7619072471822499,0.28444495272651427,1.4886481332218975,2.678575379450667
Total Market,6971,0.739245634385866,1.0048847843564543,0.24808126222139715,2.9798527618185653,4.050627505513322
Total Market (without financials),6149,0.8543503934457243,1.0163277560226116,0.24597131225922297,3.4733741329368764,4.131895490932411
