Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Furn/Home Furnishings,52,0.0016758863602628791,17734.724,17810.34052110522,0.004245652744012151,0.4011418618031095,0.40216438231881746,0.5464583233769141,0.5475126029488799,2427.7210000000005,2454.5366957789556,0.10698351172457289,0.10774530028618638,0.05094072181226456,0.05150339392280694,75.61652110522118,0
Green & Renewable Energy,66,0.0044727547128504555,50678.42600000001,50794.1250134572,0.002277803061407926,0.4235923231359992,0.4241350379690234,0.5457026226118644,0.5462535219667349,4861.4580000000005,4850.724197308564,0.06993923406555617,0.06965727467338949,0.16303598396059496,0.1626760104539973,115.69901345718972,0
Healthcare Products,182,0.006458649204203557,99037.29599999996,100246.90676059868,0.01206631505835299,0.16012311901648185,0.16141830397712684,0.33526712003630516,0.3374098542764673,20464.404000000017,20501.27684788027,0.1309479656220104,0.13009539636380996,0.11610824971920024,0.11631745404440506,1209.61076059872,252.1
Healthcare Support Services,45,0.003609390325857307,38727.05100000001,38729.194445281006,5.5344432325526294e-05,0.4110405928877282,0.41105399144909743,0.3992178836428866,0.39923115805700654,5963.973,5964.8343109438,0.15772909020361178,0.1577414774714245,0.06426012487014178,0.06426940525233006,2.1434452809990034,0
Heathcare Information and Technology,95,0.0038037263088124625,22622.670000000002,23015.156479813537,0.017053391757635133,0.12329603083095524,0.12442016916495094,0.32145118650473387,0.3237148911958356,5641.404999999999,5665.738704037294,0.14045630925612962,0.13957869951830323,0.12539289434967862,0.1259337655651799,392.48647981353497,155.3
Homebuilding,43,0.003497970863166344,8638.231999999998,8639.798563956892,0.0001813195001362139,0.15983102403011,0.15985537624126894,0.17175274496283188,0.17177854221394503,6100.968,6101.272687208621,0.15037378990975178,0.15037446987133604,0.13273752488624077,0.13274415390411742,1.5665639568942424,0
Hospitals/Healthcare Facilities,29,0.013805862157824289,36836.5,38237.32309050885,0.0366349675471021,0.7118362052263403,0.7194311472351742,0.7970075192817769,0.8029789711215011,1234.0899999999997,1032.1323818982305,0.029506707302038325,0.02373344191866801,0.043503856719886255,0.03638449323635679,1400.8230905088494,0
Hotel/Gaming,106,0.008542979370187744,68181.62900000002,68472.30322687309,0.0042451358165938565,0.26001126519573725,0.26019411008689136,0.5368791047554877,0.5371153277566113,11886.084000000004,11889.269154625388,0.17821246789451067,0.17740119744848404,0.12328139523267187,0.12331443137024663,290.6742268730741,225.65
Household Products,70,0.0021731076891926505,79186.436,79565.83731112005,0.0047683946269113505,0.12671123978466262,0.12724109530005684,0.41637202642558085,0.4175340104214681,31178.889000000006,31222.536737775994,0.2023371326084152,0.20205614397622612,0.1681680696408899,0.16840349033872104,379.40131112004747,0
Information Services,6,0.0019328863059378317,5363.7,5363.7,0,0.36895919347227624,0.36895919347227624,0.5712566432002386,0.5712566432002386,1057.6229999999998,1057.6229999999998,0.22801082847385545,0.22801082847385545,0.07502165266780018,0.07502165266780018,0,0
Insurance (General),36,0.0014018836646577202,193160.15899999999,194598.98234423337,0.007393786580487865,0.28519189751595514,0.2851184009890474,0.38847515805376737,0.38838950680572887,70951.491,70994.20633115331,0.20561354653686553,0.20472245329413716,0.122361236650661,0.12243490248446091,1438.8233442333876,1509
Insurance (Life),16,0.0015117075093425952,210352.54000000004,210401.32008664627,0.00023184306365638065,0.6311265263941517,0.6311805054282889,0.6921546509170782,0.6922040547725702,29717.89,29718.833982670752,0.09460748923240257,0.09459336208084479,0.2935683034360402,0.29357762857288955,48.78008664623485,0
Insurance (Prop/Cas.),19,0.002654018767849857,30176.435000000005,30796.882001169695,0.020146422652336207,0.1621503180677996,0.16234220730318383,0.26727722769480633,0.2675537969272083,13319.9,13355.810599766062,0.14452121353349257,0.1437933888692453,0.16568523549372577,0.16613192474657007,620.4470011696903,577
Investments & Asset Management,350,0.0022506923671019247,75048.67199999999,75165.21029974741,0.0015504287060820502,0.2133408325806883,0.21340747541079194,0.3074585427138762,0.30754309180592093,15292.87399999999,15300.725340050509,0.10474328759382376,0.104707155723504,0.16354517878946237,0.1636291426547436,116.53829974742257,86.7
Machinery,219,0.003190443843666415,50495.76999999998,51121.23408539206,0.012234917575489557,0.11147463071351832,0.11250013457170427,0.3228040581050966,0.3250624304629704,24026.29699999999,24077.043182921585,0.2205210380588814,0.21950883014834724,0.11250425824945672,0.11274187962192977,625.4640853920791,101.03
Metals & Mining,120,0.004118871907038752,83723.26000000001,83953.78479971924,0.0027458535701419084,0.21324385970742693,0.21370553143345436,0.3097765139019785,0.3103647334773427,45933.25700000001,46120.04004005614,0.19543122189392761,0.1960175944254776,0.11048404017984738,0.11093331258616673,230.52479971923458,0
Office Equipment & Services,22,0.001763083318686969,1351.3049999999998,1355.8554360608634,0.003356136605598517,0.18353775766395994,0.1840420621435346,0.24865478864329163,0.24928338590871557,655.9059999999998,657.2409127878271,0.14084258222977705,0.14095051914825438,0.09527244416103928,0.09546634451267219,4.550436060863603,0
Oil/Gas (Integrated),12,0.0037405755461475563,295406.34,296967.97221952915,0.005258588014921404,0.3044652784122315,0.30558295741481145,0.3359541057873801,0.33713134950655654,209997.49,210474.20355609417,0.2045104782435776,0.20448450542932387,0.18015467063858132,0.18056363825856142,1561.6322195291286,0
Oil/Gas (Production and Exploration),91,0.005376148622862954,33768.012999999984,33887.4008672508,0.003523075367110623,0.3991321397740426,0.3998033854738765,0.45521815194732507,0.45591215258868073,20673.549000000003,20668.602426549838,0.41910414966390547,0.4178701298471732,0.4599820052644771,0.4598719450723545,119.38786725081445,24.7
Oil/Gas Distribution,29,-0.008154959025788755,17391.517000000003,17479.866029925583,0.005054331067201847,0.3674711728584456,0.3683286285853345,0.4792868946663125,0.48020718119507183,4823.78,4843.196194014885,0.13326126350575018,0.1334288566458379,0.26646522508886716,0.26753777410821417,88.34902992557909,24.01
Oilfield Svcs/Equip.,67,0.003867539569891267,44014.894,45178.391496629985,0.02575340684089593,0.2597974954880509,0.26125065655087387,0.2965195790775623,0.29809542275656803,25277.193000000003,25455.218500674007,0.2299161892096209,0.22874112447815312,0.09039615055025074,0.09103280431005355,1163.497496629985,824
Packaging & Container,44,0.003982142088305274,31501.856,32034.27717354724,0.016620358582240653,0.31441525326226843,0.3148965812832652,0.483622796667828,0.4841802213035294,7364.146,7373.094765290552,0.13607489329817038,0.13472367029835985,0.09892748956254402,0.09904770430093714,532.4211735472418,461
Paper/Forest Products,38,0.0021648530706724306,18076.033,18082.96933342076,0.00038358376286905065,0.2104031136344798,0.21046685910956642,0.2543515515606281,0.2544243216584888,5277.946999999999,5278.779733315848,0.0757509839133112,0.07575391282338355,0.10613416595263006,0.10615091137579148,6.936333420759183,0
Power,73,0.0029793167915397314,358444.4069999999,358718.5623384737,0.0007642630386523174,0.3924613874734161,0.39264369952352657,0.4872856006422932,0.4874766177040686,116540.689,116583.94593230523,0.20171513672974992,0.20167691368711368,0.17289728275293334,0.17296145781590902,274.15533847379265,0
Precious Metals,46,0.003752733704292322,2562.6090000000004,2620.322320502383,0.022025275307091727,0.15136414194535142,0.15424724482171345,0.18095007564980206,0.18427434804735515,1008.9610000000001,1030.1023358995237,0.07953536985384713,0.08079270763692373,0.13098425817333123,0.13372884612033048,57.71332050238243,0
Publishing & Newspapers,72,0.02223674592956637,12142.41,12248.74729681624,0.008681483439851848,0.35910757492628104,0.3596615438399989,0.4495272670605415,0.4501227550849321,1698.0879999999995,1710.4735406367515,0.08998682061190377,0.09005961010302495,0.06362153130288754,0.06408557501636077,106.33729681624027,76.9
R.E.I.T.,142,0.0008458168767641281,117288.09299999996,117334.68257938947,0.00039706571292746716,0.449177648588967,0.4492759109228587,0.3813065161833972,0.3814002117104728,11544.351000000004,11551.143084122104,0.04100198042441991,0.04101923364502555,0.5432215247337324,0.5435411274808186,46.58957938950334,0
Real Estate (Development),66,0.0028772697402651174,12868.519000000002,12873.816398714176,0.0004114862718333586,0.4394316494334658,0.43953303483989603,0.4545927078258539,0.45469475388424246,1047.1409999999998,1050.295520257165,0.04747247066396753,0.047602645375668,0.06640162015892262,0.06660165554661149,5.297398714174051,0
Real Estate (General/Diversified),48,0.008007987427768135,20054.362999999998,20067.415611234166,0.0006504380776795917,0.6358087109606441,0.635959359482481,0.5571398777776028,0.5573004098808209,732.0599999999998,734.0894777531662,0.02114028125533957,0.021190057980240897,0.18813630540346402,0.18865787255148364,13.05261123416858,0
Real Estate (Operations & Services),237,0.009026985380158973,273895.47500000015,274355.7129717459,0.0016775228288871805,0.5469359643179578,0.5470722345322214,0.5211667335837037,0.5213039708390566,17698.65600000001,17738.58640565085,0.03301812558629088,0.033061130731187105,0.3302550602369399,0.33100015740835814,460.23797174572246,309.38
Recreation,60,0.0038915067353055186,6929.401,7175.766169610211,0.034332942822688735,0.2216161525255183,0.22770128916860322,0.4916868295797403,0.5004201047076626,1710.8859999999995,1674.792966077957,0.14339133276806937,0.1370412377939043,0.12010109662204917,0.11756743105084563,246.36516961021152,0
Reinsurance,4,0.00044714400382963064,24658.5,25069.69824254829,0.016402201517144856,0.16693215413121285,0.16924473907161863,0.29025947196871693,0.29367827092847343,16367.7,16356.460351490343,0.2973895577566125,0.2943058378256075,0.0914268446156433,0.09136406208677077,411.1982425482893,0
Restaurant/Dining,43,0.00840301029597857,35487.678,35539.07986928642,0.0014463477804005209,0.27557588412065603,0.27586492689774966,0.5241810232340384,0.5245420129009265,3056.903,3073.222626142714,0.07796670363860915,0.07826979322479882,0.02865188375007979,0.028804845107076007,51.40186928641924,0
