Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Oilfield Svcs/Equip.,67,0.018426571428571428,0.3387581481481481,0.26101406779661024,0.08590345454545455
Packaging & Container,44,0.05057947368421052,0.37663312499999996,0.2465751612903226,0.20603516129032265
Paper/Forest Products,38,0.04060588235294118,0.4132990322580647,0.2030683333333333,0.18155249999999998
Power,73,0.09118347826086959,0.47335862068965523,0.13065865671641796,0.09007945945945944
Precious Metals,46,0.011740000000000002,0.21681390243902446,0.27781214285714295,0.15178210526315797
Publishing & Newspapers,72,0.06914000000000002,0.34379836734693875,0.25998777777777776,0.23712160000000004
R.E.I.T.,142,0.028198723404255322,0.27282838383838387,0.391998103448276,0.1584526000000001
Real Estate (Development),66,0.2266559090909091,0.46700418604651184,0.17734575,0.28042349999999994
Real Estate (General/Diversified),48,0.19236555555555557,0.46265121212121213,0.22766281249999998,0.20546464285714283
Real Estate (Operations & Services),237,0.05067716049382717,0.39100917159763315,0.2485787113402061,0.15111973856209146
Recreation,60,0.04189954545454546,0.27584833333333325,0.27951511111111105,0.20567255813953483
Reinsurance,4,0.00033,0.1427475,0.39049999999999996,0.001465
Restaurant/Dining,43,0.031229545454545454,0.18279575757575764,0.39979714285714296,0.23316351351351347
Retail (Automotive),28,0.04099,0.2593208695652173,0.3266225000000001,0.18131285714285714
Retail (Building Supply),29,0.14843578947368422,0.21786666666666674,0.40323703703703706,0.22467320000000002
Retail (Distributors),116,0.09906968253968255,0.2432968421052632,0.34630317647058817,0.26156554347826094
Retail (General),32,0.06847833333333334,0.3499542857142858,0.2646061538461538,0.1888766666666667
Retail (Grocery and Food),32,0.05543857142857142,0.30864879999999995,0.2815172413793103,0.212677
Retail (REITs),33,0.0004783333333333334,0.2042490476190476,0.3597851724137931,0.061
Retail (Special Lines),111,0.07822916666666667,0.27233128571428566,0.2616361904761905,0.18496666666666658
Rubber& Tires,8,0.0008366666666666667,0.5623471428571429,0.18337499999999998,0.034115999999999994
Semiconductor,40,0.07346789473684211,0.2028296153846153,0.2568645161290323,0.1709258333333333
Semiconductor Equip,22,0.005612000000000001,0.21309882352941176,0.285422380952381,0.1887
Shipbuilding & Marine,62,0.07741257142857143,0.4137628260869565,0.17226321428571428,0.13276326530612248
Shoe,10,0.011366666666666667,0.43801555555555555,0.2314625,0.09883833333333333
Software (Entertainment),56,0.14806655172413793,0.22799976190476193,0.25795475,0.217822340425532
Software (Internet),28,0.19839444444444448,0.2785025,0.1279009523809524,0.3689963157894736
