Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Healthcare Products,140,0.09862057349088213,1.0245325815360387,0.10103999075117809
Healthcare Support Services,75,0.11147818317946549,0.6300200372833098,0.0702334891230025
Heathcare Information and Technology,45,0.08968411927015418,1.735029575405967,0.1556045993779537
Homebuilding,4,0.028120916673987393,-0.21821061429533162,-0.006136282501978623
Hospitals/Healthcare Facilities,25,0.14289256965705527,1.0794704906099857,0.154248312272223
Household Products,34,0.03742421856774497,1.3439254898232544,0.050295361269909196
Information Services,3,0.032598672540742835,7.135662967699213,0.23261314044513187
Insurance (General),6,0.05807338165243119,0.739176497742553,0.04292647886191073
Insurance (Life),8,0.10673785954096077,0.15958453231458544,0.017033711395104137
Insurance (Prop/Cas.),3,0.07824269237113454,0.9238609267262051,0.07228536628354974
Investments & Asset Management,42,0.0008304742862517119,10.252354882962134,0.008514317103827232
Machinery,421,0.07693695055355242,1.5535434150749765,0.11952489290842043
Metals & Mining,129,0.08187819920064937,1.1719375662889617,0.09595613750333183
Office Equipment & Services,10,0.06985373151228051,0.8987257648295207,0.0627793482795703
Oil/Gas (Integrated),4,0.08818125282625508,0.6486347921866912,0.057197428601720036
Oil/Gas (Production and Exploration),15,0.23607699592240133,0.5049253990331956,0.11920127136867657
Oil/Gas Distribution,21,0.07431741182799922,1.0444193219748528,0.07761854087232485
Oilfield Svcs/Equip.,56,0.06411498436949326,1.3810964264510883,0.08854897579467452
Packaging & Container,22,0.05269752739958879,1.0255995497540429,0.0540465603741696
Paper/Forest Products,47,0.0072343785708197115,9.288615343248278,0.06719735979178253
Power,101,0.05371568572178924,1.122211791068745,0.06028037588233492
Precious Metals,19,0.09967504638767649,1.4697215929547236,0.14649456795473187
Publishing & Newspapers,41,0.10660981268681477,0.09609521579330067,0.010244692955822829
R.E.I.T.,9,0.024549780062181538,0.6738241473865224,0.01654223461892612
Real Estate (Development),206,0.01277637463864178,-10.31521569859603,-0.13179106024366186
Real Estate (General/Diversified),56,0.022291856666822533,0.9091364539447437,0.020266339521919533
Real Estate (Operations & Services),125,0.03833672319469034,0.45043020405755685,0.017268018051482443
Recreation,62,0.05149619018286703,0.5007772957096653,0.02578812285912677
Reinsurance,1,0.04512515977579166,-0.08453653697784641,-0.003814724738017439
Restaurant/Dining,48,0.056355152253614336,-0.40761596691906105,-0.02297125987672791
Retail (Automotive),28,0.04546235748509948,1.1966834633221248,0.05440405140605738
Retail (Building Supply),7,0.10647381613795645,-0.6128244030663442,-0.06524975281693884
Retail (Distributors),136,0.06515919204211572,1.2319500012674225,0.08027286671886869
Retail (General),58,0.030091157969681242,1.5770064193182718,0.04745394928290749
Retail (Grocery and Food),29,0.010317174590417215,-0.1988737458132085,-0.0020518151570051266
Retail (REITs),2,0.02927486025300628,1.7790588773405394,0.05208170001601453
Retail (Special Lines),71,0.033904344781251025,0.5727776164971199,0.019419649792701527
Rubber& Tires,15,0.07393414305124534,1.0820831783962102,0.08000289250489162
Semiconductor,173,0.0928822041397873,2.6155183833141114,0.24293511241034774
Semiconductor Equip,59,0.19119221710258744,1.602017252226786,0.30629323028983424
Shipbuilding & Marine,56,0.13267116622572023,-0.003919021767335363,-0.0005199411883363658
Shoe,21,0.0495410135693459,0.3284250165925458,0.016270508203523965
Software (Entertainment),33,0.09065730953665188,0.19569878521556197,0.017741525347233954
Software (Internet),19,0.03474669514024803,1.8942309828228765,0.06581826648535889
Steel,111,0.027700129112490753,0.9957324356353302,0.027581917028593535
Telecom (Wireless),8,0.10606150031681545,0.6241714836614837,0.06620056401210962
Telecom. Equipment,125,0.04328322426645349,2.330289578366036,0.10086244642619649
Telecom. Services,16,0.06556592360235802,-2.358034032679188,-0.15460667923840385
Tobacco,2,0.13888296980093676,-0.03852998017106212,-0.005351158072528312
Transportation,141,0.05148663592615323,0.6657354765988556,0.03427648010676938
Transportation (Railroads),10,0.043837176707404446,0.46222733895107754,0.020262741536591716
Trucking,7,0.025888842975665367,2.3771076111296305,0.06154056568079402
Utility (General),4,0.004575535585797549,3.7315492852901877,0.017073836545002663
Utility (Water),38,0.0387833310392573,1.1087365374526092,0.04300049616734445
Total Market,7504,0.0387833310392573,0.8432124238348084,0.03270258656999991
Total Market (without financials),7161,0.0650803131143393,0.860550661784395,0.05600490651968033
