Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Hospitals/Healthcare Facilities,25,963.022,452.245,2.129425422061051,394.835,12.255400000000009,0.10583922567075785,1.044859913093353,1.3075846070382762
Household Products,34,647.7840000000001,430.90500000000014,1.5033104744665295,12.706000000000003,-9.269000000000062,0.019459828045202156,0.6427200838236954,1.190675939024004
Information Services,3,37.080000000000005,2.1200000000000006,17.490566037735846,0,-2.177999999999999,0.2785216652506373,5.563990852174388,0.7940952239591416
Insurance (General),6,623.226,338.09000000000003,1.8433730663432812,1106.99,1.3260000000000218,0.0209518717349439,0.45819222997195524,1.3125458547072693
Insurance (Life),8,3047.2,3312.2999999999984,0.9199649790176014,9948,0,0.022937928136242704,0.19297663011075997,0.8155579203041099
Insurance (Prop/Cas.),3,1570.368,737.5100000000002,2.1292836707298877,0,0,0.005524759187556094,0.13693657358074685,1.8907196143059966
Investments & Asset Management,42,268.39000000000004,352.0279999999999,0.7624109445839539,4.578,0.17699999999996407,-0.012945047017550297,-0.41821255441130517,0.01998983721608327
Machinery,421,13203.286999999998,5177.588999999999,2.550084025595697,773.229,408.4617999999955,0.051139909150652293,0.8388604677880681,1.133166540250408
Metals & Mining,129,17207.708000000006,9461.356000000002,1.8187359190373984,749.066,364.10819999999876,0.02278731650731295,0.6135108407259666,2.003692504807848
Office Equipment & Services,10,267.78999999999996,115.618,2.316161843311595,60.18,-12.158599999999979,0.02797169204974151,0.8503614554574886,2.1181699083022143
Oil/Gas (Integrated),4,63588.200000000004,51910.100000000006,1.2249677808364845,124,433.31699999999546,0.01376123369332513,0.32811515600795343,2.257667290384548
Oil/Gas (Production and Exploration),15,18066.518,9743.816000000003,1.854152213054926,-46.632,80.63660000000164,0.12587029858230153,0.44829567912423646,0.7041678001894102
Oil/Gas Distribution,21,3963.835,1524.9859999999996,2.599259927632123,30.46200000000001,41.86040000000139,0.09123109245681904,0.9170635552795162,0.7225388719092837
Oilfield Svcs/Equip.,56,2166.9890000000005,1580.4040000000005,1.371161424547141,168.67099999999996,-6.833999999999833,0.013018778914790387,0.42061161520087137,1.7912879500619239
Packaging & Container,22,787.257,459.49199999999985,1.713320362487269,2.212,6.438400000000115,0.03560987588980924,0.7463000154662712,0.9989448550651028
Paper/Forest Products,47,5721.487000000002,2002.5400000000002,2.857114963995726,83.401,-50.00400000000019,0.095802220252908,9.881268569945414,0.7264352303190869
Power,101,69851.31599999999,32376.089999999993,2.15749696766966,1916.257,48.04980000000069,0.10326504371404562,1.203032267037229,0.5962421762292516
Precious Metals,19,6022.126000000001,2662.5620000000004,2.261778692852974,1914.99,38.33300000000145,0.0688309246963563,1.1692019196692354,1.6024454189880426
Publishing & Newspapers,41,661.61,393.012,1.683434602505776,116.754,-24.639599999999973,0.017757668100063757,0.19963517861687455,1.2385235192189987
Real Estate (Development),206,17786.210999999992,7587.711999999998,2.344080929798073,1151.8800000000006,-180.63879999998244,0.014365435266395606,1.8248606210651783,0.5168247937794971
Real Estate (General/Diversified),56,3713.0149999999994,2340.159,1.5866507361251947,1591.4319999999998,6.392600000001039,0.04287081796819541,0.4082722781165272,0.17376850739986568
