Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Oilfield Svcs/Equip.,56,24.849056603773583,38953.92000000001,27171.950000000004,39798.895726339906,29536.738726339918,11226.805726339922,57487.88,7289.317000000001,3962.1349999999993,2382.505654732015,1575.4780000000005
Packaging & Container,22,20.454545454545453,11669.89,6646.999999999999,13670.927747010572,8812.14674701057,3736.3277470105695,9447.249999999996,1447.605,1022.056,562.4454505978858,412.2699999999999
Paper/Forest Products,47,31.630434782608695,31961.930000000008,31710.729999999996,53953.672756229316,52697.043756229315,29398.891756229314,39167.61,3439.3769999999995,2460.5430000000006,457.77584875413794,-119.27100000000006
Power,101,29.846938775510203,326567.4200000001,276782.39999999997,712181.6578310347,743841.0448310341,449303.9078310344,381925.3,69044.561,74256.10400000002,41912.863833793126,22295.718999999997
Precious Metals,19,19.22222222222222,82609.02800000002,26229.7,108464.56749431977,60719.85949431979,33313.21849431977,77187.50000000001,9624.13,8468.3,5641.187901136043,3148.66
Publishing & Newspapers,41,26.105263157894736,48775.639999999985,26558.68,39501.443999999996,17041.784,2305.354,20313.05,6915.893,2257.6400000000003,1864.568,2267.770000000001
R.E.I.T.,9,11.125,5378.099999999999,18605.5,13778.760000000002,26180.784,9830.8,1367.2999999999997,1052.2,537,802.8,-131.85
Real Estate (Development),206,27.707070707070706,279537.9000000001,633626.3800000005,1121213.9684796217,1680647.293479622,1107396.1014796211,777542.7610000002,94710.11900000002,30897.735000000026,23301.69550407569,-42260.345000000016
Real Estate (General/Diversified),56,39.43396226415094,113765.67999999996,273340.2,253983.1515381844,430007.72453818435,172349.7535381844,69293.77,22705.70699999999,13125.577999999998,10804.153292363118,5309.226000000001
Real Estate (Operations & Services),125,29.270491803278688,80503.64,168762.8429999999,115086.41822079627,209339.2829622409,56861.336220796285,54112.540000000015,17200.404,9930.635000000002,8776.063955840751,1410.804
Recreation,62,26.95,29205.97,13016.919999999998,28521.568062884147,11992.355062884137,4092.9890628841354,12044.099999999997,3645.3699999999994,1182.5829999999999,768.0685874231731,326.83600000000007
Reinsurance,1,71,2474.2,13269.1,10222.3,21347.2,9222.6,24266,3101.9,1002,907.3,471.1
Restaurant/Dining,48,23.804347826086957,103539.52,30063.515000000003,111422.5957697009,39273.776769700926,15305.776769700904,59575.01999999999,17711.206999999995,5315.865000000002,2834.7524460598197,2614.911
Retail (Automotive),28,19.12,14435.929999999998,21063.220999999998,28830.71936329302,31150.889363293023,20950.758363293025,80735.573,5524.21,2574.904,1622.9009273413951,449.9030000000001
Retail (Building Supply),7,26.142857142857142,1552.17,918.23,1685.1309999999996,1059.841,232.42,804.44,408.44,150.261,117.517,104.914
Retail (Distributors),136,28.0546875,82881.09999999999,73675.67999999995,158111.5822006766,183090.23520067672,121217.59820067673,513727.9249999998,22500.731,14228.583000000002,10752.91335986466,4834.483999999995
Retail (General),58,36.69090909090909,45984.080000000016,35883.47,62078.84236966405,53147.239752176974,29649.962369664063,50831,13227.379999999997,3717.4639999999995,1955.7605260671885,581.5050000000007
