Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Healthcare Products,140,2797.8711000000008,606.889,2486.2270000000003,1879.3380000000002,0.032301298522726306,4233.021,5681.128000000001,1448.1070000000009,0.16103565408449888,325.3500000000005
Healthcare Support Services,75,2790.9422,2203.3450000000003,753.4250000000001,-1449.92,-0.02703287481494276,48132.281,50253.29300000001,2121.0120000000097,0.053832772749776436,111.38700000000017
Heathcare Information and Technology,45,710.2660000000001,291.96000000000004,971.647,679.687,0.024254439178966,3314.9950000000003,4003.001,688.0059999999999,0.10773801162777404,127.899
Homebuilding,4,22.19,0,16,16,0.027519779841761266,175.003,183.27,8.267000000000024,0.04492177948280466,9.713999999999999
Hospitals/Healthcare Facilities,25,249.79749999999996,47.04099999999999,716.3889999999999,669.348,0.08457803100087564,2252.051,1888.944,-363.10699999999997,-0.10060715009072757,51.1569999999999
Hotel/Gaming,80,350.29170000000005,50.78900000000001,513.235,462.446,0.00849265345606421,12823.152,12306.266,-516.8860000000004,-0.009264789551658438,349.84000000000026
Household Products,34,409.64,52.480000000000004,389.812,337.332,0.03156954936473829,1728.4279999999999,2171.9010000000003,443.4730000000004,0.1959428739831671,23.372000000000043
Information Services,3,12.920000000000002,3.29,13.379999999999999,10.09,0.06373973468098547,1.589,2.497,0.9079999999999999,0.4546820230345518,5.907
Insurance (General),6,2106.78,3.21,2.34,-0.8700000000000001,-2.504547769354757e-05,4597.06,1671.4279999999999,-2925.6320000000005,-0.17221524386091103,17.506
Insurance (Life),8,13456.8375,4918,807.9,-4110.1,-0.01581845017598079,173941.9,150593,-23348.899999999994,-0.06505562587714299,34.649999999999636
Insurance (Prop/Cas.),3,2311.5499999999997,0,0,0,0,4006.1,7095.099999999999,3088.9999999999995,0.1289673427466829,-200.89999999999998
Investments & Asset Management,42,592.7785,2494.4620000000004,1944.4040000000002,-550.0580000000002,-0.01227341563732017,28888.935999999998,20694.623,-8194.312999999998,-0.033218631275622315,-10.229000000000013
Machinery,421,6024.498599999999,460.981,9519.288999999999,9058.307999999999,0.06686738996838705,41365.33400000001,45119.611000000026,3754.2770000000164,0.06531960347210214,1459.5559999999973
Metals & Mining,129,6993.830499999999,791.091,4220.839,3429.748,0.025729858942000486,93958.24299999999,103291.24599999998,9333.002999999997,0.0857957019759241,1245.047000000001
Office Equipment & Services,10,143.689,22.83,68.045,45.215,0.014417588724849335,1254.217,1227.5000000000002,-26.71699999999987,-0.020037499531255765,24.729
Oil/Gas (Integrated),4,17289.5,682.5,0,-682.5,-0.0022548141521056327,197782.2,195763.7,-2018.5,-0.015671790699100845,2826.76
Oil/Gas (Production and Exploration),15,8865.4,124.80700000000002,19.1,-105.70700000000002,-0.001176413633920314,4192.265000000001,922.1870000000001,-3270.0780000000013,-0.14359703575362345,322.2079999999992
Oil/Gas Distribution,21,1428.8699999999997,26.7,33.134,6.434000000000001,0.00028075509768610496,12032.507,11548.210999999998,-484.2960000000021,-0.021926654892065998,200.61899999999994
Oilfield Svcs/Equip.,56,770.81,27.413999999999998,155.66100000000003,128.24700000000004,0.004719830560559695,8600.021,9558.993,958.9719999999998,0.08550806425222528,1988.3369999999998
Packaging & Container,22,337.23,53.01,0.267,-52.742999999999995,-0.007934857830600271,3037.51,3187.8880000000004,150.37800000000016,0.040253925934253955,106.07899999999998
Paper/Forest Products,47,1206.0757999999998,187.411,202.17900000000003,14.768000000000029,0.0004657098717058873,22294.04,24998.245000000003,2704.2050000000017,0.0919867829367657,318.76700000000017
Power,101,22463.704,3716.9160000000006,20610.373,16893.457,0.061035156137095425,255008.038,273894.04999999993,18886.01199999993,0.04203473148308029,2406.6759999999995
Precious Metals,19,1882.9160000000002,114.68,842.4000000000001,727.72,0.02774412212110699,17699.56,23413.86,5714.299999999999,0.17153277046482043,298.0740000000002
Publishing & Newspapers,41,1178.1009999999997,70.88,88.865,17.985,0.0006771797393545161,1727.422,1436.198,-291.22399999999993,-0.12632506764687765,320.7580000000001
R.E.I.T.,9,516.4999999999999,0.475,16.6,16.125,0.0008666792077611459,2406.91,2791.886,384.9760000000001,0.039160190421939224,0.20800000000000002
Real Estate (Development),206,29272.728000000014,7618.761,6797.174000000002,-821.5869999999986,-0.0012966426681919367,389341.177,332819.66500000027,-56521.511999999755,-0.05104517003355054,-40112.845000000016
Real Estate (General/Diversified),56,6401.513999999998,1188.426,433.342,-755.084,-0.002762433041316279,63680.829999999994,63893.239,212.40900000000693,0.0012324364218270498,603.5000000000001
Real Estate (Operations & Services),125,3693.2846000000004,73.825,942.0809999999999,868.2559999999999,0.005144829184940907,23847.869,21665.546999999995,-2182.3220000000038,-0.03844553156546631,-31.953999999999724
Recreation,62,360.649,27.197,324.412,297.215,0.022832974313432057,4710.373999999999,4413.237999999999,-297.1359999999995,-0.07274602179374205,88.77999999999992
Reinsurance,1,263.6,0,0,0,0,520.2,672,151.79999999999995,0.016459566716544135,-54.099999999999994
Restaurant/Dining,48,476.1608,344.481,123.33000000000001,-221.15099999999998,-0.007356125855542839,7360.97,4533.017,-2827.9530000000004,-0.21928501042629162,-40.59200000000419
Retail (Automotive),28,913.734,113.34300000000002,154.215,40.871999999999986,0.0019404439615384557,52173.916,52137.079,-36.836999999999534,-0.001758437799600793,145.3499999999999
Retail (Building Supply),7,124.57639999999999,0,0,0,0,55.449999999999996,35.870000000000005,-19.57999999999999,-0.0842440409603304,34.43900000000008
Retail (Distributors),136,7289.402199999996,1523.707,4081.6270000000004,2557.92,0.0347186479989055,148123.97300000003,143313.16800000003,-4810.804999999993,-0.03968773372452339,684.0739999999992
Retail (General),58,1121.7776999999999,137.739,643.282,505.543,0.014088464688615677,12699.245000000003,11176.809000000001,-1522.4360000000015,-0.053795213067150426,524.7369999999996
Retail (Grocery and Food),29,404.1119999999999,36.314,199.902,163.588,0.014893900036208671,9520.35,7013.133,-2507.2170000000006,-0.20103217519315705,291.96600000000035
Retail (REITs),2,738.6999999999999,13.5,2402.4,2388.9,0.09388005328869031,2625.8,3318.6,692.7999999999997,0.07482126271680668,-6.13
Retail (Special Lines),71,3493.8442000000005,203.53300000000002,385.69,182.15699999999998,0.003531421366226601,20684.911,16865.58,-3819.3309999999983,-0.12890164961249997,-3913.891999999998
Rubber& Tires,15,457.844,47.75,564.5,516.75,0.04001967101390912,6276.49,6985.842000000001,709.3520000000008,0.09252584742402306,173.082
Semiconductor,173,4854.093600000001,292.81800000000004,16641.138000000003,16348.320000000003,0.12947998267403565,32749.290000000008,41627.37400000002,8878.08400000001,0.15583740088563908,1579.1189999999995
Semiconductor Equip,59,2667.0060000000008,554.0840000000001,3184.4359999999992,2630.351999999999,0.05558024988748087,6932.013000000001,14700.237000000001,7768.224,0.4189254580638211,269.419
Shipbuilding & Marine,56,16717.1592,155.334,654.6810000000002,499.34700000000015,0.003503223321568158,27315.10899999999,19965.040999999997,-7350.067999999992,-0.1293053102173699,3865.3179999999957
Shoe,21,553.1378,30.36,107.73400000000001,77.37400000000001,0.006713538399332934,1405.129,1229.082,-176.0469999999998,-0.0681782711120973,-343.35699999999997
Software (Entertainment),33,1947.1405999999997,6202.494,618.716,-5583.777999999999,-0.04746605434382243,4962.210999999999,4352.269000000001,-609.9419999999982,-0.011510274000198452,157.62599999999838
Software (Internet),19,413.87,35.205000000000005,212.81799999999998,177.61299999999997,0.021204003156491034,4114.274,4300.710000000001,186.4360000000006,0.03227652734232318,250.51599999999996
Software (System & Application),189,1171.6753999999996,925.7180000000001,3141.8509999999997,2216.133,0.03275437730955494,7847.9850000000015,9954.796999999999,2106.811999999997,0.1859389541567063,88.84399999999937
Steel,111,7041.380000000002,922.5490000000001,1805.8769999999997,883.3279999999996,0.005490548996720217,72125.33900000004,74942.28600000001,2816.946999999971,0.02966367405426063,2099.958999999998
Telecom (Wireless),8,14213.16,108.82600000000001,461.109,352.28299999999996,0.0017817798528278962,6937.780000000001,216.98999999999998,-6720.790000000001,-0.31626906232398727,1248.2039999999943
Telecom. Equipment,125,1968.5370999999998,305.9300000000001,1737.794,1431.864,0.028128259760077726,47149.07599999999,48281.08800000001,1132.0120000000243,0.05523292776595344,425.0730000000008
Telecom. Services,16,5040.634299999999,6.418000000000001,19.916999999999998,13.498999999999997,9.612008523848554e-05,8098.960999999999,6010.686,-2088.2749999999996,-0.05425626995694884,460.2999999999993
Tobacco,2,0.635,8.6,0,-8.6,-0.002746463130329256,0.061,0,-0.061,-0.0009561128526645768,-1.6529999999999987
Transportation,141,6771.350399999998,2144.242,2421.685,277.44299999999976,0.0024199976520763965,61477.42300000002,59758.512999999984,-1718.9100000000326,-0.016897329087396107,4254.769999999991
Transportation (Railroads),10,2704.6200000000003,24.6,0.336,-24.264000000000003,-0.00032058642052788957,12462.099999999999,13245.7,783.6000000000022,0.034073416994964745,909.5829999999987
Trucking,7,50.35680000000001,9.63,128.08,118.45000000000002,0.07786615829608205,1289.6000000000001,1102.1,-187.50000000000023,-0.11214785573299853,8.992000000000019
Utility (General),4,89.39999999999999,0,0,0,0,918.8599999999999,1161.6,242.74,0.17531417015744621,2.48899999999999
Utility (Water),38,2339.3754,34.05,992.591,958.541,0.025366750204433765,16783.214,17335.019999999993,551.8059999999932,0.010795872961464616,269.90099999999995
Total Market,7504,504086.7439999993,72049.65600000015,249226.58099999954,177176.9249999994,0.016350724557323507,6623717.489999994,6822816.561000007,199099.0710000135,0.01569183485408053,-259259.59399999864
Total Market (without financials),7161,378380.23419999937,60025.24600000015,205395.8479999995,145370.60199999934,0.02065080591484068,3332371.223999994,3440902.2900000075,108531.06600001361,0.019393121719617643,-259105.59299999854
