Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Retail (REITs),2,-0.007647477236376212,0.9776646706586827,-0.007476668313671522
Retail (Special Lines),71,-0.017982434883014892,0.9945011865413474,-0.017883552828060825
Rubber& Tires,15,0.09680307301508627,0.6337130788185221,0.06134537343948452
Semiconductor,173,0.09625828549143729,0.600607847665851,0.05781348166901716
Semiconductor Equip,59,0.20525490593826132,0.7254401235362243,0.1489001443202684
Shipbuilding & Marine,56,0.13018990552079324,0.09915402007783758,0.01290885250594051
Shoe,21,0.04453239763402739,-0.07773922090877727,-0.0034619138972691653
Software (Entertainment),33,0.22945288011990075,0.9278628819457758,0.21290081061880972
Software (Internet),19,0.025053752272757118,-0.9721242733250737,-0.024355360722220425
Software (System & Application),189,-0.024194233033408372,0.9945849932153896,-0.02406322109738402
Steel,111,0.03221814554440128,-0.35847302059207453,-0.011549335951176614
Telecom (Wireless),8,0.09754124769047831,0.2630047372918619,0.02565381022395468
Telecom. Equipment,125,0.06409204472189468,0.3966343651707813,0.025421107470766025
Telecom. Services,16,0.05675850090263448,0.3676364572928563,0.020866494193097926
Tobacco,2,0.07833807044997286,0.9974113330615573,0.07813527927697762
Transportation,141,0.0842117628913963,0.2986356263478114,0.025148632556925513
Transportation (Railroads),10,0.052145500572758886,0.31471355816251545,0.016410896027418437
Trucking,7,0.012829345253747045,-1.5802828448452546,-0.020273994215093346
Utility (General),4,0.06139701132595495,0.37293960861331277,0.02289737737392877
Utility (Water),38,0.07371922833889177,0.3689637052753719,0.02719971963795871
Total Market,7504,0.07371922833889177,0.3689637052753719,0.02719971963795871
Total Market (without financials),7161,0.06398103928103295,0.15988726616841464,0.010229753457258309
