Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Business & Consumer Services,124,1921.483,342.756,1238.1509999999996,3.6123393901200846,0.10535689400435128,0.17838096928258015,0.25232178898411683,0.6443726017872652,0.9054253078655626
Chemical (Basic),284,13172.29300000001,1612.115,10604.661000000006,6.57810453968855,0.0933266400804478,0.12238681602360339,0.074246326543189,0.8050732700828928,1.2330700064300746
Chemical (Diversified),5,1530,220.31,436.9,1.9831147020108029,0.1329740682449717,0.14399346405228758,0.14399346405228758,0.28555555555555556,0.28555555555555556
Chemical (Specialty),244,24540.554999999993,3938.1950000000006,8179.654,2.077005836430141,0.09899415257804105,0.16047701447664903,0.16831580076253408,0.33331169568088426,0.35457534685047926
Coal & Related Energy,39,39698.782,8428.671999999999,24382.847000000005,2.8928456345198876,0.2076282815910011,0.21231563225289882,0.2141648930673507,0.6141963499031281,0.616660894470685
Computer Services,150,2883.7740000000017,303.0309999999999,1545.409,5.09983797037267,0.07187617771511967,0.10508139680848767,0.14690829724953253,0.535898097423723,0.7855038931875448
Computers/Peripherals,63,7615.308,1496.7580000000003,2466.0820000000003,1.6476157134286236,0.08527985444510773,0.19654595716942772,0.20436995135218528,0.3238322074432184,0.34616239248934005
Construction Supplies,55,7186.72,1328.0279999999998,7303.107,5.4992116130081605,0.13792174510883476,0.18478916668521936,0.2454920482511343,1.016194731393459,1.2634750677963904
Diversified,15,28125.2,5911.830000000001,6136.918000000001,1.0380741665440312,0.16996201930888238,0.21019690526645146,0.21094405554501483,0.21819997724460627,0.21886891370807487
Drugs (Biotechnology),126,5473.249999999999,713.697,1772.0990000000002,2.4829850762998866,0.05275616786924671,0.13039729593934135,0.812945220487906,0.3237745398072444,2.382260143868644
Drugs (Pharmaceutical),274,22544.83000000001,3142.9649999999997,9495.924000000003,3.0213266771981244,0.09995410389051763,0.13940956751503553,0.15944451156350573,0.4212018453898299,0.47367609813075023
Education,52,1737.4679999999998,176.20600000000002,218.60499999999996,1.2406217722438506,0.07684838873793984,0.10141539297414401,0.1360828162547972,0.12581814456438908,0.16334675346412728
Electrical Equipment,334,28230.470999999976,3495.8170000000014,9429.937999999996,2.697491888162336,0.09249125744930765,0.12383133813105719,0.12035796430816464,0.33403403010881416,0.3612921255307976
Electronics (Consumer & Office),29,1608.377,169.64899999999997,381.199,2.246986424912614,0.05994166633442939,0.10547837975797962,0.09470208104069049,0.23700848743795766,0.3413323997109592
Electronics (General),442,22605.573999999993,2251.7750000000005,4494.383999999998,1.9959294334469462,0.06621163827207736,0.09961149405009584,0.11066705558174879,0.19881751288421162,0.26650747950946635
Engineering/Construction,345,62927.48600000002,10850.291000000001,38290.985,3.5290283919574135,0.09692525961632584,0.1724253055334198,0.18912931195986363,0.6084937987193703,0.6737033277589876
Environmental & Waste Services,120,4080.35,635.325,1237.4370000000001,1.9477228190296305,0.1004761945544854,0.15570355484210915,0.4182322221538616,0.3032673667700075,1.1195971597427554
Financial Svcs. (Non-bank & Insurance),115,8213.545,1768.957,2756.711999999999,1.5583827080025117,0.11456682836500678,0.21537070777599684,0.4152121976004043,0.3356299868083756,0.7774844945160033
Food Processing,231,19530.511,3656.5340000000006,6945.155,1.8993820377439397,0.13769876624070523,0.18722162466716824,0.208679517062997,0.35560539097005706,0.40719784249176755
Food Wholesalers,14,275.10999999999996,39.241,65.175,1.6608903952498661,0.06988925232230545,0.14263749045836213,0.18944164210914707,0.23690523790483808,0.3164157511202598
Furn/Home Furnishings,103,18452.969999999994,2855.9260000000013,6357.347999999999,2.2260198618591645,0.10521334412252216,0.15476782328264785,0.15336820619687921,0.34451624860388336,0.35096344598641427
Green & Renewable Energy,41,11205.73,1539.7520000000002,3741.785,2.4301218637806605,0.14879571450299234,0.1374075584544693,0.14072335179400697,0.333917112048925,0.3414526533454153
Healthcare Products,140,7584.092999999998,1020.3279999999999,2231.9459999999995,2.1874789283446106,0.09346722912001236,0.13453527007118718,0.16504774061682015,0.2942930683998733,0.36413942570299207
Healthcare Support Services,75,7906.098,1767.41,4936.7970000000005,2.7932381281083623,0.16803180614446553,0.22355022667313257,0.26954064706552844,0.6244290166906609,0.7593963589008313
