Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Chemical (Specialty),244,8206.964500000002,0.00410626852352048,0.5215143222292518,0.02587651574269931,317158.7929999996,0.11131243854995573,0.08342650862068962,0.2778594693552718
Coal & Related Energy,39,21371.880000000005,0,0.850487297893723,0.09922088972649477,215396.98000000004,0.1687118826115187,0.07638258064516126,0.32755740268961075
Computer Services,150,1042.8327000000006,0.0015438718022555288,0.77357287031192,0.010264604505220829,101595.02000000005,0.03481605181009129,0.08198563636363634,0.359581245402913
Computers/Peripherals,63,2138.062,0.0018568217385651119,0.4578836366813694,0.013169265712400156,162352.40799999994,0.07963671238653872,0.0813624,0.37299988085117214
Construction Supplies,55,5140.9219,0,1.3673941104608436,0.0634565770698687,81014.80000000003,0.032099430438052995,0.07129211538461538,0.2720081843488048
Diversified,15,4977.83,0,0.3734479773252769,0.07218577523325591,68958.59999999999,0.06427431024863695,0.06438461538461539,0.23716649610730173
Drugs (Biotechnology),126,1849.6379999999992,0,0.005348731242228192,0.00860339681138505,214989.26999999996,0.0026729161054068963,0.11569134453781516,0.37289992152097584
Drugs (Pharmaceutical),274,7360.334199999999,0.009938407416337157,0.482505998765339,0.015837308053575742,464746.54499999987,0.09276403065793096,0.10187787644787644,0.31072424657232417
Education,52,470.96659999999997,0,0.4247879066663058,0.021629130727883812,21774.642999999993,0.08984363604539224,0.0873659523809524,0.4288800416157304
Electrical Equipment,334,8224.720400000004,0,0.3956936864000001,0.015253622055348588,539197.862,0.10850438702417342,0.09366810725552047,0.3159022435173042
Electronics (Consumer & Office),29,714.4584000000001,0,0.8714501433188999,0.024422830471758975,29253.709999999995,0.04994456357522298,0.07122136363636364,0.34559256858684334
Electronics (General),442,12480.199500000008,0,0.8469843123774813,0.018600950667766094,670944.1749999993,0.059688379649604294,0.09953614457831322,0.32306019905464456
