Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Electronics (Consumer & Office),29,0.0848076470588235,0.4022409090909091,0.07122136363636364,0.21706785714285717
Electronics (General),442,0.1382691269841269,0.2537758038147139,0.09953614457831322,0.28985641148325375
Engineering/Construction,345,0.17854624161073832,0.388386434108527,0.08013396694214871,0.2787197269624573
Entertainment,112,0.17780226415094336,0.27545945652173914,0.08387045454545455,0.28587923076923083
Environmental & Waste Services,120,0.1208254166666667,0.3184664705882353,0.07453106796116503,0.2623373529411765
Farming/Agriculture,52,0.17461636363636363,0.3331574418604651,0.07123122448979591,0.22274309523809527
Financial Svcs. (Non-bank & Insurance),115,0.17589686274509797,0.4019229545454545,0.066907,0.2651926213592234
Food Processing,231,0.19692165413533821,0.33526456043956054,0.08455167464114834,0.2980698067632854
Food Wholesalers,14,0.17291,0.49288,0.018179999999999998,0.3455025
Furn/Home Furnishings,103,0.21793116666666668,0.3375970370370371,0.08995011363636365,0.36286653061224483
Green & Renewable Energy,41,0.062745,0.5135026315789474,0.0930444736842105,0.08859230769230769
Healthcare Products,140,0.16608692307692305,0.2534178070175439,0.135306962962963,0.32207630769230766
Healthcare Support Services,75,0.19354756097560974,0.35617017543859647,0.11898433962264149,0.26431171875000004
Heathcare Information and Technology,45,0.14542035714285714,0.24986973684210528,0.16354571428571427,0.27372150000000006
Homebuilding,4,0,0.605125,0.01742,0.2817
Hospitals/Healthcare Facilities,25,0.21906266666666663,0.27077045454545456,0.09315809523809523,0.32692920000000003
Hotel/Gaming,80,0.26274318181818185,0.4513375384615385,0.0831327272727273,0.24480999999999997
Household Products,34,0.210781,0.371682,0.048852758620689656,0.3906271875000001
Information Services,3,0.10316,0.3502,0.06125,0.20265
Insurance (General),6,0.163816,0.48054,0.13939600000000002,0.221708
Insurance (Life),8,0.00042666666666666667,0.3275725,0.16569375,0.047432
Insurance (Prop/Cas.),3,0,0.47772333333333333,0.057653333333333334,0.0040100000000000005
Investments & Asset Management,42,0.17554153846153844,0.3642074074074075,0.19221043478260863,0.23514645161290326
Machinery,421,0.1246085999999999,0.2918136740331492,0.09100844059405945,0.27954277078085676
Metals & Mining,129,0.11543874999999992,0.34994649572649567,0.09775909836065573,0.17335389830508469
Office Equipment & Services,10,0.12073375,0.31764444444444445,0.07389000000000001,0.26726666666666665
Oil/Gas (Integrated),4,0.00013,0.6147750000000001,0.087675,0.00207
Oil/Gas (Production and Exploration),15,0.29192999999999997,0.36184000000000005,0.08591181818181819,0.2156242857142857
Oil/Gas Distribution,21,0.07242444444444444,0.4238023529411765,0.1139275,0.21106631578947369
Oilfield Svcs/Equip.,56,0.1489725925925926,0.3879706521739132,0.054785744680851074,0.18256692307692307
Packaging & Container,22,0.13852083333333332,0.37506875000000006,0.06905611111111112,0.26347333333333334
Paper/Forest Products,47,0.10291181818181819,0.3426945714285715,0.052297692307692316,0.18676422222222222
Power,101,0.05137407407407407,0.5409338947368421,0.0809518279569892,0.08063053333333334
Precious Metals,19,0.03671166666666667,0.371878125,0.1342575,0.1719053846153846
Publishing & Newspapers,41,0.09083999999999999,0.5002236842105264,0.08541820512820512,0.1555956
R.E.I.T.,9,0.00036666666666666667,0.42271250000000005,0.13197777777777778,0.012044285714285716
Real Estate (Development),206,0.11933393258426969,0.43720110429447856,0.08442722222222226,0.22766886486486484
Real Estate (General/Diversified),56,0.08015481481481483,0.4412233333333333,0.08482192307692307,0.14571959183673472
Real Estate (Operations & Services),125,0.09881528301886791,0.48183159574468093,0.07986977011494252,0.28259339805825234
Recreation,62,0.2337006451612903,0.2934800000000001,0.06259979166666667,0.3236772881355933
Reinsurance,1,0,0.0101,0.0334,0.00784
Restaurant/Dining,48,0.14864200000000005,0.4057841935483871,0.1277725,0.27447767441860466
Retail (Automotive),28,0.22002866666666662,0.3964450000000001,0.06978681818181819,0.27683962962962966
