Industry_Name,Number_of_firms,_of_Money_Losing_firms_Trailing_,Current_PE,Trailing_PE,Forward_PE,Aggregate_Mkt_Cap_Net_Income_all_firms_,Aggregate_Mkt_Cap_Trailing_Net_Income_only_money_making_firms_,Expected_growth_next_5_years,PEG_Ratio
Heathcare Information and Technology,45,0.3555555555555555,76.81087325042544,71.59521077772352,60.314060251009046,34.14080263944666,29.09038164327871,0.24364999999999995,1.1939413766993112
Hospitals/Healthcare Facilities,25,0.43999999999999995,77.98042752204076,38.89627211980381,187.5052993086284,124.47995072142199,38.79155733029093,0.3025,1.2823655315798654
Insurance (General),6,0.33333333333333337,1837.8295282937431,66.86433369536151,12.228222996515678,9.695148501388292,12.235107156202904,0.09820000000000001,1.2459375922813547
Insurance (Life),8,0.125,64.7063800022182,26.312352588361303,7.042815903391902,15.782902298116658,18.660663270888293,0.65875,0.2832738257440348
Insurance (Prop/Cas.),3,0,6.09882165855251,7.266084293269174,5.018579373104146,7.161534038484682,7.986295854458693,0.119,0.6711172986940079
Machinery,421,0.23990498812351546,56.69604775139259,63.898756487924615,28.38467609445157,36.511371432984795,27.256740324630083,0.2692428571428572,1.0123477597092936
Metals & Mining,129,0.20155038759689925,79.58166599419125,62.496229445149794,29.521212299363235,15.150545737741464,18.817214007443862,0.24025,0.7832347141495885
Office Equipment & Services,10,0.19999999999999996,26.94583269067829,32.15456667451298,16.38006976142741,54.72476692338874,22.445911343935727,0.11199999999999999,2.0040992271371185
Oil/Gas (Integrated),4,0,24.758287124031348,31.163152896818005,6.2648540543277385,8.203412331551197,8.515289601405291,0.019219999999999998,4.430431634446042
Oil/Gas (Production and Exploration),15,0.4666666666666667,15.632943131472182,13.738348442183927,5.802901602832969,4.648353528317467,5.121533981535683,0.21600000000000003,0.23710805470072607
Oilfield Svcs/Equip.,56,0.3392857142857143,51.25537388641408,52.921850776348684,19.24208007449238,29.658907398143914,17.646784844542218,0.2,0.8823392422271109
Packaging & Container,22,0.31818181818181823,48.77931789209351,26.222112491271115,20.33843584798331,31.101460476520444,18.300294904595432,0.17,1.0764879355644372
Paper/Forest Products,47,0.4893617021276596,71.48907677897775,93.57709769878996,16.420096170770602,69.33534500711535,22.079807803757525,0.25949999999999995,0.8508596456168604
Power,101,0.13861386138613863,46.40416015026206,22.875925097745164,12.689556033938498,22.36162756301049,13.7803652606401,0.08048999999999999,1.7120592944018016
Precious Metals,19,0.21052631578947367,35.49044845225587,48.26503911541203,23.72013720102471,25.309836361909493,21.98674850880092,0.3185,0.6903217742166693
Real Estate (General/Diversified),56,0.375,28.46717912915927,83.0488993208636,13.804238873747572,18.19758817215824,12.28568320305773,0.07345714285714286,1.6724967409841327
Real Estate (Operations & Services),125,0.41600000000000004,27.0282169333262,56.862032907799616,9.269313163688684,65.69902231217466,12.04403094136358,0.11978461538461538,1.005473941932485
Retail (Automotive),28,0.5,22.356279712745334,35.84998928854103,6.4642329087981265,23.85469321387201,9.596404667565777,0.168,0.5712145635455819
Retail (Distributors),136,0.4338235294117647,55.840561020532064,49.82341744218445,15.337558447643536,17.701954557754966,9.679574958891168,0.15410000000000001,0.6281359480137032
Retail (General),58,0.4137931034482759,57.98635424440154,48.064605959053736,28.04423443353748,86.48094409704271,24.301696673334817,0.429,0.5664731159285505
Retail (REITs),2,0.5,13.562658722141288,25.457085828343313,14.573704481792717,7.745818575364029,25.457085828343313,0.0131,19.43288994530024
Rubber& Tires,15,0.06666666666666665,71.32546575956785,30.0529039424934,13.582337746030937,29.91085223621422,16.498540382744082,0.27,0.6110570512127438
Semiconductor,173,0.38150289017341044,103.05357240420844,196.2537467677898,76.404190346425,29.83826634880091,23.7025205855657,0.23028799999999994,1.0292555663154705
Semiconductor Equip,59,0.05084745762711862,99.73162946726032,70.93864024592325,48.07991059806712,17.260121463176205,18.36450688732371,0.26503333333333334,0.6929131010183767
Shoe,21,0.5238095238095238,15.122436984281725,15.771485591330698,13.10945014939072,22.216068527543936,15.245675208729722,0.046,3.31427721928907
Software (Entertainment),33,0.4545454545454546,59.347947890735895,65.23741089537285,31.29034038407584,15.514263684331526,14.379209576893436,0.0825,1.7429344941689013
Software (Internet),19,0.42105263157894735,49.18384560677373,43.38539184287879,29.033721180034547,161.14700112107622,29.464773347897328,0.08955,3.290315281730578
Steel,111,0.3153153153153153,48.84001326495015,119.17493838241482,15.223367320030423,19.392089391103635,15.577608919306995,0.12840000000000001,1.2132094173915102
Telecom (Wireless),8,0.25,54.231179299153865,74.42218580388906,25.335096171426482,10.60852115971442,10.56326371117116,0.12384999999999999,0.8529078491054632
Telecom. Equipment,125,0.40800000000000003,78.31046703578825,160.5122960769607,37.97544564682904,46.292295335491595,30.49727149402576,0.33549999999999996,0.9090095825343
Telecom. Services,16,0.4375,117.34665299065222,55.1630675409139,53.8446787218022,15.074494964166247,13.258252791318146,0.15750000000000003,0.8417938280201995
Tobacco,2,0,19.729436472618293,24.45588519832312,17.70212765957447,14.739824832560537,23.326538931920098,0.00409,57.03310252303203
Transportation,141,0.2695035460992907,54.30871847013082,42.478822903519585,22.138818424580553,17.412104083374604,15.43373711012551,0.19180588235294116,0.8046540033493841
Transportation (Railroads),10,0.09999999999999998,40.66069282067163,138.70238109777236,13.27552400468384,32.68624846711096,20.332947321736558,0.126685,1.6050003806083244
Utility (Water),38,0.21052631578947367,57.54233348448428,32.00594079454984,9.390866606319548,14.55467058955571,11.923335371725392,0.13578,0.8781363508414635
Total Market,7504,0.33115671641791045,64.32326538707176,126.25423381688093,31.67330122773019,16.403506706873035,12.846448847459905,0.18776357019064124,0.6841821783861785
