Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Green & Renewable Energy,41,0.5111685474476062,0.8015630959178909,0.13491053870185088,3.7889445284721357,5.941441666683479
Healthcare Products,140,0.920525332953034,0.8547475114889572,0.14515806187602276,6.341537776518678,5.888391594942786
Healthcare Support Services,75,1.02291367280513,1.091344724005582,0.1480400804941041,6.909707623712545,7.371954408313404
Heathcare Information and Technology,45,1.4993148567966976,1.4374510696779799,0.20073313597796913,7.469194607517368,7.161005394922655
Homebuilding,4,1.483777878204546,1.368063012516286,0.1791345893223194,8.28303391219863,7.637067847654541
Hospitals/Healthcare Facilities,25,1.054417706817318,1.0436699690489226,0.15267333389996252,6.906364588253593,6.8359676335670745
Hotel/Gaming,80,0.7920039272816303,1.0215235980520263,0.17153063625608114,4.617273885110724,5.955341974753568
Household Products,34,0.9011681975727078,0.8171467952783749,0.15324398693657287,5.880610493028337,5.332325343483715
Information Services,3,0.7373513064935365,0.6873828162259644,0.18139039622454803,4.064996393638998,3.789521554244993
Insurance (General),6,1.24963475165449,1.5734926470776054,0.19362969130455254,6.453735185111608,8.126298381598515
Insurance (Life),8,1.1242628233797824,1.7728126169089409,0.32824306495480693,3.425092388576657,5.400914158393642
Insurance (Prop/Cas.),3,0.5345539957299381,0.6763493971773159,0.16570482293627145,3.225941081603416,4.081651850516346
Investments & Asset Management,42,0.0951688572873779,0.9469400193275445,0.14411232833645807,0.6603797078705703,6.570846715603193
Machinery,421,0.9679985545323497,0.9511035778415775,0.1708286733238542,5.666487573179438,5.567587450840239
Metals & Mining,129,1.1092545982324593,1.257933508663446,0.24170136876329704,4.589360018555685,5.204494765999299
Office Equipment & Services,10,0.8060119342671908,0.7589429979808857,0.15812739385061753,5.097231508340849,4.7995668523940695
Oil/Gas (Integrated),4,1.0572140649350072,1.2517749851183695,0.2532727764404873,4.174211219196809,4.94239847926374
