Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Steel,42,10467.527,1918.233,2351.399,1.2258151121370553,0.24987786873775478,0.18325560564591808,0.18359011385205953,0.22463749078459505,0.22474677744773994
Telecom (Wireless),7,13880.033,3591.53,9186.58,2.5578458205834282,0.21559276622431242,0.2587551484928026,1.853270046991477,0.6618557751267594,3.3967342975663453
Telecom. Equipment,16,115.05,29.807000000000002,21.07,0.7068809340087898,0.1302905383537926,0.25907866145154285,0.38407224538872825,0.18313776618861366,0.26951316227071553
Telecom. Services,20,12786.847999999998,4093.4310000000005,3470.729,0.8478777338618874,0.2422922883086509,0.3201282286299173,0.3205281264912562,0.2714295970359545,0.2717818740615902
Tobacco,1,4312.1,1066.5,1246,1.1683075480543834,0.24732728832819273,0.24732728832819273,0.24732728832819273,0.28895433779365043,0.28895433779365043
Transportation,33,3123.24,1045.2189999999998,1012.5909999999998,0.9687835754994886,0.312030264221539,0.3346585597008235,0.33530789342829187,0.3242117160384728,0.3248451309689941
Transportation (Railroads),20,10178.560000000001,2897.7700000000004,1380.3750000000002,0.476357681941631,0.26656689739875467,0.28469351263833,0.28501788961692165,0.1356159417442153,0.13613219381536026
Trucking,20,941.2170000000001,320.864,346.37700000000007,1.0795134387154686,0.35628491947738106,0.34090331985078887,0.34090331985078887,0.3680097150816443,0.3680097150816443
Total Market,4020,559376.3100000015,144474.75600000058,139986.6929999999,0.9689353135159429,0.2575445821623717,0.25827828854604196,0.27316444766153647,0.2502549544867203,0.2618016115263858
Total Market (without financials),3821,471824.3270000015,125721.70500000057,124408.3219999999,0.989553251763483,0.2581600977209704,0.26645871737766536,0.28476529387307153,0.26367509024179564,0.2781650880571951
