Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Construction Supplies,51,0.8994837939908935,1.0676714013362842,0.2390378167538049,3.7629351129713076,4.466537620848185
Diversified,15,0.6703201617311879,0.7412236615745791,0.16571527962303206,4.045011197857116,4.472874578980945
Drugs (Biotechnology),30,1.6815958126108241,1.4468530230930388,0.18413028293968606,9.13264122426646,7.85776788040331
Drugs (Pharmaceutical),41,0.7876407561014354,0.8131255157552305,0.16492131944049976,4.775857716719275,4.93038449191276
Education,36,0.860248808703381,0.8033576177352901,0.19213941206181165,4.4772116218750435,4.181118330250997
Electrical Equipment,53,1.1908032342418877,1.1718870640546244,0.2522431249843125,4.720855065191355,4.645863248512745
Electronics (Consumer & Office),10,1.3298322834016456,1.4819749930246615,0.29438696603737424,4.517293347942637,5.0341053239310725
Electronics (General),137,1.424738345281017,1.3451909371599384,0.25347790167341744,5.620759584465311,5.306935745795667
Engineering/Construction,157,0.7166768713839368,0.6483366139500876,0.16062474084128306,4.461808732766152,4.036343408583138
Entertainment,73,1.1763120525170452,0.9922920107275608,0.17963396864107026,6.548383144991105,5.523966420350466
Environmental & Waste Services,36,1.0048684793739167,0.9585395967089906,0.1913890354875509,5.250397321947314,5.008330776458402
Farming/Agriculture,11,0.5383546616494296,0.7617207511898219,0.217126409221241,2.479452700297148,3.508190246971138
Financial Svcs. (Non-bank & Insurance),47,0.12662098199376487,1.2504858170636146,0.25007796193005966,0.5063260313564835,5.000383909931828
Food Processing,121,0.2835770152938102,0.2835852824655841,0.12347022842934081,2.2967238248538173,2.2967907816569197
Food Wholesalers,37,0.4716303481379853,0.5154311060990837,0.14699003150565843,3.2085872987912776,3.506571845855017
Furn/Home Furnishings,20,0.998265547044732,0.8329213516085959,0.2241344956701345,4.453868397455024,3.7161676033769986
Green & Renewable Energy,9,0.9867017054744036,1.564952454918399,0.16426340491230543,6.006826085220683,9.527091294338343
Healthcare Products,40,1.0869769994472818,1.0509246739641454,0.24674518593367567,4.405261222561228,4.259149656709536
Healthcare Support Services,47,1.219448061539261,0.9091512568699731,0.1948468234726664,6.258495980614887,4.665979360949198
Heathcare Information and Technology,36,1.5522225282903017,1.41311639313074,0.1850000927417585,8.390387838653941,7.638463160682347
Homebuilding,51,0.6428376349986054,0.8876805059181411,0.20781936043053206,3.093251916793802,4.271404281483518
Hospitals/Healthcare Facilities,9,1.0985103288730513,1.1399887694604547,0.20204753210911153,5.436890603938799,5.642181112337604
Hotel/Gaming,33,0.8528137756269211,1.0954086111634391,0.1527893135942424,5.581632350883589,7.169405931572414
Household Products,43,0.7744588439042618,0.7285354791697047,0.1864274821586138,4.154209641931155,3.907875978016276
Information Services,14,1.424530341583781,1.3093128289818075,0.25268260329548975,5.637627296082271,5.181650069714863
Insurance (General),6,0.8548859463370899,0.6767610068547464,0.1701228124842511,5.025110588365273,3.97807323410784
Insurance (Life),5,-0.5573159830453772,1.1128658124808972,0.22768081326992276,-2.447795117389455,4.887833087461612
Insurance (Prop/Cas.),7,1.798592560976309,1.3331333635219076,0.3032201075601487,5.9316401390680475,4.396586276051823
Investments & Asset Management,14,2.49577263773355,2.2358146722804935,0.23434124542946122,10.650163752265282,9.540850003519733
Machinery,229,1.119054142880494,1.0839536583156197,0.2340543824564714,4.781171500126095,4.631204282266364
Metals & Mining,21,0.8845818392476086,1.1935267600610633,0.23564586965796494,3.7538609971461017,5.064916952686005
Office Equipment & Services,26,0.8514688164158823,0.6546533952378077,0.17128085953453626,4.971184864028524,3.8221047991985735
Oil/Gas (Production and Exploration),2,0.8834927110146625,1.068626892684842,0.10578476147264042,8.351795652941602,10.101898211125858
Oil/Gas Distribution,3,0.5156826925106288,0.6538169706376825,0.18805963538475878,2.7421232177525647,3.4766470183780376
Oilfield Svcs/Equip.,19,0.3895959889119681,0.6891679942284498,0.13783397157794014,2.82655998700339,4.9999864789410795
Packaging & Container,30,0.518739733017463,0.6515057552657821,0.1751525228141746,2.961645796948138,3.7196481375092
