Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Drugs (Biotechnology),30,38.34640000000001,0,0.0014250970882704146,0.006635473265270809,5779.000000000001,-0.05918704848115588,0.087866,0.3897523476191295
Drugs (Pharmaceutical),41,5042.40305,0,0.5473335740163899,0.018332577899047995,275051.5,0.06424067864804525,0.2800097560975609,0.20696313085062598
Education,36,89.89800000000001,0,0.492818612402421,0.018148746315661973,4953.4,0.07524201964205428,0.1131645714285714,0.20118325639415782
Electrical Equipment,53,1406.169397,0,0.3561961408796277,0.01820847587907144,77226.09,0.07172725488842292,0.24310943396226417,0.19453237345964866
Electronics (Consumer & Office),10,1311.2997,0,0.1824574363284207,0.008610012252182216,152299.39999999997,0.08480444620131804,0.3676100000000001,0.22737189301419405
Electronics (General),137,2770.251050000002,0,0.30768297508915643,0.010024135895569409,276358.0900000001,0.0732206564217585,0.2569731386861312,0.21383062598333494
Engineering/Construction,157,2339.75956,0,0.40026207200701935,0.027296836823157016,85715.40999999996,0.06713065569528931,0.18797651612903235,0.15071533908286974
Entertainment,73,2270.3912000000014,0,0.39031873746940354,0.018072135673996015,125629.37999999999,0.1367974907439788,0.12644042253521132,0.270158552306991
Environmental & Waste Services,36,137.6163,0,0.2026397474371169,0.01204065865801055,11429.300000000001,0.12144630109157502,0.16453416666666662,0.2219287353216066
Farming/Agriculture,11,415.59266999999994,0,0.2711429110144942,0.02032933864892628,20443,0.09187608982462704,0.26165454545454553,0.15059874863220654
Financial Svcs. (Non-bank & Insurance),47,2141.68504,0,0.09668523744659803,0.02541030918049786,84284.1,0.20994534869658418,0.2554862222222221,0.21040505912336824
Food Processing,121,1719.6544300000005,0,0.28594068531474365,0.01415260953317126,121507.93999999993,0.08492164196597163,0.1775203389830509,0.12153571326438545
Food Wholesalers,37,88.03381999999998,0,0.1548827741515508,0.012188812476549009,7222.509999999999,0.08261674690109076,0.12158918918918919,0.18766414952780097
Furn/Home Furnishings,20,144.56195,0,0.3483185471823588,0.016501771039873794,8760.390000000001,0.05451430050064395,0.17897894736842104,0.23321107930007545
Green & Renewable Energy,9,29.18906,0,1.3253898197339151,0.009960096908482905,2930.6,0.017344359125812163,0.11792222222222222,0.39956507741381997
Healthcare Products,40,1129.6112500000002,0,0.22603495102658194,0.00925439038457442,122062.20000000003,0.1502973462292636,0.24140000000000003,0.1967687888000725
Healthcare Support Services,47,411.29276000000004,0,0.32083044518445547,0.01884969293662579,21819.6,0.06708630834636371,0.16217021739130438,0.21478365578769482
Heathcare Information and Technology,36,123.78278,0,0.2363380830276867,0.0067233056325023055,18411.000000000007,0.13629498359265013,0.15551485714285712,0.3308138124410262
Homebuilding,51,992.8087099999999,0,0.2306723477675769,0.02201026124097499,45106.63000000001,0.10993257655537889,0.12295840000000004,0.16781089392226775
Hospitals/Healthcare Facilities,9,6.528980000000001,0,0.08567090932948432,0.002164852946052588,3015.9,0.20888608705185835,0.1366375,0.2425839684628581
Hotel/Gaming,33,44.51224,0,0.0827777405845291,0.00480418766796542,9265.3,0.12467459479110539,0.1259453125,0.2882864267735125
