Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Computers/Peripherals,26,4958.688,1820.43,2.7239102849326806,194.92,-168.00800000000072,0.03350493501714904,0.6530765310420228,1.4475605154067606
Construction Supplies,51,5663.493999999999,306.437,18.481756445859993,122.79,-19.376800000001822,0.054674849832334865,0.9028721258208791,1.0479462146986591
Diversified,15,2000.9079999999997,154.073,12.98675303265335,32.227,-192.52820000000065,0.020294699850232557,0.25835490134668493,1.5626009269726484
Drugs (Pharmaceutical),41,4302.6140000000005,4551.278000000001,0.9453639175633743,5705.504,233.8087999999916,0.05580098675098282,0.508303843868414,0.623545772065213
Education,36,85.257,40.185,2.121612541993281,32.662,5.0767999999999915,0.014286320561855323,0.30691502818013405,2.3852750145417945
Electrical Equipment,53,3496.1859999999997,278.606,12.54885393710114,173.304,-105.17000000000007,0.03666739576335308,0.8248575696124297,1.4023655981752503
Electronics (Consumer & Office),10,7910.81,2569.035,3.079292419137926,1358.13,245.11199999999735,0.041655747429435806,0.8994205997873473,1.2452331003566854
Electronics (General),137,8857.065000000008,1136.7530000000004,7.791547504163177,211.49300000000002,-276.22660000000724,0.06314504554224301,0.8473576045090505,0.9684293121235653
Engineering/Construction,157,3886.145,606.905,6.4032179665680795,189.07000000000002,-49.3074000000006,0.019472126375655693,0.6487578567874783,2.063840431649972
Entertainment,73,861.9310000000002,294.172,2.930023931577445,192.01200000000003,26.145400000000336,0.022424666789929885,0.14464476624811232,1.263151091470452
Environmental & Waste Services,36,404.238,266.862,1.5147829215099937,42.474000000000004,1.220600000000104,0.014009764325394988,0.2540719706493884,2.2602468664308257
Farming/Agriculture,11,1000.654,57.175,17.501600349803237,19.136,122.89260000000058,0.04228240004985823,0.6891126404680936,0.9059156111497402
Financial Svcs. (Non-bank & Insurance),47,9168.926000000001,3119.017,2.9396845223992054,1311.5420000000001,-0.2187999999987369,0.07808229111100246,1.1254526842035517,0.07999188273421107
Food Processing,121,4783.701999999999,804.5380000000001,5.945899385734419,342.95599999999996,-102.76600000000508,0.027924747828055117,0.8130575876567012,1.868425965697224
Food Wholesalers,37,327.034,161.868,2.0203746262386635,4.678000000000001,-0.20839999999998327,0.0035980360881944706,0.3075464875860885,5.494664583158338
Furn/Home Furnishings,20,411.04500000000013,81.728,5.029426879404857,43.35,-14.15600000000029,0.03581740656564369,0.8435739720351367,1.5121526957004296
Green & Renewable Energy,9,77.68,8.498,9.140974346905155,53.9,-0.7249999999999801,0.04059810342882549,2.604533012495029,0.8002783533549511
Healthcare Products,40,2083.3000000000006,545.9030000000001,3.816245743291391,119.32099999999998,-161.51180000000204,0.04276395521472406,0.41117621098351453,0.9537548081746485
Healthcare Support Services,47,685.5599999999998,316.182,2.16824487162457,308.39399999999995,-2.6360000000001946,0.007368493430264977,0.6087094428770113,6.1286244431401595
Heathcare Information and Technology,36,147.50899999999996,59.39200000000001,2.48365099676724,236.08999999999997,-7.721000000000458,0.08020868867058531,0.6122599781439437,1.9065382992522235
Homebuilding,51,929.4170000000001,327.94499999999994,2.834063638719908,117.92699999999999,-20.575000000000728,0.008739391455352206,0.19955319009960332,1.2784626641822807
Hospitals/Healthcare Facilities,9,117.03899999999999,9.585999999999999,12.209367828082621,0.73,0.030600000000006844,0.1170003243593902,1.4947287423166755,1.7482489431956274
Hotel/Gaming,33,849.068,523.188,1.6228736133091737,30.046,1.0760000000000218,0.037980269520100175,0.833856718595291,1.0213733071472535
Household Products,43,1180.93,584.6720000000001,2.019816238848448,123.583,-63.49379999999837,0.015997660117432894,0.3311655039303043,1.5580752289998694
Information Services,14,53.578,31.701999999999998,1.6900511008769166,5.9,0.43659999999999854,0.005895680521597393,0.10387099096761811,3.4338000806631244
Insurance (General),6,3.1929999999999996,21.084999999999997,0.15143466919611098,0,0.04019999999999868,-0.017557017673265864,-0.2922374456552339,6.581448558155522
Insurance (Life),5,2088.17,413.92,5.044863741785853,0,0,0.00960556511761331,0.2609328139394353,3.259302049140405
Insurance (Prop/Cas.),7,390.08,2647.0170000000003,0.14736588393652172,0,0,-0.018882109433955952,-0.23778204108132137,2.8314088705983607
Machinery,229,8035.013,1874.7339999999997,4.285948299865475,319.85600000000005,-208.3162000000175,0.03191617325018665,0.6601034403836307,1.28768063790529
Metals & Mining,21,2405.013,469.379,5.123818918187648,298.71999999999997,-41.097200000000385,0.04842331995390054,2.242255392205367,1.1850211807771052
