Industry_Name,Number_of_Firms,Beta,ROE,Cost_of_Equity,_ROE_COE_,BV_of_Equity,Equity_EVA,ROC,Cost_of_Capital,_ROC_WACC_,BV_of_Capital,EVA,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Std_Dev_in_Stock2,After_tax_Cost_of_Debt,D_D_E_
Broadcasting,11,0.5581086228993901,0.043952391164486376,0.07022151546923566,-0.026269124304749286,21449.800000000003,-563.4674625120114,0.025648006716826967,0.06331780345875221,-0.03766979674192524,21300.589646633656,-802.3888824718471,0.7947060377596729,0.11960713829091961,0.052743,0.11960713829091961,0.0365930934,0.20529396224032712
Brokerage & Investment Banking,37,1.0235219962053272,0.05119231945611227,0.09642428838635993,-0.045231968930247654,46197.770000000004,-2089.6160972867274,0.002915027649085712,0.0422329279470766,-0.03931790029799089,313860.7725476157,-12340.34656247755,0.09426244199806388,0.20316578395322846,0.052743,0.20316578395322846,0.0365930934,0.9057375580019361
Building Materials,61,0.8435218884838109,0.06299601725762677,0.08629028232163856,-0.02329426506401179,50533.02000000002,-1177.1295623650096,0.07742350676715225,0.07536595615615423,0.0020575506109980213,59115.15791123707,121.63242927951033,0.7801822114584877,0.17017550903641812,0.052743,0.17017550903641812,0.0365930934,0.21981778854151235
Business & Consumer Services,218,1.349016134267867,0.13584748848633485,0.11474960835928091,0.021097880127053936,38803.88999999999,818.6798196833868,0.21831136801849066,0.10913148967126436,0.1091798783472263,25932.460533219055,2831.3028862611036,0.9242066352655807,0.25997752543385966,0.058554999999999996,0.25997752543385966,0.040625458999999996,0.07579336473441939
Cable TV,1,0.3810743433246519,0.06472566987588446,0.060254485529177906,0.004471184346706555,1724.2,7.709216050591443,0.062027754618433045,0.05414548366011962,0.007882270958313425,1833.369406114548,14.451114425677034,0.7418156194822958,0.15782623356083741,0.052743,0.15782623356083741,0.0365930934,0.2581843805177042
Chemical (Basic),69,1.0618831942541682,0.021661330828257185,0.09858402383650967,-0.0769226930082525,71172.82,-5474.804983391614,0.03572724561057228,0.07541253093504163,-0.039685285324469355,95212.29308658394,-3778.5270175380847,0.6262115645255559,0.18015244303339079,0.052743,0.18015244303339079,0.0365930934,0.37378843547444407
Chemical (Diversified),22,1.143331105510917,0.0221541692125094,0.10316954124026463,-0.08101537202775523,42716.7,-3460.7093422980115,0.023436354752586097,0.06894425800473557,-0.04550790325214947,72894.61164568774,-3317.2809343749655,0.48592506290445214,0.1699549076681745,0.052743,0.1699549076681745,0.0365930934,0.5140749370955479
Chemical (Specialty),73,1.0950993127945332,0.10004997897700478,0.10045409131033223,-0.0004041123333274471,86096.19999999998,-34.79253627262654,0.1005310173808601,0.09195825250863578,0.008572764872224317,83902.51458349997,719.2765297127171,0.8669635758961123,0.1753730980821533,0.052743,0.1753730980821533,0.0365930934,0.13303642410388777
Coal & Related Energy,1,1.1288369751651408,0.05393505778756192,0.10235352170179743,-0.04841846391423551,363.4,-17.59526978643318,0.033002499498179426,0.06768452094934298,-0.03468202145116355,645.7706,-22.396629801730754,0.4727984344422701,0.24507305033397694,0.052743,0.24507305033397694,0.0365930934,0.5272015655577299
Computer Services,244,1.2381713919919006,0.11670221527279787,0.108509049369144,0.008193165903653862,70508.15599999994,577.685019668707,0.12575816916422808,0.09818793939906073,0.027570229765167348,67751.98871775612,1867.937895995562,0.8479586905471832,0.2540357812799971,0.058554999999999996,0.2540357812799971,0.040625458999999996,0.15204130945281674
Computers/Peripherals,26,1.2594537067862235,0.0666175871843656,0.10970724369206439,-0.04308965650769879,58578.450000000004,-2524.1252892534085,0.07550788233875509,0.09491590462045182,-0.019408022281696732,65260.67062105141,-1266.580549531837,0.7976952612794301,0.23643255759877177,0.052743,0.23643255759877177,0.0365930934,0.20230473872056992
Construction Supplies,51,1.0676714013362842,0.07338890379712866,0.0989098998952328,-0.02552099609810414,68567.59999999999,-1749.9134520563653,0.06095352638536016,0.07852397198422496,-0.017570445598864802,95302.3147554557,-1674.5041368566249,0.6728662930991601,0.20235113082837003,0.052743,0.20235113082837003,0.0365930934,0.32713370690083987
Diversified,15,0.7412236615745791,0.12350342831046626,0.0805308921466488,0.042972536163817465,44034.81,1892.287465191831,0.11407108628911775,0.06987370044210223,0.04419738584701552,53181.96000369748,2350.5036063839643,0.757448210685352,0.17281596672783253,0.052743,0.17281596672783253,0.0365930934,0.242551789314648
Drugs (Biotechnology),30,1.4468530230930388,-0.05918704848115588,0.12025782520013809,-0.17944487368129397,1838.2400000000005,-329.8627445959019,-0.03781838402042094,0.11495153675620404,-0.152769920776625,2076.701614804883,-317.2575411704311,0.9333651792965956,0.3897523476191295,0.058554999999999996,0.3897523476191295,0.040625458999999996,0.06663482070340437
