Industry_Name,Count_of_Market_Cap_in_US_,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Electronics (Consumer & Office),10,0.002393535187774293,47555.399999999994,47558.62766518738,6.78670799777128e-05,0.23794975151960326,0.23796205847112675,0.35075630847118594,0.35077176427261275,9045.68,9046.027466962525,0.07048858079553127,0.07048904812724406,0.054255383594813224,0.05425746767841317,3.2276651873835362,0
Electronics (General),137,0.0005571438457532992,23489.767999999996,24243.63379115192,0.031095412414085255,0.07833895548455107,0.08065034852559788,0.15519721082552795,0.15938415137767337,12462.515000000003,12504.481841769622,0.08934659511257803,0.08902002252635151,0.10279381075189392,0.10313996332147726,753.8657911519222,0
Engineering/Construction,157,0.0018321041527310635,25377.131999999987,25941.034568782714,0.02173785965581049,0.2284323640735487,0.2323290399310763,0.21893882696194197,0.22272030553211275,7811.678999999998,7866.323486243458,0.06557655589798295,0.06558217697651805,0.04448958321764823,0.04480079805611178,563.902568782727,0
Entertainment,73,0.0051182755936606235,2924.0810000000006,3511.563035880559,0.16729929945091854,0.02274603092949789,0.027191709719085026,0.05963976337212811,0.070774050926556,7630.047999999996,7634.324592823886,0.2620240987388778,0.25539036494578327,0.21770926779384006,0.2178312924380286,587.4820358805582,0
Environmental & Waste Services,36,0.0023165126967178867,3018.51,3063.2675390347986,0.01461104473065417,0.20892508968487264,0.21136817411987793,0.33090912280047846,0.3341760670421377,1041.9039999999998,1043.6794921930405,0.12882804965549935,0.12801896657988915,0.08061402287111398,0.08075139595755694,44.757539034798356,0
Farming/Agriculture,11,0.00013944719703343615,14726.736,14730.821866869113,0.0002773685613768805,0.41873319720113905,0.41880071840428446,0.43081282881624605,0.43088085397027276,2146.1739999999995,2147.638826626177,0.06039060376125702,0.060422378902006545,0.08359719235922841,0.08365424989195479,4.085866869112579,0
Financial Svcs. (Non-bank & Insurance),47,0.007801088110980487,1111072.928,1115332.1468568735,0.003818789648336054,0.9294904383997983,0.9297407815033902,0.9059856104289528,0.9063109952698266,8837.559,9036.14322862529,0.005726645725248105,0.005834165491056498,0.09374203065468571,0.09584845946012045,4259.218856873456,0
Food Processing,121,0.002144300394513998,22119.446000000004,22449.91801809991,0.014720410909005032,0.15400576878841207,0.1559478470100415,0.22222755813910386,0.2248013378665501,7199.590000000005,7247.436596380019,0.06723864031339657,0.0673940977735105,0.04764870053932137,0.04796536136899877,330.47201809990656,0
Food Wholesalers,37,0.0029316567515195115,3255.4690000000005,3847.3696003607065,0.15384552612392968,0.3106962707216726,0.34755297611686237,0.3044104923174775,0.34089029974498725,776.0720000000003,783.7518799278587,0.0712080206833792,0.06694888326021162,0.01646078454662382,0.01662367774317829,591.900600360706,0
Furn/Home Furnishings,20,0.0043233330406087,408.41999999999996,545.6246956809898,0.2514635000341137,0.04454449377836381,0.05863140275656553,0.048252292787285274,0.06343392102987304,613.079,611.9720608638021,0.07533538771610801,0.0734233285198767,0.061250281859854434,0.06113969197813638,137.20469568098986,0
Green & Renewable Energy,9,0.001193817894660004,3553.8269999999993,3596.7986464854444,0.011947192686872842,0.5480556724595711,0.5510309452942749,0.6968142040941494,0.6993473935972843,93.82299999999998,91.81867070291102,0.02014056571814359,0.019485171490773525,0.031130510375398983,0.030465473081998175,42.971646485445035,0
Healthcare Products,40,0.00022182708755849205,11717.988,11736.718396847811,0.001595880229421054,0.08759135545541315,0.08771908276595093,0.24640923051016225,0.24670592907922612,5045.5,5049.91092063044,0.11602106220759129,0.11605167711273977,0.14430486981386947,0.1444310252647336,18.73039684781179,0
Healthcare Support Services,47,0.001563443045379685,2776.2319999999995,3488.1956068133272,0.20410656025788318,0.11287408370654019,0.13783087476312006,0.12214115257648339,0.14880323204505924,1671.4520000000002,1658.120278637335,0.08137618641489601,0.07678402038201511,0.018242373508453508,0.018096869933951598,711.9636068133277,0
