Industry_Name,Number_of_firms,EV_EBITDAR_D,EV_EBITDA,EV_EBIT,EV_EBIT_1_t_,EV_EBITDAR_D,EV_EBITDA,EV_EBIT,EV_EBIT_1_t_
Software (Internet),26,10.041476121944127,10.255844868936942,16.081841139285633,26.324982177039423,8.81333284610654,8.973909689911194,16.487969809682266,26.989789764502703
Software (System & Application),176,13.42927133526035,14.78955805514156,20.433740714971666,32.570896402768085,15.62770292162438,17.271255334102275,22.982971821355616,36.63431011790392
Steel,42,5.148983558757593,5.533145773242415,8.797352235958575,10.688693876306466,4.686507267389571,5.00256430384278,8.799328294780558,10.691094767763717
Telecom (Wireless),7,10.355148689790168,10.536890095571504,21.013773695064284,26.318355715565584,9.092446589011805,9.232268187850375,21.013773695064284,26.318355715565584
Telecom. Equipment,16,2.278431217291464,4.576922645774885,9.605614190338816,16.20442357983827,3.5733893775598915,8.34408856256805,13.23231243765105,22.322570054512745
Telecom. Services,20,6.911174483864966,7.411126644518187,13.969029487052078,20.544167402325495,6.162187216598238,6.556556473649487,13.969029487052078,20.544167402325495
Tobacco,1,7.467121192812539,8.077125872318428,10.167360749609578,13.508342460066386,6.877389633063864,7.391529218833769,10.167360749609578,13.508342460066386
Transportation,33,7.434800239406727,7.457019886713517,12.424503838227807,19.07429587673931,6.067106128099113,6.081894591002631,12.424503838227807,19.07429587673931
Transportation (Railroads),20,11.553082091565619,11.767209249535266,22.792050186322218,31.946346633616596,12.76935011735512,13.031446999136428,22.792050186322218,31.946346633616596
Trucking,20,6.070638391377385,6.070638391377385,11.255522143875984,17.132132496297988,5.8400963901740575,5.8400963901740575,11.255522143875984,17.132132496297988
Total Market,4020,9.048894971191768,10.448150164273942,17.082079307603884,23.269677991577048,8.89008037862215,10.233218134710746,17.123796969415025,23.3265069372473
Total Market (without financials),3821,8.262848733234597,9.62438909603408,15.871425255505326,21.601590333453125,8.161189813008813,9.473216780046275,16.012224367179698,21.793223074731284
