Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Retail (Grocery and Food),57,0.04522741193011718,0.03310148980122035,0.07185315863163451,-0.07446392178552802
Retail (REITs),4,0.011620386643233744,0,0.052803163444639714,0.17314938488576442
Retail (Special Lines),131,0.052822240314655856,0.1555990918752046,0.0993021806912245,0.0784872437357938
Rubber& Tires,6,0.23028333931095593,0.23252811240743476,0.11915652228949977,0.29924049030570266
Semiconductor,21,0.16199230303306392,0.2067717112000823,0.12354416476435838,0.18806961688946025
Semiconductor Equip,36,0.20733508978801102,0.39783533889966405,0.10087098286179917,0.3389190426849128
Shipbuilding & Marine,29,0.12234195090158585,0.030368086030849437,0.08071707582011729,0.06325889637193133
Shoe,3,0.15933109138780793,0.22309791227213457,0.06509940242754371,0.3133995680563037
Software (Entertainment),73,0.558347795306081,0.02116993749345464,0.5562918106341342,-0.104373516563222
Software (Internet),26,0.16771709701576468,0.0064468699680975666,0.06644484006265275,-0.6206515447854742
Software (System & Application),176,0.17142455011060392,0.01772149454951273,0.04255477889156816,0.04495742740987259
Steel,42,0.18571323059899567,0.25163498267356815,0.16361301594058583,0.25953758805057003
Telecom (Wireless),7,0.4151070661992491,0.0237137452660211,0.29035720555885025,-0.1871739571897014
Telecom. Equipment,16,0.230519217547726,0.30520724437035573,0.089408451765415,0.39271607379990403
Telecom. Services,20,0.3166491827326962,0.04184238020306949,0.17697152677387307,0.17998248408322354
Tobacco,1,0.20313913756213875,0.2946733657643465,0.17328060632511205,0.21723811247245683
Transportation,33,0.16416856125918494,0.021295027455337293,0.0775671403538064,0.06578033545600515
Transportation (Railroads),20,0.12014366738691802,0.10620708562610938,0.04778984337242341,0.13105505263180717
Trucking,20,0.15187935969763497,0.013677153100075029,0.0726766806547536,0.06694779479198511
Total Market (without financials),3821,0.20604538496435257,0.1547610784500505,0.13311673344993893,0.16145610284043863
