Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Oil/Gas Distribution,3,0.1533729431324583,0.11363096296526311,0.6646445189055084,0.33535548109449165
Oilfield Svcs/Equip.,19,0.2133988489879614,0.12138074924449478,0.4142110522061948,0.5857889477938052
Packaging & Container,30,0.16431291234873543,0.11242264115069664,0.5862745505856932,0.4137254494143067
Paper/Forest Products,15,0.19469340015528297,0.10188581212735473,0.3379869718022115,0.6620130281977885
Power,25,0.1651553820500174,0.07834485784214151,0.24457632775963445,0.7554236722403656
Precious Metals,2,0.147583786182315,0.08442311533261744,0.4193874494533474,0.5806125505466526
Publishing & Newspapers,53,0.1788668190870267,0.15391828618920717,0.8229119479487126,0.17708805205128736
R.E.I.T.,54,0.11188738237287275,0.07942963119778862,0.6221716588454521,0.3778283411545479
Real Estate (Development),15,0.20158374390924766,0.11617124956941359,0.42615333271012135,0.5738466672898787
Real Estate (General/Diversified),56,0.18324883709111348,0.10197641417436404,0.3942700586087996,0.6057299413912004
Real Estate (Operations & Services),43,0.2170935152722084,0.1254414881338831,0.4285729775195195,0.5714270224804805
Recreation,51,0.21681668183289055,0.20409195570510608,0.9262049390263818,0.07379506097361825
Restaurant/Dining,107,0.17272340984057225,0.14666960190847533,0.8081941536106563,0.19180584638934378
Retail (Automotive),29,0.19658657584907946,0.16660904079665229,0.8060531929697832,0.19394680703021683
Retail (Building Supply),19,0.1621378901183775,0.12368289477822583,0.6942988030191899,0.30570119698081005
Retail (Distributors),144,0.17987860821037677,0.12705003368390835,0.6171866155904018,0.3828133844095982
Retail (General),42,0.22131609083745543,0.13504524714496632,0.4785528026364926,0.5214471973635074
Retail (Grocery and Food),57,0.1579296257132782,0.1095601742307055,0.5996554350891217,0.4003445649108784
Retail (REITs),4,0.0966856080397478,0.06710457390296416,0.6001051968465411,0.39989480315345893
Retail (Special Lines),131,0.2116884168053513,0.19062760762473266,0.8743216438996043,0.1256783561003957
Rubber& Tires,6,0.1898975810702042,0.15441972817785596,0.7611937056994018,0.23880629430059824
Semiconductor,21,0.32782629243096467,0.2907307227343522,0.8568196950568526,0.1431803049431474
Semiconductor Equip,36,0.3143246162136434,0.30821699050733486,0.9756660217097856,0.024333978290214414
Shipbuilding & Marine,29,0.21025341873489234,0.15651185259938666,0.6694186934531356,0.3305813065468644
Shoe,3,0.1815886482679323,0.16250944675768464,0.8671854081052836,0.13281459189471642
Software (Entertainment),73,0.3035239798989105,0.2400611039238182,0.7317965212668289,0.26820347873317113
Software (Internet),26,0.3055385589593449,0.21111805984815238,0.5957928007219832,0.40420719927801685
Software (System & Application),176,0.2930843218882649,0.2877710745481907,0.9772997221853262,0.022700277814673767
Steel,42,0.2020349147775202,0.13073849627836548,0.5332265207563387,0.46677347924366136
Telecom (Wireless),7,0.2244565456807197,0.13943947666299045,0.4951316242265461,0.5048683757734539
Telecom. Equipment,16,0.20614394692902321,0.1780735723100516,0.8271931636659244,0.17280683633407562
Telecom. Services,20,0.267822287903162,0.18907858507935427,0.6167361877802626,0.3832638122197373
Tobacco,1,0.12205017883578112,0.10960620252579266,0.8711655976012449,0.12883440239875507
Transportation,33,0.15921425059861838,0.11711748008222417,0.6574534730466066,0.34254652695339344
Transportation (Railroads),20,0.1364350733035169,0.08269153541907959,0.4723330987526734,0.5276669012473266
Trucking,20,0.12401267054351177,0.09674448888372837,0.717441050397741,0.282558949602259
Total Market,4020,0.21062346074815802,0.12949543028728908,0.4855285351134627,0.5144714648865373
Total Market (without financials),3821,0.21163356842094566,0.15973317568283357,0.6834429744398538,0.3165570255601462
