Industry_Name,Number_of_firms,_of_Money_Losing_firms_Trailing_,Current_PE,Trailing_PE,Forward_PE,Aggregate_Mkt_Cap_Net_Income_all_firms_,Aggregate_Mkt_Cap_Trailing_Net_Income_only_money_making_firms_,Expected_growth_next_5_years,PEG_Ratio
Business & Consumer Services,218,0.1009174311926605,30.69665961148504,30.656364580064682,28.144745369435046,25.161142165895196,25.804148327701146,0.19745,1.3068700089998049
Chemical (Basic),69,0.18840579710144922,17.955195820311747,19.416716968452256,12.31346277300715,19.79756604540845,16.6235854863038,0.11130666666666666,1.4934941440737721
Chemical (Diversified),22,0.18181818181818177,19.510001670723568,199.64954287873408,19.811695969998247,14.485197482849602,14.622320612729977,0.11752777777777777,1.244158690754619
Chemical (Specialty),73,0.0547945205479452,32.308295109809926,20.284552510744003,18.249028721615545,16.475570406117082,19.102299440492203,0.10284166666666666,1.8574474782100838
Computer Services,244,0.10245901639344257,74.867078379111,78.31532385104737,24.698383080796006,19.577028832335035,21.208862869871364,0.12392,1.7114963581238998
Computers/Peripherals,26,0.2692307692307693,15.376108552125029,16.56794211827919,13.487701531367017,16.734628216088705,14.666121992646898,0.065,2.256326460407215
Construction Supplies,51,0.07843137254901966,16.761537487170244,15.855268106171179,11.108054764442626,17.026466259573898,11.826721651200135,0.15666666666666668,0.754897126672349
Diversified,15,0.19999999999999996,17.935770529531297,23.748393820933426,15.901289957142877,12.043472498107208,14.414124058754785,0.0262,5.501574068227017
Drugs (Pharmaceutical),41,0.2682926829268293,32.822829741604586,30.995421491049502,21.04072421796905,24.46734119243234,26.75843777117661,0.20388,1.3124601614271438
Electrical Equipment,53,0.09433962264150941,14.883157616419751,14.695227446140875,12.754100684202495,19.08788037425312,19.23730591638613,0.0746625,2.576568681250444
Electronics (Consumer & Office),10,0.09999999999999998,14.625946837447787,14.416430262218126,16.517752630303878,19.704827507685298,16.46376297763031,0.07115999999999999,2.3136260508193245
Electronics (General),137,0.18248175182481752,17.52672059794888,32.12462428345965,16.632287938404303,23.247550266992,28.128764550596337,0.0862235294117647,3.2623072544694898
Engineering/Construction,157,0.03821656050955413,15.813134225233823,18.801268436994697,11.775830750340695,13.60098550541585,13.910243645778056,0.1034272727272727,1.3449299472932992
Entertainment,73,0.3287671232876712,21.363419633317168,39.16741874651101,29.46200134821711,19.798565191860906,20.9893810943459,0.037975,5.5271576285308495
Environmental & Waste Services,36,0.08333333333333337,15.704622611156859,24.006651534190283,13.279403026592952,15.94266982842795,16.62969001074177,0.1005,1.6546955234568923
Farming/Agriculture,11,0.09090909090909094,20.78587464394215,20.59910965990533,15.89162990480613,15.195573414919506,13.057144010616422,0.105,1.2435375248206118
Financial Svcs. (Non-bank & Insurance),47,0.14893617021276595,20.935413428052964,22.55620656194538,18.473876274025393,3.822995916378981,3.781089950245627,0.08015,0.47175170932571764
Food Processing,121,0.11570247933884292,33.43808637597517,29.309808346575316,91.9181057106836,23.513040563827154,19.834589556719415,0.11449999999999999,1.732278563905626
Furn/Home Furnishings,20,0.09999999999999998,206.62165308427865,19.798772292273117,15.614372209578134,17.016479610270036,20.283659431045,0.1385,1.464524146645848
Green & Renewable Energy,9,0.33333333333333337,22.86959222593213,64.08674283834175,11.952131103067952,22.19815179518255,36.51732641512124,0.23149999999999998,1.5774223073486497
Healthcare Products,40,0.09999999999999998,22.93436345431385,26.641976753309834,20.987646838726548,27.7143246372863,23.737433242570276,0.13706666666666667,1.7318166276194267
Healthcare Support Services,47,0.1063829787234043,73.63413032784665,56.42758074576099,18.719218295034263,14.36691887151116,15.647004708831286,0.09765,1.6023558329576328
Heathcare Information and Technology,36,0.3055555555555556,31.530700068719486,26.244827528671802,37.23275891404874,31.447926701785313,30.823647781285786,0.17175,1.7946810935246453
Homebuilding,51,0.11764705882352944,11.360703742786885,21.927972252832486,10.223235876836736,8.841432901329805,10.3923762349634,0.03752,2.769823090342058
Hospitals/Healthcare Facilities,9,0,34.23615339435576,29.847940345243803,36.93491549802229,41.637673956262425,39.57354677863797,0.231,1.7131405531877908
Hotel/Gaming,33,0.24242424242424243,32.34718034309645,111.28197423223226,28.22598838580766,18.644555523358765,13.717884034238411,0.307,0.4468366134931079
Household Products,43,0.16279069767441856,33.03969799714013,57.22209779650822,22.48032332700026,33.30672670545249,39.138671983218245,0.11461538461538463,3.4147834616230677
Information Services,14,0.0714285714285714,45.48686106119088,76.71373608562699,37.577110362326266,15.913514003620316,17.949466591802356,0.041999999999999996,4.273682521857705
Insurance (Life),5,0,10.913514996743677,203.7824184433047,12.274301168609103,15.121985104880773,13.293321555506083,0.25276000000000004,0.525926632200747
