Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Chemical (Specialty),73,1.0950993127945332,0.10045409131033223,0.8669635758961123,0.1753730980821533,0.052743,0.273649257956009,0.0365930934,0.13303642410388772,0.09195825250863578,0.06545441142832886
Coal & Related Energy,1,1.1288369751651408,0.10235352170179743,0.4727984344422701,0.24507305033397694,0.052743,0.31777003484320554,0.0365930934,0.5272015655577299,0.06768452094934298,0.04176984811076667
Computer Services,244,1.2381713919919006,0.108509049369144,0.8479586905471832,0.2540357812799971,0.058554999999999996,0.28697398908367827,0.040625458999999996,0.1520413094528168,0.09818793939906073,0.07153289232626792
Computers/Peripherals,26,1.2594537067862235,0.10970724369206439,0.7976952612794301,0.23643255759877177,0.052743,0.22564187485427253,0.0365930934,0.20230473872056987,0.09491590462045182,0.068340275867528
Construction Supplies,51,1.0676714013362842,0.0989098998952328,0.6728662930991601,0.20235113082837003,0.052743,0.2982515441516434,0.0365930934,0.32713370690083987,0.07852397198422496,0.052346205673928115
Diversified,15,0.7412236615745791,0.0805308921466488,0.757448210685352,0.17281596672783253,0.052743,0.19015110357961254,0.0365930934,0.24255178931464805,0.06987370044210223,0.04390589217894414
Drugs (Biotechnology),30,1.4468530230930388,0.12025782520013809,0.9333651792965956,0.3897523476191295,0.058554999999999996,0.027782006667082748,0.040625458999999996,0.06663482070340443,0.11495153675620404,0.08788960625241238
Drugs (Pharmaceutical),41,0.8131255157552305,0.08457896653701949,0.8439433238359688,0.20696313085062598,0.052743,0.2045175926477505,0.0365930934,0.15605667616403118,0.07709045067242735,0.05094747856872739
Education,36,0.8033576177352901,0.08402903387849683,0.7130174636774492,0.20118325639415782,0.052743,0.25929686370586935,0.0365930934,0.2869825363225508,0.07041574736713226,0.04443478262521161
Electrical Equipment,53,1.1718870640546244,0.10477724170627536,0.8427562732624779,0.19453237345964866,0.052743,0.2639522540482194,0.0365930934,0.15724372673752207,0.09405571212217273,0.06750096182794518
Electronics (Consumer & Office),10,1.4819749930246615,0.12223519210728845,0.7620379415288733,0.22737189301419405,0.052743,0.20862976355494153,0.0365930934,0.23796205847112673,0.10185562200711468,0.07511155351179633
