Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Financial Svcs. (Non-bank & Insurance),1113,47828.2887,199658.01200000002,0.2395510614420021,103435.22899999996,0.5180619999361706,96242.77099999996,193207.02300000004,30135.6530000004,0.49813288101851216,3.193651420130126,0.4820381112479471,0.06706629368811425
Food Processing,1395,46418.20332999998,72934.84200000012,0.6364338642154035,61145.17600000001,0.8383534442975815,53104.36000000001,24546.007000000136,44767.58199999976,2.1634622690362515,1.1862235489957955,0.7281068765460535,0.0589187920672817
Furn/Home Furnishings,383,10996.292229999995,15698.215000000004,0.7004804195891057,12147.996999999998,0.7738457525266405,9527.510999999999,10559.101,13951.955000000016,0.9023032358531279,0.682879997821093,0.606916837360171,0.1595884398009379
Healthcare Products,849,20178.296819999996,39796.86400000001,0.5070323335024587,29537.03799999999,0.7421951136652372,19163.24699999998,23516.19000000003,32807.397000000055,0.8148959078830353,0.5841136070624545,0.48152655947966094,0.042383647767534983
Healthcare Support Services,463,21001.96454,56943.31700000001,0.3688222893654052,56308.004,0.9888430630059712,50727.056000000004,59402.232,80242.26600000003,0.8539587536037366,0.6321737723608152,0.8908342308193953,0.09379214785692339
Heathcare Information and Technology,443,3826.0167199999996,15662.845000000001,0.24427342031412552,13954.662999999997,0.8909405028269127,9892.478999999996,9931.899000000001,19524.786000000004,0.9960309705122852,0.5066626082355009,0.6315888971639568,0.044371612601688586
Homebuilding,173,5353.37971,29513.55899999999,0.18138712820097372,9503.857,0.3220166364890118,8481.016,24286.81199999999,23451.689999999995,0.3492025219283619,0.36163773271777006,0.28735998935269047,0.11601669293529722
Hospitals/Healthcare Facilities,232,3858.8733799999995,8408.208999999999,0.45894118236119014,9401.546999999999,1.1181390709959755,6299.884999999998,2028.9509999999937,1494.6369999999988,3.1049961285413095,4.214993339519899,0.7492540920426691,0.026896236336465092
Hotel/Gaming,650,6966.5950699999985,25672.009,0.27136929836694895,38033.741,1.4815256959437808,31617.145000000004,29822.64800000002,25319.50500000002,1.0601722891944398,1.2487268214761695,1.231580473503262,0.07355123769802213
Household Products,549,45268.762419999985,54353.22499999998,0.832862491968048,54360.20399999998,1.0001284008446603,46545.58999999998,49699.583999999966,52583.350999999915,0.9365388249527403,0.885177325423784,0.8563537858149172,0.03816444777928182
Information Services,81,1513.8389399999994,2738.292,0.5528405809168633,3231.0559999999996,1.179953051025968,2603.4869999999996,4039.959999999998,4120.123999999994,0.6444338557807505,0.6318953021802264,0.9507704072465609,0.0598295471245945
Insurance (General),202,25228.597199999986,59424.96900000001,0.4245453994262913,38704.51699999999,0.6513174117095456,36530.149999999994,65613.65000000001,65863.00400000002,0.5567461953419752,0.5546383824217915,0.6147272874471333,0.13783068831010756
Insurance (Life),137,37699.27879999999,60896.62600000001,0.6190700745883686,55483.124999999985,0.911103432889697,51440.368999999984,82471.03,50108.76399999997,0.6237386510147864,1.026574293470899,0.8447162409293411,0.35553614467299527
