Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Insurance (Life),137,0.07415972895423793,0.3809299254116314,0.028249660019084657
Insurance (Prop/Cas.),228,0.12312293515838725,0.6823269738346358,0.08401009975626046
Investments & Asset Management,1374,0.10448446992594382,0.4395240348384055,0.04592343579980286
Machinery,1492,0.11997300767360276,0.5854971913518674,0.07024385903093046
Metals & Mining,1815,0.10498912521603516,0.14049737802795403,0.014750696814301493
Office Equipment & Services,137,0.08262946816534691,0.47598167042868755,0.039330112283975885
Oil/Gas (Integrated),36,0.2111799007567265,0.5106141080897512,0.10783143667137807
Oil/Gas (Production and Exploration),590,0.21873526979182864,0.6164539428045197,0.13484021949358313
Oil/Gas Distribution,174,0.1980299140664168,0.4186616807704103,0.08290753666586598
Oilfield Svcs/Equip.,444,0.16710585203452488,0.7472145678530885,0.12486392701369965
Packaging & Container,426,0.0837951355806958,0.3379559760116294,0.028319066830200867
Paper/Forest Products,266,0.06468581288494171,0.4411816998230861,0.02853819688301667
Power,488,0.12425005928175509,0.3693599385596782,0.04589299426234543
Precious Metals,853,0.043236320854281265,0.01691993873349562,0.000731555899916198
Publishing & Newspapers,324,0.07706709737549311,0.5864007883383185,0.04519220665593512
R.E.I.T.,659,0.02360740857350486,-2.0371936222786355,-0.048092862184470085
Real Estate (Development),884,-0.03484020169433607,0.9920467525224224,-0.034563108948092294
Real Estate (General/Diversified),336,0.03972777403412024,0.4245283431282514,0.016865566086878635
Real Estate (Operations & Services),748,-0.028154334130633382,0.9934041536331626,-0.02796863246814712
Recreation,326,0.09452247803676629,0.5131110455237791,0.048500527530943596
Reinsurance,34,0.18999090330907184,0.7895761530718718,0.1500122865534269
Restaurant/Dining,394,0.24646866445962629,0.3595974719365985,0.08862950865127138
Retail (Automotive),204,0.20769252360863635,0.7386391526570315,0.15340982965148367
Retail (Building Supply),120,0.8522817280375384,0.5268326801877222,0.4490098670570397
Retail (Distributors),1028,0.14332500695587785,0.6382697225956199,0.09148001243074344
Retail (General),256,0.15077463621146756,0.7411238241958583,0.11174267498078218
Retail (Grocery and Food),201,0.10054514265836897,0.49784950010408024,0.050056349010362426
Retail (REITs),123,0.03561672473232391,-0.6515768649547715,-0.023207033841044687
Retail (Special Lines),639,0.08228908811454388,0.2889807536315485,0.023779962698993795
Rubber& Tires,89,0.09015662424350955,0.6305572849269833,0.05684891620116962
Semiconductor,647,0.12679960999111167,0.49107583453447545,0.06226822429503118
Semiconductor Equip,367,0.2629036594867058,0.7135653637018198,0.1875989454001706
Shipbuilding & Marine,348,0.13643801936112443,0.015563627342119801,0.002123470488633467
Shoe,85,0.18728005326541663,0.5902866324221689,0.11054891196188721
Software (Entertainment),317,0.20902108693447324,0.972591873289358,0.2032922104985771
Software (Internet),151,-0.10004457144069427,0.9962573461893364,-0.09967013924415555
Software (System & Application),1616,0.16957095297200736,0.6710867746032683,0.1137968238963869
Steel,718,0.00010149487153178553,0.4924296137388624,4.997908038487261e-05
Telecom (Wireless),98,0.08181796535473856,0.2641858929504046,0.021615152236626876
Telecom. Equipment,453,0.12935477470221632,0.46718315726651694,0.06043237205288039
Telecom. Services,288,0.0779658250341491,0.1027370706530083,0.00800998047505346
Tobacco,56,0.28431447473661764,0.2832670444336415,0.0805369209483449
Transportation,443,0.1310556943227592,0.49545161210015354,0.06493175502711598
Transportation (Railroads),49,0.11847480095542914,0.5995309704102405,0.07102931238596852
Trucking,106,0.12020693727190153,0.7933366105622669,0.09536456418136138
Utility (General),50,0.10614481878166145,0.3329663839125472,0.035342656480782435
Utility (Water),102,0.008643179175213485,0.5328956393959932,0.004605912492989523
Total Market,47698,0.008643179175213485,0.5328956393959932,0.004605912492989523
Total Market (without financials),42566,0.006288025122559176,0.4795809696374571,0.0030156171853816197
