Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Real Estate (General/Diversified),336,10623.254550000001,3070.831,1247.774,-1823.0570000000002,-0.003923384122775674,113981.22800000005,126988.63599999998,13007.407999999938,0.03295710148924037,376.1619999999998
Real Estate (Operations & Services),748,13946.754829999993,3564.2880000000005,5346.212999999997,1781.9249999999965,0.0028976116419475125,146426.84399999995,135343.34599999993,-11083.498000000021,-0.021371435260923607,-329.8859999999913
Recreation,326,3901.472839999999,3466.6780000000012,1033.4060000000002,-2433.272000000001,-0.028702986831815103,24987.588000000018,25337.961000000007,350.3729999999887,0.005632023724220414,2282.1629999999986
Reinsurance,34,3652.1226,626.9929999999999,3050.9320000000002,2423.9390000000003,0.026534084129613073,4731.670999999999,6480.100000000001,1748.429000000002,0.034887118578120116,142.62399999999957
Restaurant/Dining,394,13997.865305000001,10103.196,2765.3480000000013,-7337.847999999998,-0.08274116863778645,31564.890999999996,27269.18000000001,-4295.710999999985,-0.021668377790056825,6252.887999999992
Retail (Automotive),204,4194.615000000001,12582.776999999998,1467.03,-11115.746999999998,-0.14384936221944994,143832.45099999994,155135.205,11302.754000000044,0.07479959255405264,2095.2809999999918
Retail (Building Supply),120,12557.38892,18900.300999999996,873.398,-18026.902999999995,-0.5789215231636652,13059.323999999999,11844.553,-1214.7709999999988,-0.010823388825314851,291.2969999999841
Retail (Distributors),1028,25075.127636999994,17244.926999999992,7123.501,-10121.425999999992,-0.020926923410043048,281867.4070000001,264214.8590000002,-17652.54799999995,-0.031603769976390514,4031.1370000000097
Retail (General),256,20753.917399999995,25421.459,4066.1920000000005,-21355.267,-0.04016292141622069,170906.50100000002,156130.49300000002,-14776.008000000002,-0.029395540013045767,21754.402000000002
Retail (Grocery and Food),201,10445.398257999996,9019.843999999997,1716.6899999999998,-7303.153999999998,-0.03530046688293669,69707.73499999997,55558.794,-14148.94099999997,-0.052335530793649644,-640.5699999999924
Retail (REITs),123,14842.788999999997,523.0790000000001,11026.425,10503.346,0.041626023877086506,79887.177,86613.14199999999,6725.9649999999965,0.02704097461486552,69.32400000000007
Retail (Special Lines),639,15452.643140000002,10627.641999999996,2357.349,-8270.292999999996,-0.031314229285977394,73500.59799999998,56562.42099999999,-16938.176999999996,-0.09672928789919313,14839.236000000266
Rubber& Tires,89,3242.9966000000013,305.302,674.7620000000001,369.46000000000004,0.003794597198567185,30261.667,30343.909000000003,82.24200000000201,0.0014475982273337883,552.271999999999
Semiconductor,647,52471.75582,33452.36699999999,22087.572000000004,-11364.794999999987,-0.013976775849043551,114093.21100000007,152673.15699999998,38579.94599999991,0.10709108973488891,2151.8979999999865
Semiconductor Equip,367,12454.827619999995,11517.548999999999,4653.998999999998,-6863.550000000001,-0.04149858080240847,17583.01099999999,26478.05800000001,8895.04700000002,0.1190077394491637,603.9249999999975
Shipbuilding & Marine,348,60151.42797,6470.879000000001,1527.4339999999997,-4943.4450000000015,-0.011038417664533649,66768.66100000001,44635.95700000002,-22132.70399999999,-0.11353131767862243,5296.275999999969
Shoe,85,3770.7662499999997,906.7230000000001,257.12499999999994,-649.5980000000002,-0.01321863850046131,7230.952,4497.105,-2733.8470000000007,-0.09460117817931818,114.83299999999872
Software (Entertainment),317,3383.7935100000004,97160.67099999999,2512.247000000001,-94648.42399999998,-0.16024297119368505,37021.08999999999,42735.347,5714.257000000012,0.042446995639610574,6437.0869999999995
Software (Internet),151,542.67285,5497.831,1296.9740000000002,-4200.857,-0.08407644752608491,10375.383999999995,10462.765999999998,87.38200000000325,0.002288171625388824,2009.7969999999978
Software (System & Application),1616,33027.51531,57544.025,16912.72600000001,-40631.29899999999,-0.0686147684336999,55031.11999999998,73774.102,18742.982000000018,0.052912824272460184,4693.332999999962
Steel,718,29490.493700000014,12582.885999999997,3999.5460000000007,-8583.339999999997,-1.4993901264628309e-05,188927.375,184545.6539999999,-4381.721000000107,-0.012581744552442866,4384.47099999999
Telecom (Wireless),98,34155.664529999995,24667.226000000002,1611.9269999999997,-23055.299000000003,-0.04063729621949146,142668.01899999997,136727.891,-5940.127999999968,-0.009528692258447921,6860.887000000002
