Indusry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Retail (REITs),123,0.11996952034690603,0.017846419362972342,0.14555664944052837,-0.07144270536301826
Retail (Special Lines),639,0.03884005604510267,0.16605170636441285,0.10766445328033024,0.061325245781905
Rubber& Tires,89,0.19190984673319028,0.2094213011922147,0.1398368465077606,0.22165245192765948
Semiconductor,647,0.15421874940553754,0.19844258742319584,0.13514025184339873,0.1666210435199012
Semiconductor Equip,367,0.2220455376299711,0.2971166478633468,0.11392818522472975,0.3106031314736257
Shipbuilding & Marine,348,0.11360334122674305,0.03205190167186656,0.10924700082183551,-0.004882800633295612
Shoe,85,0.11243255640875455,0.17299127246525034,0.076967377891364,0.1999959955890517
Software (Entertainment),317,0.13039019051766543,0.006242838805734659,0.06800504925377221,0.01237984909365137
Software (Internet),151,0.13402907954663976,0.02810915784847571,0.08078915136531743,0.05207557992689167
Software (System & Application),1616,0.18538985736270094,0.020683026541803595,0.07095547056823769,0.13353321179634448
Steel,718,0.11233209524259279,0.18830327130370494,0.14288493448677522,0.14636397364702697
Telecom (Wireless),98,0.19451093554601748,0.01837513982216049,0.24264217985448905,-0.13702130661688386
Telecom. Equipment,453,0.23681898933500845,0.18115482271877945,0.14543184762774627,0.2467526994732748
Telecom. Services,288,0.17632500578155239,0.021849273403510987,0.16915996896562246,-0.0022673400403473124
Tobacco,56,0.11242532364178978,0.24076253362022168,0.13502916083474417,0.16055763294660808
Transportation,814,0.12220700445072781,0.04522641683510598,0.11860242125014916,0.0416847704192509
Transportation (Railroads),49,0.10942279204874386,0.06591569895732197,0.08928514579530931,0.057506948181917567
Trucking,106,0.13412787842188725,0.01290047802727656,0.07095623641482875,0.06887580582714127
Utility (General),50,0.18839170995185886,0.04560927860486349,0.1633884611382703,-0.005972675226400898
Utility (Water),102,0.3691189503163528,0.037811800916388985,0.2887475496287382,0.07351491716518976
Total Market,47698,0.27708644810544497,0.13951026271269312,1.5574889062993036,-1.1741621987258182
Total Market (without financials),42421,0.1506835818952241,0.15670372605378233,0.1502535393554725,0.11494451257991471
