Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Construction Supplies,793,0.0819905774278216,0.3739755115511549,0.15856076069730582,0.19697023364485972
Diversified,326,0.0720574666666667,0.3814195397489542,0.165040542635659,0.1895009163346614
Drugs (Biotechnology),1259,0.05155154427645793,0.11535102910602953,0.22985979223125555,0.1363247012302286
Drugs (Pharmaceutical),1299,0.08496268765133173,0.2225812117903929,0.15313023138832998,0.21091863232682084
Education,260,0.14650344155844153,0.24665830409356715,0.18004445544554445,0.32547519999999996
Electrical Equipment,1072,0.10463892074199001,0.2768732041343674,0.15156053990610313,0.23597991061452533
Electronics (Consumer & Office),127,0.08344026315789473,0.30824234567901226,0.16468726315789473,0.20459408163265302
Electronics (General),1486,0.10053332920792087,0.2251511843460351,0.15586691865242383,0.23234369057908372
Engineering/Construction,1283,0.13430635431918012,0.32023059933407344,0.15241695550351278,0.2700359740259744
Entertainment,741,0.14399694871794877,0.2748078488372092,0.13651230460921834,0.2776778338762215
Environmental & Waste Services,383,0.12140990384615385,0.24856783582089537,0.16450017543859644,0.2849733223684212
Farming/Agriculture,430,0.10917085714285715,0.3479323312883438,0.13637399305555553,0.2346702521008401
Financial Svcs. (Non-bank & Insurance),1113,0.08652870216306134,0.3044475813953491,0.23436171355498714,0.22953407965554354
Food Processing,1395,0.10918047425474248,0.37182160037878775,0.13749975830815697,0.25262556798623054
Food Wholesalers,173,0.10660990384615385,0.32451294964028776,0.17160268518518518,0.27317253333333347
Furn/Home Furnishings,383,0.1580083098591548,0.3231578409090915,0.15456471428571422,0.3085251543209875
Green & Renewable Energy,253,0.10109188679245282,0.3925682872928176,0.1777802094240837,0.18929331521739126
Healthcare Products,849,0.08101049209138829,0.15882396694214887,0.23603573065902567,0.2051031614654005
Healthcare Support Services,463,0.12589057046979865,0.24142667701863338,0.2534193693693695,0.2586959846547316
Heathcare Information and Technology,443,0.08267705084745763,0.16953596214511027,0.27609295128939826,0.2055025196850394
Homebuilding,173,0.1265437704918032,0.21619575757575768,0.31177509803921577,0.26632020270270274
Hospitals/Healthcare Facilities,232,0.12246875000000003,0.30428850574712646,0.19664029069767444,0.2853737500000001
Hotel/Gaming,650,0.09714603278688522,0.3916025963488848,0.19654685057471266,0.21872097514340344
Household Products,549,0.13889477663230243,0.271908650137741,0.17357109625668465,0.28715435729847494
Information Services,81,0.08798827586206898,0.29251787878787877,0.2869421311475411,0.20892109589041094
Insurance (General),202,0.06161157894736842,0.3513054777070068,0.21821939597315443,0.1507652413793103
Insurance (Life),137,0.0077940540540540545,0.3448500925925925,0.2802166964285713,0.06887249999999996
