Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_,Debt_Repaid_during_year,Debt_raised_during_year
Oil/Gas Distribution,174,5246.08336513798,348362.59300000005,353608.67636513803,17025.798000000003,0.04887378364415837,0.03802377539890392,4123.227,148269.28000000003,156036.122
Oilfield Svcs/Equip.,444,11940.939218983403,418852.9400000001,430793.8792189835,22662.802000000007,0.054106823268328975,0.13194638595894423,7680.116000000001,162573.21600000013,141910.175
Packaging & Container,426,5077.787112642196,139651.044,144728.8311126422,6165.843000000001,0.04415178593294298,0.09738568263144892,4468.076,40936.535999999986,44661.618
Paper/Forest Products,266,362.3561764683982,114387.26699999999,114749.62317646839,4342.335,0.03796169900623642,0.2396097939197185,155.43699999999998,45018.867,49261.64399999996
Power,488,14136.992030019872,2219874.1080000005,2234011.1000300203,85726.07299999997,0.03861753812572508,0.0944037706877195,9650.130000000001,762913.0569999998,847793.9549999998
Precious Metals,853,277.34342234770884,82949.93999999999,83227.2834223477,4025.9869999999974,0.04853514059202452,0.18709894459515597,36.481,33128.490000000005,40098.23499999999
Publishing & Newspapers,324,3248.059998687524,29474.706999999995,32722.76699868752,1456.915,0.049429329356861805,0.1653609419531149,2068.1800000000003,13507.267000000002,11049.434000000005
R.E.I.T.,659,45416.26928605931,1215728.537999999,1261144.8072860583,30229.694999999992,0.024865497563897786,0.037163415950069514,34470.58100000002,8959015.535000004,9018030.925999999
Real Estate (Development),884,646.1352095508482,1276119.7939999995,1276765.9292095504,28592.40499999998,0.022405737403678256,0.11403952731711052,1979.3259999999998,450855.213,394741.58400000044
Real Estate (General/Diversified),336,28483.50443043851,394676.94100000005,423160.44543043856,11420.083999999997,0.02893527037851445,0.1160575070237876,340.612,113981.22800000005,126988.63599999998
Real Estate (Operations & Services),748,21399.05795443378,518612.7120000001,540011.7699544339,16810.770000000004,0.03241488226381925,0.03565768134865002,19313.5,146426.84399999995,135343.34599999993
Recreation,326,11747.018518481811,62210.85299999999,73957.8715184818,3284.3759999999997,0.052794260834198824,0.12448475482288507,9246.865,24987.588000000018,25337.961000000007
Reinsurance,34,740.3063888329198,50116.750000000015,50857.056388832934,2653.7000000000003,0.05295036090728149,0.13954925329367657,30.107,4731.670999999999,6480.100000000001
Restaurant/Dining,394,54278.03158174842,198247.928,252525.95958174844,8307.348999999998,0.041903837703665674,0.021148855940417287,50587.117000000006,31564.890999999996,27269.18000000001
Retail (Automotive),204,18442.03516143927,151107.16000000006,169549.19516143933,6581.7,0.04355650652159697,0.3092519709548125,16889.287000000004,143832.45099999994,155135.205
Retail (Building Supply),120,20508.387705973393,112235.735,132744.1227059734,4922.997000000001,0.04386300851506876,0.04016266839576571,17844.04,13059.323999999999,11844.553
Retail (Distributors),1028,10575.866754064104,558558.2989999999,569134.165754064,20429.22400000002,0.03657491802838655,0.1566860879737004,10496.537000000002,281867.4070000001,264214.8590000002
Retail (General),256,130615.66243083047,502661.5599999999,633277.2224308304,20782.058999999997,0.041344038720605575,0.20745671852817346,130653.79499999998,170906.50100000002,156130.49300000002
Retail (Grocery and Food),201,22132.845494424226,270350.5779999998,292483.42349442403,12631.563000000006,0.046722899922929016,0.1353427719565366,19803.404000000002,69707.73499999997,55558.794
Retail (REITs),123,2911.259580968006,248732.34399999995,251643.60358096796,8790.123999999998,0.035339690281694924,0.01374374624411702,1863.0620000000004,79887.177,86613.14199999999
Retail (Special Lines),639,89994.36306368676,175109.08400000003,265103.4470636868,8979.648,0.05128030936419037,0.2334146993846921,86987.018,73500.59799999998,56562.42099999999
Rubber& Tires,89,1027.356903217733,56812.725000000006,57840.08190321774,2542.1789999999996,0.044746647868061235,0.24631022070581013,1020.371,30261.667,30343.909000000003
Semiconductor,647,6837.7375623970875,360253.5569999999,367091.294562397,10400.674000000006,0.028870426947651233,0.09647162557306593,6609.818000000002,114093.21100000007,152673.15699999998
Semiconductor Equip,367,1980.7141494656244,74743.43299999998,76724.1471494656,2593.8780000000006,0.034703757853883986,0.1346135625375476,1568.5620000000004,17583.01099999999,26478.05800000001
Shipbuilding & Marine,348,10030.493391321012,194948.006,204978.499391321,8104.809,0.04157420825325087,0.11786194745863134,1002.0739999999998,66768.66100000001,44635.95700000002
Shoe,85,5278.7463613559485,28898.657000000003,34177.40336135595,1400.9660000000001,0.04847858500829295,0.17486121740969968,5576.08,7230.952,4497.105
Software (Entertainment),317,33226.58533839331,134620.99999999994,167847.58533839326,3758.534999999999,0.027919381077246497,0.05077084002373807,34672.134000000005,37021.08999999999,42735.347
Software (Internet),151,3714.5184619506617,38188.568999999996,41903.08746195066,1226.7659999999994,0.03212390597825228,0.09302091539551605,3383.362,10375.383999999995,10462.765999999998
Software (System & Application),1616,34683.03396602697,354223.8059999998,388906.8399660268,13713.992000000013,0.03871561359712797,0.11363341917388142,30861.610000000004,55031.11999999998,73774.102
