Industry_Name,Number_of_firms,Price_Sales,Net_Margin,EV_Sales,Pre_tax_Operating_Margin
Investments & Asset Management,1374,2.975402863180467,0.1533078718189076,4.655215766873885,0.17516086223897365
Machinery,1492,2.0167115359678216,0.0718822162208439,2.152051180477195,0.09965486168877785
Metals & Mining,1815,1.1324099892069015,0.05675836038494469,1.321840943539155,0.10682417967215137
Office Equipment & Services,137,0.9397117897828489,0.03799933964657485,1.06430544667157,0.07182540241863675
Oil/Gas (Integrated),36,1.156788529580516,0.10472512737124114,1.2699079204434358,0.18376015438632376
Oil/Gas (Production and Exploration),590,1.9939810562529638,0.23817329044681543,2.381052734287631,0.3657961440704052
Oil/Gas Distribution,174,1.4871391990098095,0.1282962511260665,2.435044126632089,0.2073415060074746
Oilfield Svcs/Equip.,444,0.4985391289435131,0.044213395389197996,0.6441414790034161,0.06772300492276392
Packaging & Container,426,0.9246335239789505,0.037649755384119195,1.3051058737303116,0.08670147948911763
Paper/Forest Products,266,0.8736249230739461,0.049256654605671656,1.310328744108613,0.06560906858101438
Power,488,1.053236535453801,0.07587396427446245,1.9842440306784832,0.13545386299033163
Precious Metals,853,2.1862160276857794,0.04914465407138912,2.388243444540734,0.11742568501154059
Publishing & Newspapers,324,1.2626012191987135,0.05680922811648887,1.3350774004036638,0.06687407495125922
R.E.I.T.,659,6.724588779701491,0.09299154098081924,11.736466940021847,0.2947616583758934
Real Estate (Development),884,0.582466508274013,-0.032988586376399676,1.6844769371768087,0.05003106735539474
Real Estate (General/Diversified),336,1.6539991394033395,0.0872530469822838,3.345216132295702,0.15690844405910576
Real Estate (Operations & Services),748,2.2942630560128845,-0.0655801189564059,4.070480362190564,0.1758046609668392
Recreation,326,1.8512320932358688,0.05418239933148404,2.1605517731648627,0.10650595982492314
Reinsurance,34,0.681180809772929,0.0638165354990815,0.7571375575209435,0.10227896161981584
Restaurant/Dining,394,2.197264514903401,0.05200391994655847,2.689154149655912,0.08607023959423278
Retail (Automotive),204,0.49335095061170237,0.029171520329190338,0.7630474626398553,0.043638598644989014
Retail (Building Supply),120,1.542534069159849,0.07067171353734507,1.8618827532091615,0.10729751323102017
Retail (Distributors),1028,0.5742948769757588,0.04011546986897834,0.8312963718491309,0.05257025017393523
Retail (General),256,1.2987285708291274,0.03322200129635507,1.4828729592721792,0.04122562988652485
Retail (Grocery and Food),201,0.44928070917930313,0.016003972301249503,0.6274825802759753,0.03824575249600913
Retail (REITs),123,6.965695068699159,0.1923122609602349,12.063494268116482,0.4749525193702068
Retail (Special Lines),639,0.9569231427125447,0.02096493017632057,1.1241172369518075,0.05163999170190553
Rubber& Tires,89,0.8051662104302325,0.05188629866997633,1.0282305738273885,0.08812773060101893
Semiconductor,647,6.151688498339109,0.1375394937189519,6.3251190470549785,0.16333337354114616
Semiconductor Equip,367,5.096797980524655,0.177927826965195,5.143673155108626,0.21891348855171655
Shipbuilding & Marine,348,1.246736114532731,0.16591869649188237,1.4812037419285917,0.17205436027229495
Shoe,85,2.138273965658757,0.07120227170171213,2.2689859800308474,0.096796343029948
Software (Entertainment),317,5.530984970309293,0.20421600012857086,5.604623076659677,0.24169564788870873
Software (Internet),151,5.591794513633966,-0.07391516115189353,6.014836641489651,-0.00012954327921633417
Software (System & Application),1616,8.972587961547951,0.14394309705959513,9.20213603267864,0.2029827456645881
Steel,718,0.658775241426013,0.04521568167045891,0.8234515222700458,0.07195327915426644
Telecom (Wireless),98,1.4734074858565083,0.06939095613622634,2.2521573000348893,0.1436373362249778
Telecom. Equipment,453,2.2296547215190423,0.07541679404724201,2.3180551802022675,0.11104279290678647
Telecom. Services,288,1.2245783849899823,0.06088665903434903,2.1627790318150595,0.15496235461394556
Tobacco,56,2.6952171925789443,0.23105388907629476,3.4660578760708205,0.3382087878126807
Transportation,443,0.9226461415415751,0.044360758225808435,1.2696774679411371,0.06460595786579981
Transportation (Railroads),49,3.1712768031643406,0.14775257092635213,4.330807666885992,0.21558077960900685
Trucking,106,1.2813976401953417,0.04984959277306169,1.5858226133716178,0.08807371556649024
Utility (General),50,1.0986769158176997,0.06361337212684891,1.8774889614873251,0.12231260144390181
Utility (Water),102,2.582045843545759,0.11909394908926102,4.586730603072258,0.23252182611504205
