Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Retail (Building Supply),120,12557.38892,0.01055633466833804,0.4731673198122778,0.021678318780485477,579260.276,0.8522817280375384,0.30660367346938766,0.30071356129427346
Retail (Distributors),1028,25075.127636999994,0.0074480179205318724,0.36173027740438013,0.02526747255752571,992387.6469999994,0.14332500695587785,0.18275548956661317,0.310820691469926
Retail (General),256,20753.917399999995,0.0680411303940142,0.2588761758041417,0.00662215711684084,3134011.627000001,0.15077463621146756,0.21373104545454555,0.2972838203067488
Retail (Grocery and Food),201,10445.398257999996,0.37669793939990925,0.5021504998959198,0.017887264080563157,583957.2899999996,0.10054514265836897,0.18908482558139525,0.25255189468537254
Retail (REITs),123,14842.788999999997,0,1.6515768649547715,0.04559752873425505,325517.4,0.03561672473232391,0.41675931623931645,0.17432124177759648
Retail (Special Lines),639,15452.643140000002,0.02648252446474344,0.7110192463684515,0.015577498535441409,991984.8879999995,0.08228908811454388,0.215531359223301,0.3381580139068764
Rubber& Tires,89,3242.9966000000013,0.006845520590431698,0.36944271507301674,0.023807525461709007,136217.29000000007,0.09015662424350955,0.12986246575342464,0.2690211904339668
Semiconductor,647,52471.75582,8.156769166791721e-05,0.5089241654655245,0.011378529988696087,4611470.538999999,0.12679960999111167,0.18034758555133076,0.3438195665674977
Semiconductor Equip,367,12454.827619999995,0,0.28643463629818017,0.009999355006582967,1245563.0999999994,0.2629036594867058,0.19147377708978336,0.3351128957237849
Shipbuilding & Marine,348,60151.42797,0.05700413299764262,0.9844363726578802,0.0005460198713815293,459131.93700000027,0.13643801936112443,0.1413097407407407,0.29862899830307615
Shoe,85,3770.7662499999997,0.0001156263663917115,0.409713367577831,0.013643023759639114,276387.868,0.18728005326541663,0.22656683333333333,0.31722109009264277
Software (Entertainment),317,3383.7935100000004,-0.017229183703942972,0.027408126710642,0.0010119676762656903,3343776.278000002,0.20902108693447324,0.2010473279352227,0.4382090246503033
Software (Internet),151,542.67285,0.11074812384662325,0.003742653810663614,0.0014350378158654567,378159.2680000001,-0.10004457144069427,0.1926261864406779,0.4698226412977677
Software (System & Application),1616,33027.51531,0.0053424545668615715,0.3289132253967318,0.005276603420369069,6259237.7480000025,0.16957095297200736,0.21420380597014932,0.4359142137619651
Steel,718,29490.493700000014,0.00320272698588291,0.5075703862611376,0.03483758885785783,846513.6269999999,0.00010149487153178553,0.13088024667931702,0.32684206346899697
Telecom (Wireless),98,34155.664529999995,0.004601930665466694,0.7358141070495954,0.03465358016490187,985631.6249999999,0.08181796535473856,0.18507702380952384,0.29268715180378874
Telecom. Equipment,453,11527.52596,0.0008145720107317804,0.5328168427334831,0.018022224564867295,639628.3609999997,0.12935477470221632,0.16529934523809534,0.36121152315507643
Telecom. Services,288,61204.45515000001,0.01661839808078089,0.8972629293469917,0.044612368397926934,1371916.742999999,0.0779658250341491,0.18322615740740744,0.3013188613936473
Tobacco,56,28341.56986,0.00151720600560974,0.7167329555663585,0.06144363328815612,461261.295,0.28431447473661764,0.20470000000000002,0.31215895747055444
Transportation,443,20408.73153000001,0.011229997301062047,0.5045483878998465,0.02425864916255973,841297.1139999996,0.1310556943227592,0.1506163444108761,0.30380702193123765
Transportation (Railroads),49,12516.010760000001,0,0.40046902958975955,0.018658203736497375,670804.7,0.11847480095542914,0.31887041666666666,0.1925517420182543
Trucking,106,1409.4000899999999,0,0.20666338943773307,0.008039725906628919,175304.495,0.12020693727190153,0.25904518987341774,0.2911515050298223
Utility (General),50,25161.721999999994,0.06967329183590854,0.6670336160874528,0.03862123344032238,651499.6999999998,0.10614481878166145,0.40734347826086953,0.18493219542658187
Utility (Water),102,5236.22216,0,0.8329098960481567,0.038417028498488374,136299.50999999998,0.008643179175213485,0.21063724999999997,0.23638245507713002
Total Market,47698,2490471.0777800065,0.021684607575583523,0.46710436060400684,0.0224636004215654,110866959.4830006,0.008643179175213485,0.18832759634463428,0.34377339651496613
Total Market (without financials),42566,1977742.458870007,0.024011377612397865,0.5204190303625429,0.02094049492602657,94445831.6700006,0.006288025122559176,0.1816777005935915,0.3518111767981802
