Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Computers/Peripherals,338,159719.11000000002,24112.051,33801.03600000001,1.401831640120536,0.12194053663885653,0.15096534785349103,0.056525283811060326,0.21162800118282654,0.21874953808373568
Construction Supplies,793,112212.40400000001,25374.82399999998,32094.664000000022,1.2648231175908866,0.1553931300407955,0.2261320771632339,0.2401357790416966,0.2860170788249044,0.3086912990827671
Diversified,326,266604.7439999999,46345.638000000006,40397.95799999999,0.8716668869678735,0.13916668409857108,0.17383650907577258,0.17558324277351756,0.15152752870744118,0.16262948749339773
Drugs (Pharmaceutical),1299,179242.74599999996,29771.040000000008,59682.86499999994,2.004728924485,0.09640395802394129,0.16609341613188638,0.20741927272629834,0.3329722754861162,0.3928978783341494
Education,260,5449.186999999998,1096.132,1223.5330000000004,1.1162277900836763,0.12339682911051103,0.20115514479499427,0.27519462923055815,0.22453496273847837,0.3370872480041173
Electrical Equipment,1072,76027.38900000004,14275.210999999998,21889.2,1.5333713806401883,0.11834997694606245,0.1877640569768875,0.2571496054683624,0.287912031281253,0.3695525827630087
Electronics (Consumer & Office),127,14243.292000000001,2066.871,5097.0430000000015,2.466067306571141,0.11500672621521232,0.14511188845949377,0.12455646931169766,0.3578556839247557,0.4342479811941627
Electronics (General),1486,76405.15700000004,14030.563999999991,17797.032000000007,1.2684473696139384,0.11332242765729184,0.18363373037764957,0.2184330616468989,0.23292972226992475,0.29957077814434324
Engineering/Construction,1283,104238.19600000003,23559.559,46910.07700000003,1.9911271259364416,0.15882517122176154,0.22601656498353057,0.2479459789330715,0.4500277134496842,0.49583326339604833
Entertainment,741,32318.824999999993,7144.033000000003,9945.488000000005,1.3921391460537766,0.08788798209476802,0.22104866126785255,0.4905521231399688,0.3077304945337588,0.9337408856761982
Environmental & Waste Services,383,16922.717999999993,3863.214999999999,3737.912000000001,0.9675650979818629,0.13223885679532385,0.22828572809639683,0.30765286240935535,0.2208813028734511,0.3249845633045361
Farming/Agriculture,430,42129.95099999999,9043.445999999998,22171.630000000005,2.45167937089468,0.1352298963784613,0.21465598191652302,0.23515996543511178,0.5262676427038809,0.5845791705892817
Financial Svcs. (Non-bank & Insurance),1113,290748.56,50504.76400000002,50081.122,0.9916118408156503,0.14490943454373367,0.1737059815532707,0.18812823202150697,0.17224890812872815,0.19410814439488322
Food Processing,1395,110911.93900000004,25735.29499999999,27413.846000000005,1.0652236937637596,0.15623387964976904,0.23203358657357873,0.2437927555232324,0.24716767416716062,0.2694707470039617
Food Wholesalers,173,8042.282999999997,1972.676,2241.956,1.1365049303585588,0.17700875397813667,0.24528806061661854,0.27626274904949655,0.278771090248876,0.32834931663337236
