Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Reinsurance,34,0.23300411586091976,0.31393549854645547,0.07314826327617392
Restaurant/Dining,394,0.1287733318373561,0.2483825751653092,0.0319850517743794
Retail (Automotive),204,0.10481182756223022,0.8282777368984547,0.08681330333343512
Retail (Building Supply),120,0.2434078621058677,0.05879493485247277,0.014311149395094168
Retail (Distributors),1028,0.08729577431256255,0.7507573636319772,0.06553794537911153
Retail (General),256,0.08347827970872808,0.7258827172270904,0.06059544050441462
Retail (Grocery and Food),201,0.1088812105703706,0.3000843333618986,0.03267354548964617
Retail (REITs),123,0.044961316107197745,-0.08525345732360949,-0.003833107643958299
Retail (Special Lines),639,0.11756426158826139,0.22248105248757089,0.026155820653080496
Rubber& Tires,89,0.08670171150271351,0.7027237598756656,0.060927352694842084
Semiconductor,647,0.114165502163095,0.9343515564878387,0.10667071464330354
Semiconductor Equip,367,0.23276660818443082,0.6056721166917823,0.14098024427423095
Shipbuilding & Marine,348,0.11145415365810689,0.1540889710328404,0.017173855854513774
Shoe,85,0.15682992610629745,-0.16076892920930544,-0.025213379288083936
Software (Entertainment),317,0.15958092016299497,0.4056523435520016,0.06473437425030378
Software (System & Application),1616,0.18335837660819057,0.4763010165661551,0.08733378117440108
Steel,718,0.0904906469174532,0.5365682468211627,0.048554407770210715
Telecom (Wireless),98,0.08308394526497115,0.3050583637784972,0.025345452398794318
Telecom. Equipment,453,0.1362119863769908,0.5362424352475735,0.07304264728470686
Telecom. Services,288,0.09502129852429446,-0.0328430395021499,-0.0031207882609789813
Tobacco,56,0.23171724996207474,0.5479142566521387,0.126961184766448
Transportation,443,0.08934491370457888,0.2842895547246911,0.025399825733990678
Transportation (Railroads),49,0.06911956076890328,0.5999807472548995,0.04147040572005703
Trucking,106,0.11601095133243039,1.0534268769842425,0.12220905415809309
Utility (General),50,0.08320329489198379,0.7842162740133911,0.06524937790582895
Utility (Water),102,0.06940509121988034,0.9624500898653524,0.06679893628168682
Total Market,47698,0.06940509121988034,0.5013197469909659,0.03479414277023532
Total Market (without financials),42566,0.11066121900138588,0.519346816320147,0.057471551778476314
