Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Green & Renewable Energy,253,7333.935999999998,1255.8489999999956,0.01196371685891415,74.379,0.01014175744102485
Healthcare Products,849,277716.43200000003,10656.85699999996,0.28136853737179873,1366.302,0.004919773706440243
Healthcare Support Services,463,439839.64300000004,13454.248000000021,0.257530412540202,4547.523000000001,0.010339047587850104
Heathcare Information and Technology,443,170470.834,8915.431000000011,0.32569912670206624,6521.868000000001,0.038257969688820795
Homebuilding,173,12739.485000000002,505.95600000000013,0.03505372988221852,38.34100000000001,0.0030096193056469707
Hospitals/Healthcare Facilities,232,51938.428,391.6029999999955,0.15758081790803352,1316.55,0.02534828354835845
Hotel/Gaming,650,119254.10000000003,3464.047000000035,0.1275764114603116,2604.0989999999997,0.02183655740138074
Household Products,549,128406.52900000001,2533.9410000000207,0.19156405795087408,1632.1769999999997,0.012711012537376503
Information Services,81,32730.07000000001,-358.2429999999913,0.36281943866443545,785.867,0.02401055054266611
Insurance (General),202,102799.30800000002,3595.785999999993,0.019415070365833283,173.11300000000003,0.0016839899350295237
Insurance (Life),137,50607.287,1349.4909999999873,0.00319611328303665,1537.217,0.030375408189733628
Insurance (Prop/Cas.),228,51507.09299999998,3689.027999999984,0.01944883409421168,369.8500000000001,0.007180564432164716
Investments & Asset Management,1374,138691.656,10360.381000000023,0.03981406626475261,2258.381,0.01628346697367288
Machinery,1492,127687.735,12870.262000000002,0.10730952181243938,1453.3970000000004,0.011382432306438832
Metals & Mining,1815,22053.82599999999,610.9489999999969,0.01534926785690555,232.12299999999996,0.010525293887781652
Office Equipment & Services,137,4657.610999999999,-1118.992000000002,0.09280615142968776,153.97,0.033057719934103565
Oil/Gas (Integrated),36,72554.421,18368.026000000013,0.018497143238681235,1115.4,0.015373287866221138
Oil/Gas (Production and Exploration),590,36380.804000000004,2284.046000000002,0.02721646342579634,1553.4499999999998,0.042699716037061734
Oil/Gas Distribution,174,62580.739999999976,4153.453000000001,0.08348049898860396,1829.155,0.02922872116884525
Oilfield Svcs/Equip.,444,61370.48399999998,2605.336999999985,0.03714724591885486,891.685,0.014529541595272415
Packaging & Container,426,52446.11300000001,660.7440000000133,0.13357661428420656,331.71,0.006324777586472422
Paper/Forest Products,266,7377.899000000001,686.2920000000031,0.021429109134544506,307.709,0.041706859906865075
Power,488,149189.77900000007,5870.166000000085,0.027530735562899714,3022.175,0.020257252341663423
Precious Metals,853,13414.582999999997,2314.7739999999994,0.0298797552714282,2245.9759999999997,0.16742794017525556
Publishing & Newspapers,324,18244.621,61.05399999999645,0.10841967485318868,238.71699999999998,0.013084240006958764
R.E.I.T.,659,58083.87,399.872000000003,0.02353738046401884,1050.833,0.018091649196239852
Real Estate (Development),884,10585.837999999996,-1089.606000000007,0.002326373746665038,393.88699999999994,0.03720886338899198
Real Estate (General/Diversified),336,9468.651999999998,1442.189999999996,0.008324436105917198,362.74800000000005,0.038310416308467155
Real Estate (Operations & Services),748,39970.33300000001,-3194.373999999996,0.02849601037683591,4284.630999999999,0.10719527905859573
Recreation,326,20463.382999999998,-307.5810000000056,0.09985015973921145,763.753,0.03732290990204309
