Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Drugs (Biotechnology),572,0.2054016417106533,0.11287719838374927,0.19666513417432496,0.09981041747914851
Drugs (Pharmaceutical),245,0.18809777693793894,0.13270272356867904,0.07904140651344581,0.22369121415285234
Education,31,0.11782946854430189,0.015606746173674265,0.04243539727664115,0.09076833645533934
Electrical Equipment,103,0.20488260636734243,0.17697672730906375,0.10451199290862166,0.28273149237543
Electronics (Consumer & Office),13,0.1224865934890906,0.1681822211694064,0.11265739566408706,0.15533542696520905
Electronics (General),129,0.16923742531845976,0.18067432065964134,0.11900384268609125,0.24013986599713918
Engineering/Construction,43,0.2738851913703067,0.01800238309405558,0.09666889961148518,0.18924885792675486
Entertainment,98,0.10287421472362371,0.02204576045410482,0.08214285230291722,0.038054347095575536
Environmental & Waste Services,57,0.1610239529643997,0.01608358184987897,0.07324419438957838,0.10180591590590521
Farming/Agriculture,42,0.07949297613627426,0.13740552987558538,0.06404724632216974,0.14722500458801463
Financial Svcs. (Non-bank & Insurance),172,14.578169994476282,0.004322387331227453,1.7678733527452006,13.079698706991074
Food Processing,82,0.07700304550593098,0.12738417375679298,0.12037509923353584,0.06007671733337372
Food Wholesalers,14,0.054217058359856816,0.06488827659092625,0.06257239462730481,0.05775676283002207
Furn/Home Furnishings,31,0.12423963135165328,0.1656348311409517,0.12500784175147012,0.13973769506770378
Green & Renewable Energy,17,0.3166715994816351,0.035810449585416716,0.14470597146463915,-0.2798162545898892
Healthcare Products,230,0.16541421198419548,0.18881559318003213,0.07689534999258169,0.25574201971953897
Healthcare Support Services,119,0.06737781020697098,0.037801481857035475,0.14768844045407142,-0.06525413741565193
Heathcare Information and Technology,128,0.19059787727723448,0.10336152277356735,0.06995391227207884,0.22945875273735597
Homebuilding,32,0.016073563368979582,0.5989838363657207,0.04436200551655083,0.5851080967899663
Hospitals/Healthcare Facilities,32,0.14562067091912856,0.022199304703470882,0.06561466023099523,0.11173413334158254
Hotel/Gaming,68,0.10845788303247333,0.02940719449864648,0.07833582042028459,0.02991513267185368
Household Products,93,0.09317647865369097,0.11901294008038871,0.13953148847539387,0.07496444937618411
Information Services,18,0.18240615331658822,0.001050570589760448,0.03238767790874576,0.15732336315134232
Insurance (General),21,0.25008544638402114,1.13186511563417e-07,0.7554886686153612,-9.32562533189817e-05
Insurance (Life),23,0.19635346977499427,0,0.1398211087264284,0.286158812471161
Insurance (Prop/Cas.),50,0.1780647887315115,0,0.8297422136071573,-0.40937489754024503
Machinery,103,0.18231708688285045,0.17413903385738275,0.09660427958478544,0.25173396431408457
Metals & Mining,68,0.06796112110821859,0.20919438773478188,0.1256152482173864,0.1532155838029568
Office Equipment & Services,17,0.11807818204369094,0.11875549372030698,0.10898085084583072,0.09126079195854167
Oil/Gas (Integrated),4,0.11576502525945857,0.06152359837460875,0.150179836362638,0.03369649525012355
Oil/Gas (Production and Exploration),166,0.12098098388553008,0.020008549332180967,0.09883595317277581,0.009995128861736279
Oil/Gas Distribution,24,0.08193250071568044,0.029103954532354214,0.07575505859582285,0.025338522415672818
Oilfield Svcs/Equip.,100,0.09349119845856242,0.07123268451126576,0.0967425605494796,0.06341844706124501
Packaging & Container,22,0.13748462534831066,0.1265656973833159,0.13054828320924763,0.11122681556948795
Paper/Forest Products,7,0.09224026023455617,0.14926502007074233,0.09684805610673268,0.12896672468828177
Power,50,0.15717140871175447,0.0675167238595077,0.12325128252492518,0.08255159354511177
Precious Metals,61,0.027459117320063297,0.19088460968634718,0.08845155643646205,0.09832505200986535
Publishing & Newspapers,21,0.12622647533799614,0.04688626363756746,0.057264040237092896,0.10133375540284054
R.E.I.T.,193,1.3945853327046882,0.006097074708122584,0.1283200913825392,1.3368628412334298
Real Estate (Development),17,0.046652506168305706,0.1328836667693949,0.04632106930831932,0.04078481886311249
Real Estate (General/Diversified),11,0.260171588846725,1.9076472529285597,0.11661854479458833,2.012999505032173
Real Estate (Operations & Services),60,0.10925612058691633,0.016979693245409558,0.05565965565793028,0.09693828006851661
Recreation,55,0.10320260496464519,0.16015163740338767,0.07218118250348314,0.18037794033907653
Reinsurance,1,0.18269445063516826,0,0.18965901493202586,0.17093826610207266
Restaurant/Dining,64,0.050377754240507326,0.021868039716084812,0.04395805153099047,0.00860428879008023
Retail (Automotive),30,0.029356827267348676,0.15084659440012438,0.08731394377043211,0.09983369799408429
Retail (Building Supply),16,0.015731706407935735,0.1612916051487275,0.08792589376587057,0.08469682764457319
Retail (Distributors),62,0.12881108066066924,0.15802834815319045,0.10180383152318369,0.17415504658831088
Retail (General),26,0.02745959461631349,0.09460011065486917,0.10907505330065836,0.007687613623918548
Retail (Grocery and Food),14,0.014268243175535896,0.05579289864278823,0.05162967108561396,-0.00243238992810026
Retail (REITs),28,0.162504018816522,0.003921518858825321,0.1833413709663773,-0.09870898691980977
Retail (Special Lines),105,0.023615905732315888,0.13557765535617539,0.09734636032165676,0.050599261894710514
Rubber& Tires,3,0.16349297033885818,0.19497951524321352,0.2019012507000187,0.10694212196535768
Semiconductor,63,0.12909094179668362,0.18983176913348562,0.08491152836690212,0.22403022878237655
Semiconductor Equip,30,0.18802042626222157,0.2318913864138285,0.058322190786906966,0.34562808268522127
Shipbuilding & Marine,8,0.12291609570187079,0.07854318985339633,0.07952598603108674,0.11299865486721869
Shoe,13,0.10193842079125973,0.1592382607736026,0.0638942228107929,0.19614445731942837
Software (Entertainment),84,0.12821969138894038,0.006417224486438659,0.027084673626245996,0.04776324767882057
Software (Internet),35,0.1228885101454502,1.6367264776917992e-05,0.04237228245321719,0.09669575439393442
Software (System & Application),351,0.16225642493150488,0.010092106078455839,0.0605906077332253,0.112044526586602
Steel,29,0.10477893211606996,0.1565733685311118,0.07244550318760572,0.19023869959969508
Telecom (Wireless),13,0.1297487709781319,0.024094581002429786,0.06348058993049668,0.0626805786291462
Telecom. Equipment,66,0.1708132369974131,0.12040700686936477,0.06227343882319817,0.23092380701323104
Telecom. Services,42,0.13713976357815708,0.018708222070417634,0.20168350701866886,-0.03223536165247942
Tobacco,16,0.07576106498306283,0.21866195052596757,0.07062753655183998,0.15300181101471985
Transportation,36,0.11341875843494,0.002707054544530845,0.05429541242836657,0.06448826405478997
Transportation (Railroads),4,0.0831568804951299,0.02914482860439727,0.07305924541643517,0.022557471822586217
Trucking,22,0.12096399695492287,0.004198327642909021,0.06114452526496367,0.06748020749652663
Utility (General),14,0.12519183017513355,0.07410243237368848,0.09068792112074926,0.13370151554071408
Utility (Water),13,0.15193322786881178,0.032629158307362134,0.08354539074153897,0.11350573999309437
Total Market,6481,0.49487850368650893,0.08189446068512163,0.8369938866597804,-0.2621844466207268
Total Market (without financials),5214,0.11682974016611859,0.09122533748237563,0.1096877138939872,0.08673678051027232
