Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Packaging & Container,22,2944.63,4193.327999999999,0.7022179042517068,5178.039,1.2348280411167458,5090.014,64.32999999999777,2000.9439999999886,79.12348826364335,2.5438063234153625,1.2138363610001417,0.038094538322854275
Publishing & Newspapers,21,423.56,485.9839999999999,0.8715513267926518,988.1979999999999,2.033396161190492,964.0569999999999,780.701,249.53499999999894,1.23486072132609,3.863413949946917,1.9837216863106606,0.0608942883217132
R.E.I.T.,193,50197.926499999965,23324.137999999984,2.152187853630432,43938.93199999997,1.883839479941338,18888.996999999978,58792.15099999998,108412.02399999648,0.32128433266542644,0.1742334134449938,0.8098475922239866,0.018800556348440762
Real Estate (General/Diversified),11,51.1,205.03,0.2492318197336975,69.336,0.33817490123396576,69.336,276.38700000000006,409.4170000000001,0.2508656340565945,0.16935300683655047,0.33817490123396576,0.11256626431092072
Reinsurance,1,216,1141,0.18930762489044697,412,0.36108676599474143,412,831.5,1079.5,0.4954900781719784,0.38165817508105604,0.36108676599474143,0.1855567020211664
Restaurant/Dining,64,9274.738,17474.58,0.5307559895574028,17108.274999999994,0.979037836674758,15303.593999999994,13392.506,16356.923,1.1426983120261431,0.9356034750545682,0.8757631943085323,0.02242043016859996
Retail (Automotive),30,659.238,11377.628999999999,0.05794159749803761,12888.283999999998,1.1327741482869584,11871.360999999997,7221.718999999999,14935.159,1.6438414455062567,0.7948600346337121,1.0433949815027366,0.01383413098958569
Retail (Building Supply),16,11038.8,23665.69,0.46644741818218693,29442.746999999996,1.2441110738795276,28889.453999999994,23881.524999999998,24904.17,1.2096988781076583,1.1600247669366213,1.220731531597008,0.0105223880160718
Retail (Distributors),62,3698.29,14663.807000000004,0.2522053106672775,7770.648000000001,0.5299202314924084,7460.639000000001,3622.1690000000044,8384.502000000008,2.0597158774204054,0.8898130145356271,0.5087791321857958,0.020808089658035187
Retail (General),26,11823.225,54372.846999999994,0.21744723060022958,19987.851000000002,0.3676072176246354,19485.366,27449.30199999996,21156.146999999954,0.7098674494528141,0.9210262152177353,0.35836574825666206,0.03280819005368311
