Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_
Chemical (Basic),32,4637.1045786402465,45276.30899999999,49913.41357864023,2167.9059999999995,0.04788168576197322,0.013231206691173648,4322.531000000001
Chemical (Diversified),4,625.5273348564742,6160.389999999999,6785.917334856474,293.583,0.047656560704760584,2.698105008571092e-05,661.6
Chemical (Specialty),68,8859.219985551143,120064.11399999999,128923.33398555113,5235.021,0.04360187924261866,0.057726049294029906,8222.448000000002
Coal & Related Energy,18,169.0256831121742,2736.996,2906.0216831121743,302.112,0.11038087012184161,0.005006565925041523,172.09
Computer Services,72,8113.368227575891,87646.88799999999,95760.25622757588,3251.7509999999993,0.03710058707389588,0.023957581522277387,7396.805
Computers/Peripherals,36,15643.417200339522,177649.71700000003,193293.13420033955,7214.433000000001,0.04061043902479169,0.04225940420191532,16315.135000000004
Construction Supplies,45,3379.216118606855,87851.96999999999,91231.18611860684,2467.666999999999,0.028088920487497313,0.07609157018349551,2490.439
Diversified,23,9674.009838675382,206049.25,215723.25983867538,9465.659,0.045938818025302204,0.023991485992952057,4655.200000000001
Drugs (Biotechnology),572,12930.006793380395,186718.10800000004,199648.11479338043,8272.604000000007,0.04430531183402953,0.004487306723537322,10369.33
Drugs (Pharmaceutical),245,10224.26649550011,254877.376,265101.6424955001,8916.089000000004,0.03498187693206636,0.01696462285657154,4404.208999999998
Education,31,3071.600495725578,4907.42,7979.020495725578,308.3059999999999,0.06282445765799542,0.008141576745624086,2864.907
Electrical Equipment,103,3127.0028598391,49547.295000000006,52674.297859839106,2511.801,0.05069501776030356,0.015063665269730728,2936.9350000000004
Electronics (Consumer & Office),13,206.78666641044367,762.261,969.0476664104436,75.546,0.09910778591584773,0.09977718111536919,199.53100000000003
Electronics (General),129,3859.948136099403,42486.76800000001,46346.716136099414,1953.2589999999996,0.045973348690585246,0.007580125490098882,3500.9510000000005
Engineering/Construction,43,3517.300668795342,29766.917999999994,33284.218668795336,1764.033,0.05926152650402034,0.024656477323956524,3839.6160000000004
Entertainment,98,22727.133537747548,150530.511,173257.64453774755,7494.304,0.04978594671747311,0.01632669437908127,18606.565
Environmental & Waste Services,57,2696.0111380676826,41895.07300000001,44591.084138067694,1761.6119999999999,0.042048190249006114,0.002645612005518648,2307.394999999999
Farming/Agriculture,42,3062.5229854487407,90192.599,93255.12198544874,4159.873999999999,0.046122121394905125,0.08287497769739739,2922.229
Financial Svcs. (Non-bank & Insurance),172,15831.555733878165,8095444.736000003,8111276.291733881,11191.475000000006,0.001382441035046799,0.008506054051231197,10076.235000000004
Food Processing,82,6524.787947470686,130401.46700000002,136926.2549474707,4998.298,0.03833007492162645,0.04218217266831467,4742.957
Food Wholesalers,14,3742.8704620712197,24867.38,28610.25046207122,1408.58,0.056643683411762714,0.01573101489958692,3393.2050000000004
Furn/Home Furnishings,31,3341.3580867830715,18200.245000000003,21541.603086783074,793.493,0.043597929588310484,0.017109031028511742,3434.8840000000005
Green & Renewable Energy,17,827.0332149412789,32137.32,32964.35321494128,1925.5550000000003,0.0599164771673556,0.0013344644787328876,815.1800000000001
Healthcare Products,230,7408.092054711888,125599.22499999998,133007.31705471186,4729.187000000001,0.03765299507222279,0.008264439557819412,5778.6489999999985
Healthcare Support Services,119,41400.31885805522,273517.9979999999,314918.3168580551,12646.426000000001,0.04623617492257312,0.03750599169899684,31784.501000000004
Heathcare Information and Technology,128,7064.617284837033,111597.01499999994,118661.63228483697,3996.7369999999996,0.035814013484142045,0.00045989847759332896,5147.973000000002
Homebuilding,32,1164.8618383326393,34243.88,35408.74183833264,223.512,0.006527064106053403,0.030747605893736908,1109.4929999999997
Hospitals/Healthcare Facilities,32,9783.313433885633,87878.82200000003,97662.13543388566,4858.586000000001,0.055287336464296254,0.00045583330122444263,7892.159
Hotel/Gaming,68,57606.47746785931,227952.40800000002,285558.88546785933,14666.306000000002,0.06433933349806947,0.00012813780200096847,43762.80699999999
Household Products,93,6810.500752464606,100849.98900000002,107660.48975246462,3710.1660000000006,0.036788957904596305,0.027365000684755822,5175.460000000001
Information Services,18,1887.1783530312568,21299.94,23187.118353031256,1336.7479999999998,0.06275829884966812,0.0005361901123981964,1796.8999999999999
Insurance (General),21,4102.372273142741,55883.00000000001,59985.37227314275,2766.424,0.04950385627113791,0.04029471371685041,3138.547
