Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Electronics (General),129,0.008645210499911698,42486.76800000001,46346.716136099414,0.08328417756210549,0.1457673736295513,0.14673840734826454,0.3587835842228601,0.3605746609510048,12972.898999999998,13116.491372780118,0.20785950950057064,0.1968986843510988,0.09481660558440742,0.09586609663300202,3859.948136099403,3500.9510000000005
Engineering/Construction,43,0.02496879726431411,29766.917999999994,33284.218668795336,0.1056747254245414,0.20922711156662108,0.20763646217020956,0.46862228304923026,0.4662222599748598,6109.394000000001,6472.216866240931,0.13302841538406412,0.12937159788597305,0.04476191515889162,0.04742022240775827,3517.300668795342,3839.6160000000004
Entertainment,98,0.03900478224071576,150530.511,173257.64453774755,0.13117535793807933,0.21912674515924827,0.22327359258810395,0.42117325212732076,0.42705261307991316,16751.987000000005,16091.141292450495,0.09571213765051005,0.08105762081767431,0.07006793583532164,0.06730384017111019,22727.133537747548,18606.565
Environmental & Waste Services,57,0.019517366487798858,41895.07300000001,44591.084138067694,0.06046076676942871,0.17868173373990268,0.17996903176435833,0.5761282446653049,0.578262909304816,9837.975,10021.184772386463,0.33082715906296556,0.3075115856965845,0.13553472241576553,0.13805874648009328,2696.0111380676826,2307.394999999999
Farming/Agriculture,42,0.010617050742624534,90192.599,93255.12198544874,0.03284026571673573,0.31146046254726667,0.3117833507573673,0.5528303245599526,0.5532023963820791,26497.63,26986.544402910255,0.19082423677877422,0.18985796892234816,0.1017867183533354,0.10366481056867373,3062.5229854487407,2922.229
Financial Svcs. (Non-bank & Insurance),172,0.00790032343683475,8095444.736000003,8111276.291733881,0.0019517958906185877,0.7796427234614168,0.7797646357747897,0.9239379905042027,0.923987854915831,79969.34299999994,80206.32685322383,0.008809899812916702,0.00881871126153201,0.15180167018136817,0.15225152438018788,15831.555733878165,10076.235000000004
Food Processing,82,0.019027012462648513,130401.46700000002,136926.2549474707,0.04765183967073228,0.24961706812338452,0.2520787816629353,0.43323346667189233,0.4364527537917699,31000.787,31373.112410505837,0.18302441761542326,0.177756235398855,0.10787378764336854,0.10916937256729761,6524.787947470686,4742.957
Food Wholesalers,14,0.0045712807287652665,24867.38,28610.25046207122,0.13082270870131546,0.30598416868854156,0.3086032140951128,0.6439839038148342,0.6467997744518281,5085.07,5054.507907585756,0.17335889135323027,0.14961754390226162,0.022317777961135557,0.022183644509181345,3742.8704620712197,3393.2050000000004
Furn/Home Furnishings,31,0.016955686494055492,18200.245000000003,21541.603086783074,0.15511185835715138,0.3232039240105545,0.3222606162357703,0.5182355821131113,0.5171580100458633,3544.1369999999997,3689.6153826433842,0.12539133330706634,0.11477180671938582,0.05863342094918943,0.06104018322969293,3341.3580867830715,3434.8840000000005
Green & Renewable Energy,17,0.009357593526790409,32137.32,32964.35321494128,0.025088713543040833,0.5856742355355031,0.5857606197878946,0.5470556997542811,0.5471439099602623,1705.1000000000001,1583.1013570117445,0.04573164609504154,0.0414968894647283,0.23439691972396948,0.21762599360412235,827.0332149412789,815.1800000000001
