Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Construction Supplies,45,376331,3322.5,7714.8,8828.664128121254,20500.03852991117,803.28,0.003886150892309407
Diversified,23,782005,0,0,0,0,787.7,0.0014903066215532167
Drugs (Biotechnology),572,213911,464417.94800000015,73373.49400000004,2171080.2530024173,343009.4478544817,13608.820999999996,0.07198223851266926
Drugs (Pharmaceutical),245,522821,28663.849,20362.561,54825.358966070606,38947.481069046575,5810.859000000002,0.015855736701351427
Education,31,131493,10229.17,1091.3,77792.50606496164,8299.301103480793,691.6190000000001,0.035121945621082507
Electrical Equipment,103,313926,128212.20000000001,41618.4,408415.35903365765,132573.91869421455,1890.524,0.020161244181987236
Electronics (Consumer & Office),13,11132,2145.1,1655.3,192696.73014732302,148697.44879626302,192.024,0.029710861258181266
Electronics (General),129,733434,57221.281,54610.423,78018.30975929668,74458.53750985092,1822.4460000000004,0.013319932852393366
Engineering/Construction,43,370731,22330.8,30043.4,60234.50965794606,81038.27303354723,737.3720000000001,0.00540252976065093
Entertainment,98,358564,183872.33000000002,95031.325,512801.9823518257,265033.0903269709,5048.112,0.021114557198827644
Environmental & Waste Services,57,372655,33860.25000000001,20309.87,90862.1915712925,54500.462894634446,472.5599999999999,0.006510312175503002
Farming/Agriculture,42,227795,124054.20899999999,66671.679,544587.0585394762,292682.80251980945,575.2860000000003,0.002209875904170182
