Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Oil/Gas (Integrated),4,3279.7999999999997,0.007274127668981383,1092,0.0018738674427543791,1092,1092,1092,1111,1111,-0.0034439825075550656
Oil/Gas (Production and Exploration),166,301.87160000000006,0.0007498751134582811,101.992,0.00039127469701895205,101.892,101.292,98.992,89.97,87.97,0.030021531419930803
Oil/Gas Distribution,24,11.006999999999998,5.0926010012616794e-05,3.019,2.920769554571517e-05,3.069,3.839,4.919,6.309,5.169,-0.10196902602510893
Oilfield Svcs/Equip.,100,5486.238000000001,0.022911443826129647,1872.3449999999998,0.002492861119554181,1838.6979999999999,1823.9109999999998,1786.8700000000001,1669.1999999999998,1646.876,0.025994410828115377
Packaging & Container,22,2004.3820000000003,0.023236698212790192,676.67,0.004603347592302333,664.67,661.67,665.67,663.53,678.53,-0.000548846131637637
Paper/Forest Products,7,20.4,0.003785259414735191,10,0.0010149553673377211,10,2,2,2,2,0.3797296614612149
Power,50,1034.9954,0.0009866842976130638,344.543,0.0008933782537176814,344.543,344.506,344.514,351.544,351.463,-0.003969210041118276
Precious Metals,61,644.6256000000001,0.016084656646651454,197.82,0.009851434177484677,223.26,221.62,229.921,216.286,175.903,0.02376290724350727
Publishing & Newspapers,21,966.1139999999999,0.07506606234521783,332,0.012457954871358671,325.5,321.2,305.15000000000003,294.67,284.78000000000003,0.031159196914068543
R.E.I.T.,193,56.150000000000006,3.838315329816085e-05,19.299999999999997,0.00010430562824522904,18.32,19.34,17.860000000000003,17.229999999999997,16.669999999999998,0.02973231470593629
Real Estate (Operations & Services),60,4624.492,0.08621017735375788,1528.6599999999999,0.016101847317945266,1537.3990000000001,1557.0210000000004,1564.5049999999997,1529.4909999999998,1468.4450000000002,0.008069890821010617
Recreation,55,5278.052000000001,0.11821828428334559,1747.172,0.028289599467773947,1774.4829999999997,1782.0829999999996,1739.658,1730.903,1691.2470000000005,0.006527683890475533
Restaurant/Dining,64,2886.498,0.02772273526466213,1012.77,0.00617770493330031,1033.84,944.3,833.45,733.48,477.86,0.16209606311454583
Retail (Automotive),30,98.864,0.0009031246836809603,35.17,0.0001335138573299848,35.28,32.78,31.18,16.65,14.280000000000001,0.19753670107771626
Retail (Building Supply),16,1222.28,0.01600766471663623,406.79999999999995,0.0014441258547872521,409.4,412.7,417.09999999999997,367.5,368.70000000000005,0.019862354668701787
Retail (Distributors),62,120.27359999999999,0.0010133506389566611,38.33,0.00019740307779260284,36.86,34.99,33.48,90.348,87.106,-0.15140953097385645
Retail (General),26,244635.33,0.4681187044821306,85248.48999999999,0.048499539886244517,84022.62999999999,80601.52,75389.62999999999,68259.86,63534.86,0.06055921926062369
Retail (Grocery and Food),14,3302.0999999999995,0.05925913524225262,2255,0.008387769523584363,532,531,518,478.5,460,0.3742879638124492
Retail (REITs),28,10.420000000000002,5.352516715452715e-05,3.5,0.00014806166133644687,3.5,3.5,3.5,3.1,3.1,0.02456913836308061
Retail (Special Lines),105,1743.4955999999997,0.011841239840116292,621.91,0.0012963437442945194,559.812,562.7130000000001,562.577,555.3870000000001,528.7460000000001,0.032989932788183296
Rubber& Tires,3,1497.4011999999998,0.1163297009898319,501,0.024611182613992515,501,501,501,473.006,473.006,0.011565980183957603
Semiconductor,63,184539.90540000008,0.5179673338771393,62209.05,0.20881271523105188,61821.573,61458.96900000001,60681.99100000001,58627.09600000002,56307.54400000001,0.020134409860159908
Semiconductor Equip,30,24698.946199999995,0.5144480101413271,8420.694999999998,0.10319745380686596,8334.724,8185.437,7941.982000000001,7612.084999999999,7323.476999999999,0.02831488679741656
Shoe,13,196.46000000000004,0.0068843284689686585,66.80000000000001,0.0009214809910059042,66.80000000000001,66.80000000000001,61.4,57.9,57.9,0.029009963176934717
Software (Entertainment),84,254805.0134,0.6646829429638865,87354.36200000004,0.18925212406702913,86319.168,84836.53900000003,80663.97700000001,76139.014,70354.95300000001,0.04423437065869007
Software (Internet),35,17530.103199999998,0.6833358541086079,6067.269,0.21039109787242896,5926.069,5761.059000000001,5563.079,5200.5599999999995,4909.09,0.04327416094242942
Software (System & Application),351,255894.189,0.7829939367880306,86889.35500000004,0.17103672920261304,86323.91700000004,85039.608,82445.116,79719.44599999992,76689.54800000001,0.025288483131087114
Steel,29,139.718,0.0017910947781123153,48.050000000000004,0.00031029133353399483,47.96,43.910000000000004,43.81,47.15,47.059999999999995,0.004172430875775568
Telecom (Wireless),13,129.832,0.0007168043909962429,44.7,0.0005051703678589591,43.15,41.72,43.2,41.5,47.3,-0.01124367086779432
Telecom. Equipment,66,45157.4984,1.1193095792605805,15462.808000000003,0.13482938756650256,15311.023999999998,14825.016999999996,14379.761,13994.782999999998,13770.179000000002,0.02345736477527649
Telecom. Services,42,4910.271,0.009819074380115918,1639.456,0.005746054495206849,1644.4859999999999,1628.9099999999999,1610.421,1668.559,1641.043,-0.00019348844011379818
Tobacco,16,2435.1578,0.0633358527292475,814.5740000000001,0.013277699312354271,814.2560000000001,815.0510000000002,814.3689999999999,772.004,771.668,0.010880945846285295
Transportation,36,11673.1042,0.07683391349780819,3905.291,0.013398335129943068,3994.0529999999994,3943.78,3754.2419999999993,3523.03,3249.9829999999993,0.03741963196970444
Trucking,22,1007.28,0.018728000469674273,295.29999999999995,0.003268908276514881,334.7,361.3,378.8,379.6,361.6,-0.03969983157817203
Utility (General),14,80.6,0.00021476864682085136,27,0.00022229247762255727,27,27,27,25,25,0.015511278397481565
Total Market,6481,2148536.318200005,0.08067051893313865,738327.4909999983,0.0353001825534635,727529.8080000012,704126.7580000013,684524.2070000018,659496.2159999992,635250.4569999989,0.03053040691113007
Total Market (without financials),5214,2110079.475600005,0.15534693984986234,725668.5379999982,0.038751371642492094,714817.2140000013,691030.2390000013,671435.4710000018,646824.1729999993,623061.0259999989,0.030959349939697622
