Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Household Products,93,0.5111810512741538,0.4537922748822771,0.8579604033302146,0.1420395966697854
Information Services,18,0.3382873796265951,0.2689098530970512,0.7371017052448612,0.26289829475513876
Insurance (General),21,0.40381703602170393,0.33852027958275094,0.7940757089959347,0.20592429100406523
Insurance (Life),23,0.30849684925039994,0.19687046786218032,0.5201661937658395,0.47983380623416055
Insurance (Prop/Cas.),50,0.2740417784199851,0.2389458999260434,0.8376458301317694,0.1623541698682306
Investments & Asset Management,334,0.15150889761067693,0.11764206131977753,0.7125742644331745,0.28742573556682555
Machinery,103,0.3344421407862324,0.2963035598975862,0.8556901434294921,0.14430985657050793
Metals & Mining,68,0.605593652790272,0.540178091505335,0.8634064738577336,0.1365935261422664
Office Equipment & Services,17,0.3028006279393898,0.22229017988409766,0.6554315935274626,0.34456840647253745
Oil/Gas (Integrated),4,0.26444809223182186,0.24115211640127876,0.8888677742362239,0.11113222576377609
Oil/Gas (Production and Exploration),166,0.46310335310672146,0.39430599802766014,0.8111575339600272,0.18884246603997282
Oil/Gas Distribution,24,0.3254754733249822,0.22296812359703855,0.5874790294450098,0.4125209705549901
Oilfield Svcs/Equip.,100,0.43728736432048126,0.35412123250803423,0.7567730492069095,0.2432269507930905
Packaging & Container,22,0.2624270896574677,0.1859092666807465,0.620115895714898,0.37988410428510205
Paper/Forest Products,7,0.43036486711913036,0.33913848542336583,0.7279631981084633,0.27203680189153673
Power,50,0.20394370124554315,0.12989474873344384,0.518339022067922,0.48166097793207796
Precious Metals,61,0.6360947392798966,0.5696711881448064,0.8680101105982043,0.13198988940179562
Publishing & Newspapers,21,0.3820331725274816,0.30881949185169,0.7548560641061866,0.24514393589381342
R.E.I.T.,193,0.23718238142541787,0.15764571172271857,0.5585348764947358,0.4414651235052642
Real Estate (Development),17,0.3424003701471713,0.21734949775438475,0.515204922394209,0.484795077605791
Real Estate (General/Diversified),11,0.35907096541478567,0.2911931007037687,0.7582852980755366,0.24171470192446345
Real Estate (Operations & Services),60,0.4419222889349552,0.3362646553797233,0.6917285186757477,0.3082714813242523
Recreation,55,0.4429522114939097,0.31716285852729076,0.6306178188096934,0.3693821811903066
Reinsurance,1,0.17094029032718663,0.1313244439017062,0.7015754142872626,0.2984245857127374
Restaurant/Dining,64,0.35372310643077254,0.29687903790042686,0.7953739148349015,0.20462608516509845
