Industry_Name,Number_of_firms,Gross_Margin,Net_Margin,Pre_tax_Pre_stock_compensation_Operating_Margin,Pre_tax_Unadjusted_Operating_Margin,After_tax_Unadjusted_Operating_Margin,Pre_tax_Lease_adjusted_Margin,After_tax_Lease_Adjusted_Margin,Pre_tax_Lease_R_D_adj_Margin,After_tax_Lease_R_D_adj_Margin,EBITDA_Sales,EBITDASG_A_Sales,EBITDAR_D_Sales,COGS_Sales,R_D_Sales,SG_A_Sales,Stock_Based_Compensation_Sales,Lease_Expense_Sales
Coal & Related Energy,18,0.34596784241097733,0.1580335045037461,0.21686529650162953,0.20509759118732937,0.199725301205339,0.20628016917033085,0.20087690295008134,0.2055288408959451,0.20012557467569556,0.24163169097927917,0.29450001803903647,0.24508556516301278,0.6540321575890227,0.0034538741837336,0.05286832705975731,0.011767705314300145,0.010816975935925342
Computer Services,72,0.2552240791218534,0.043981171901061655,0.07800035690392633,0.06978175075516928,0.06435110792689488,0.072661249466694,0.06700651468232019,0.07303438673884674,0.06737965195447294,0.09750826329898458,0.2525907863405131,0.1219836727292246,0.7447759208781466,0.02447540943024001,0.15508252304152848,0.008218606148757045,0.011196442164864432
Computers/Peripherals,36,0.37537049240678433,0.17467822509541112,0.2338146265739026,0.21063899949335566,0.19237674842094296,0.2105083414698482,0.19225741835491564,0.2148311734272625,0.1965802503123299,0.24530217862216816,0.34008233659196374,0.31480569037506295,0.6246295075932157,0.06950351175289483,0.09478015796979557,0.023175627080546924,0.02881568208361682
Construction Supplies,45,0.24942653899797265,0.10166415142636002,0.15554856431982964,0.1516624134275202,0.12905326767252887,0.15213863128408384,0.12945849312770014,0.15403954967556815,0.13135941151918445,0.14030365125617644,0.21260725248894857,0.16419118142049483,0.7505734610020274,0.023887530164318417,0.07230360123277213,0.003886150892309407,0.005955634610380695
Diversified,23,0.28221579287973236,0.15835844343272273,0.23080779178541555,0.22931748516386233,0.2172736218961179,0.23072906876887173,0.2186110684595599,0.23068357288812125,0.2185655725788094,0.014409753344510477,0.058066939684583624,0.026121554115281095,0.7177842071202676,0.011711800770770615,0.04365718634007314,0.0014903066215532167,0.007258574631545479
Drugs (Biotechnology),572,0.5637276808554261,-0.11880321451125174,0.08275436430656784,0.010772125793898567,0.010684390114441705,0.009216025047693758,0.009140963334256577,0.03830299416528875,0.03822793245185157,0.22075858175215113,0.5458341388399348,0.6593474011507404,0.4362723191445739,0.43858881939858935,0.3250755570877836,0.07198223851266926,0.015220600958199935
Drugs (Pharmaceutical),245,0.6525907748217754,0.15199059429392564,0.1974604551032651,0.1816047184019137,0.1763558014542444,0.18154232452557567,0.17629521094666145,0.21327300590991013,0.20802589233099594,0.38843032108883263,0.6163712431940845,0.6071633552640048,0.3474092251782246,0.21873303417517215,0.22794092210525194,0.015855736701351427,0.008819329731322425
Education,31,0.44227527079235934,0.012952004254737207,0.09327408335179692,0.05815213773071442,0.05166659359697846,0.05070944029998905,0.04505395924810464,0.05162998984685171,0.0459745087949673,0.09913501127593721,0.42587820098717577,0.1459432144117086,0.5577247292076406,0.04680820313577138,0.3267431897112386,0.035121945621082507,0.032343955263305024
Electrical Equipment,103,0.32523059963450024,0.1521644855100829,0.11017187175819876,0.09001062757621153,0.08491183737318568,0.09219142080399816,0.08696909622015433,0.09571467640528439,0.09049235182144055,0.13723730261654016,0.3391356988075262,0.1767651888998217,0.6747694003654998,0.03952788628328157,0.20189839619098604,0.020161244181987236,0.010484353745414126
Electronics (Consumer & Office),13,0.32355803128874405,-0.030451373808600253,0.028946521099579136,-0.0007643401586021315,-0.000708482474349181,-0.00042059337894031676,-0.00038985657688258397,0.005672435482946352,0.005703172285004084,0.03596421588370024,0.2637004492123042,0.13076204559087906,0.676441968711256,0.09479782970717882,0.2277362333286039,0.029710861258181266,0.008716727027361985
Electronics (General),129,0.2736441477972378,0.04692658200907224,0.10813653843680078,0.09481660558440742,0.0870657487961617,0.09586609663300202,0.08802944838694081,0.09797018507091383,0.09013353682485262,0.14831558702701678,0.27470012635490904,0.1987893448489177,0.7263558522027622,0.05047375782190093,0.12638453932789226,0.013319932852393366,0.008645210499911698
Engineering/Construction,43,0.13852291396294858,0.016653435803105108,0.050164444919542556,0.04476191515889162,0.03837564278459243,0.04742022240775827,0.040654683997017736,0.0471774671389744,0.04041192872823387,0.06166185898480896,0.13918190987924586,0.06382984740680812,0.8614770860370514,0.002167988421999168,0.0775200508944369,0.00540252976065093,0.02496879726431411
Entertainment,98,0.38086312688243934,-0.002258864516765018,0.0911824930341493,0.07006793583532164,0.06779193071717103,0.06730384017111019,0.06511762071317352,0.07052565436421813,0.06833943490628146,0.1368833818184976,0.344821410863821,0.1717352093507908,0.6191368731175606,0.034851827532293225,0.2079380290453234,0.021114557198827644,0.03900478224071576
Environmental & Waste Services,57,0.3464542198349852,0.08088477368778033,0.14204503459126852,0.13553472241576553,0.12818985949786582,0.13805874648009328,0.13057710229741112,0.13822317401919318,0.13074152983651102,0.20111720406614564,0.3430401083090227,0.2052166232120044,0.6535457801650149,0.004099419145858777,0.1419229042428771,0.006510312175503002,0.019517366487798858
Farming/Agriculture,42,0.16486244071233644,0.0712131536336163,0.10399659425750558,0.1017867183533354,0.0949836946538508,0.10366481056867373,0.09673626257626113,0.10487455135329483,0.09794600336088223,0.11209539305719837,0.1620009486218238,0.12480211228252065,0.8351375592876635,0.012706719225322266,0.04990555556462542,0.002209875904170182,0.010617050742624534
