Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Household Products,8,0.812886005261755,0.8035222747088666,0.09306135810825644,8.734946725322242,8.634327835342194
Information Services,4,0.7556607032139814,0.9149307949656571,0.23926073486578675,3.1583147299027945,3.8239905744621545
Insurance (General),4,0.5409841894094244,0.5799901211893488,0.26804948531208056,2.018225063105701,2.1637427153202204
Insurance (Life),11,0.7175207896353543,0.7290135855584058,0.4455098978862164,1.6105608271325313,1.6363577757022054
Insurance (Prop/Cas.),8,0.5005671244530772,0.5867578289561705,0.30362550802379995,1.6486333039378225,1.9325050545824922
Investments & Asset Management,195,0.36753757760957134,0.7932188061970651,0.21159678055083814,1.7369715014225697,3.74872814289576
Machinery,30,0.7548822265000975,0.8177048071768621,0.1519894368155919,4.9666755948046095,5.3800107712023415
Metals & Mining,1275,0.9994767333785174,1.0518847333298558,0.16678174924366357,5.992722452612661,6.306953477224184
Office Equipment & Services,1,0.15745272860036233,0.6077912804329105,0.14491376746189438,1.0865270523158892,4.194158298953421
Oil/Gas (Integrated),4,1.7681674539725523,1.9682344350630172,0.4367305938587802,4.048645729967571,4.506747323727587
Oil/Gas (Production and Exploration),228,1.045061090441717,1.1577064197002473,0.19915291315363748,5.247531024743282,5.813153327097601
Oil/Gas Distribution,7,0.7916155470221231,1.2508087232348526,0.5228091774815505,1.5141577101523978,2.392476599703517
Oilfield Svcs/Equip.,33,0.9592424929649546,1.3048057951446264,0.27242964744088694,3.5210649867801025,4.789514678015172
Packaging & Container,6,0.595441252656666,0.6765192191992112,0.28495536850332887,2.0895947873665346,2.3741234381808396
Paper/Forest Products,18,1.0074497374364118,1.0867885107498083,0.2924784555003372,3.444526318059862,3.715789967813733
Power,19,0.46423135758675566,0.7237962235692924,0.27154710069087634,1.7095795035397086,2.665453697453567
Precious Metals,682,1.0753780313159444,1.0675836372859355,0.18163311020627507,5.920605720480539,5.877692872590873
Publishing & Newspapers,6,0.2780176302239526,0.515534602254261,0.09623855982056123,2.888838223912766,5.356840368512224
