Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_
Paper/Forest Products,18,13.502831242305547,4603.099999999999,4616.602831242305,237.03099999999998,0.05149377593360996,0.03344539302425938,17
Power,19,381.3976582094765,68867.865,69249.26265820948,3019.014,0.04383777542689903,0.05405073003087053,249.9
Precious Metals,682,46.04890254827478,22767.548999999988,22813.597902548263,1434.7369999999996,0.06301675248398501,0.02611034462804858,0.886
Publishing & Newspapers,6,0.292203954311276,341.479,341.77120395431126,30.76,0.09007874569153594,0.00024680099891658544,0
R.E.I.T.,53,0.10139499453362077,45170.7,45170.80139499453,1608.9040000000002,0.03561831009924576,0.007688705143170601,0
Real Estate (Development),13,1.501561152364502,2644.0009999999997,2645.5025611523643,87.52300000000001,0.03310248369800163,0.04329847888567656,0
Real Estate (General/Diversified),3,0,688.86,688.86,31.829,0.046205324739424555,0.2735496283883381,0
Real Estate (Operations & Services),34,648.0379845643547,18044.921,18692.958984564353,824.0859999999999,0.04566858452857732,0.012634105209551378,658.2
Recreation,17,0,2669.1310000000003,2669.1310000000003,155.71499999999997,0.05833921227545593,0.010539104610014558,0
Restaurant/Dining,22,2406.0908995591817,30279.800000000003,32685.890899559185,1370.343,0.045256012258997745,0.00013239711896919905,2286
Retail (Automotive),10,0,4789.540000000001,4789.540000000001,256.854,0.0536281145997319,0.6130360680444721,0
Retail (Building Supply),10,0,1430.51,1430.51,73.951,0.05169554913981726,0,0
Retail (Distributors),33,0.6665072304713249,10990.265000000001,10990.931507230473,569.0459999999999,0.05177727743598538,0.14311316371141855,0
Retail (General),10,0,22469.859999999997,22469.859999999997,651.9069999999999,0.029012508311133226,0.09882646202106207,0
Retail (Grocery and Food),12,122.21666072450171,68153.7,68275.9166607245,3077.313,0.04515254490952069,0.03265488763712007,0
Retail (REITs),18,7.58267794517451,41272.399999999994,41279.98267794517,1507.7299999999998,0.03653119275835667,0.01574021050725924,0
Retail (Special Lines),41,61.10190788957971,5184.213999999999,5245.315907889579,266.585,0.05142245285399099,0.17179558641939469,49.785000000000004
Semiconductor,10,57.61304207442072,3166.081,3223.694042074421,101.32700000000001,0.032003919040605726,0.5396545947620282,113.9
